id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
27677,človeška ribica,und,"","",,Slovene,Ken-ichi Ueda,2011-05-05T06:16:31Z
61295,Glogova belinka,und,"","",,Slovene,,2016-05-30T06:51:49Z
12707,brinovka,und,"","",,Slovene,Chris Cheatle,2016-05-30T07:08:57Z
56529,Lastovičar,und,"","",,Slovene,,2016-05-30T07:11:00Z
13094,Taščica,und,"","",,Slovene,,2016-05-30T07:12:47Z
326296,Navadna krastača,und,"","",,Slovene,,2016-05-30T07:13:46Z
36052,Črnopikčasta kuščarica,und,"","",,Slovene,,2016-05-30T07:16:20Z
2191,Čebelar,und,"","",,Slovene,,2016-05-30T07:17:04Z
61769,Lusnec,und,"","",,Slovene,,2016-05-30T07:18:14Z
55797,Močvirski tulipan,und,"","",,Slovene,cassi saari,2016-05-30T07:19:05Z
318952,Navadna medenika,und,"","",,Slovene,,2016-05-30T07:20:41Z
48011,Enodnevnice,und,"","",,Slovene,,2016-05-30T07:21:38Z
52775,Čmrlji,und,"","",,Slovene,Andrés Nicolás Ramírez,2016-05-30T07:23:23Z
47219,Medonosna čebela,und,"","",,Slovene,cassi saari,2016-05-30T07:24:22Z
49567,Krešiči,und,"","",,Slovene,,2016-05-30T07:27:04Z
59895,Vijolični krešič,und,"","",,Slovene,,2016-05-30T07:28:49Z
57630,Fuchsova prstasta kukavica,und,"","",,Slovene,,2016-06-09T17:43:22Z
343021,Navadni slepec,und,"","",,Slovene,Bobby McCabe,2016-06-11T12:26:44Z
128214,Brezov prelec,und,"","",,Slovene,,2017-03-20T18:36:48Z
55841,Črni teloh,und,"","",,Slovene,,2017-03-20T18:37:38Z
204472,Kanja,und,"","",,Slovene,max kirsch,2017-03-20T18:38:45Z
27726,Navadni močerad,und,"","",,Slovene,,2017-03-20T18:41:27Z
42069,Navadna lisica,und,"","",,Slovene,,2017-03-20T18:42:22Z
123628,Gospica,und,"","",,Slovene,,2017-03-20T18:44:20Z
55750,Potočna sretena,und,"","",,Slovene,,2017-03-20T18:45:18Z
50867,Osasti pajek,und,"","",,Slovene,,2017-03-20T18:46:04Z
207977,Dnevni pavlinček,und,"","",,Slovene,,2017-03-20T18:47:10Z
143294,Navadni senožetnik,und,"","",,Slovene,,2017-03-20T18:47:48Z
56225,Beli C,und,"","",,Slovene,Kitty Maurey,2017-03-20T18:48:23Z
55653,Navadni lešnikar,und,"","",,Slovene,,2017-03-20T18:49:02Z
62426,Okati rjavec,und,"","",,Slovene,,2017-03-20T18:49:31Z
130398,Travniški lisar,und,"","",,Slovene,,2017-03-20T18:50:05Z
52771,Citronček,und,"","",,Slovene,cassi saari,2017-03-20T18:50:36Z
135104,Planinski pupek,und,"","",,Slovene,,2017-03-20T18:51:31Z
48548,Osatnik,und,"","",,Slovene,,2017-03-20T18:52:10Z
333774,Pomladni rjavček,und,"","",,Slovene,,2017-03-20T18:54:30Z
334985,Močvirski livadar,und,"","",,Slovene,,2017-03-20T18:55:07Z
462042,hrastov lesni molj,und,"","",,Slovene,Irena Hrovat Mujčinović,2017-05-26T14:16:22Z
49133,Admiral,und,"","",,Slovene,Irena Hrovat Mujčinović,2017-05-26T14:20:09Z
393053,Črna češnjeva uš,und,"","",,Slovene,Irena Hrovat Mujčinović,2017-05-26T14:21:52Z
55990,Pozidna kuščarica,und,"","",,Slovene,Irena Hrovat Mujčinović,2017-05-26T14:23:10Z
57481,Navadni plotni slak,und,"","",,Slovene,Irena Hrovat Mujčinović,2017-05-26T14:24:27Z
55884,Navadni šipek,und,"","",,Slovene,Irena Hrovat Mujčinović,2017-05-26T14:25:28Z
217763,Pikčasta beluševka,und,"","",,Slovene,Irena Hrovat Mujčinović,2017-05-26T14:29:26Z
52402,Zlata minica,und,"","",,Slovene,Irena Hrovat Mujčinović,2017-05-26T14:30:17Z
