id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
311249,Mahovi,sl,"","",,Slovenian,John E. Christensen,2018-01-01T10:03:59Z
47534,Ožigalkarji,sl,"","",,Slovenian,John E. Christensen,2018-01-04T10:38:52Z
52319,Ploski črvi,sl,"","",,Slovenian,John E. Christensen,2018-01-05T10:28:34Z
20978,Dvoživke,sl,"","",,Slovenian,John E. Christensen,2018-01-07T09:26:12Z
47686,Praživali,sl,"","",,Slovenian,John E. Christensen,2018-01-10T08:48:47Z
47120,Členonožci,sl,"","",,Slovenian,John E. Christensen,2018-01-18T15:48:22Z
6888,Plojkokljuni,sl,"","",,Slovenian,John E. Christensen,2018-01-25T15:53:42Z
481959,Morske zvezde,sl,"","",,Slovenian,John E. Christensen,2018-01-29T09:52:20Z
9398,Lišček,sl,"","",,Slovenian,John E. Christensen,2018-02-14T11:05:34Z
98531,Delfini,sl,"","",,Slovenian,John E. Christensen,2018-02-16T15:42:23Z
372739,Šesteronožni členonožci,sl,"","",,Slovenian,John E. Christensen,2018-03-07T09:46:14Z
53178,Ozkolistni trpotec,sl,"","",,Slovenian,John E. Christensen,2018-04-03T06:46:29Z
59254,Drobnjak,sl,"","",,Slovenian,John E. Christensen,2018-04-04T07:08:04Z
47429,Bokoživčniki,sl,"","",,Slovenian,John E. Christensen,2018-05-02T14:14:23Z
325295,Pušpanova vešča,sl,"","",,Slovenian,John E. Christensen,2018-05-08T12:21:01Z
63081,Pijavke,sl,"","",,Slovenian,John E. Christensen,2018-06-13T08:46:23Z
563098,Modri ploščec,sl,"","",,Slovenian,mirorepar1965,2018-06-26T13:44:39Z
47727,Javor,sl,"","",,Slovenian,John E. Christensen,2018-07-01T09:05:06Z
53350,Divji kostanj,sl,"","",,Slovenian,John E. Christensen,2018-07-06T13:56:16Z
47892,Žlezava nedotika,sl,"","",,Slovenian,John E. Christensen,2018-07-15T12:48:29Z
151882,Dvokrpi ginko,sl,"","",,Slovenian,John E. Christensen,2018-08-12T07:03:30Z
58321,Sapindovke,sl,"","",,Slovenian,John E. Christensen,2018-10-29T16:55:38Z
41789,Jazbec,sl,"","",,Slovenian,John E. Christensen,2018-11-14T10:01:11Z
4730,Štorklje,sl,"","",,Slovenian,John E. Christensen,2018-11-15T08:22:22Z
49556,Strige,sl,"","",,Slovenian,John E. Christensen,2018-12-12T11:01:22Z
6930,Mlakarica,sl,Slovenia,SI,,Slovenian,John E. Christensen,2018-12-14T15:06:41Z
63573,Smreka,sl,"","",,Slovenian,John E. Christensen,2018-12-16T09:42:28Z
47373,Sekvoja,sl,"","",,Slovenian,John E. Christensen,2019-01-25T13:21:00Z
48836,Kačjerepi,sl,"","",,Slovenian,John E. Christensen,2019-01-27T08:22:24Z
42241,Votlorogi,sl,"","",,Slovenian,John E. Christensen,2019-01-30T16:15:40Z
40151,Sesalci,sl,"","",,Slovenian,John E. Christensen,2019-02-07T16:13:10Z
210289,Vitičnjaki,sl,"","",,Slovenian,John E. Christensen,2019-02-10T10:58:45Z
85493,Raki,sl,"","",,Slovenian,John E. Christensen,2019-02-10T11:08:43Z
81769,Ščurki,sl,"","",,Slovenian,John E. Christensen,2019-02-18T07:23:19Z
54960,Gliste,sl,"","",,Slovenian,John E. Christensen,2019-03-01T09:38:09Z
7251,Pevci,sl,"","",,Slovenian,John E. Christensen,2019-03-02T10:02:07Z
18874,Papige,sl,"","",,Slovenian,John E. Christensen,2019-03-04T13:04:44Z
43698,Glodavci,sl,"","",,Slovenian,John E. Christensen,2019-03-05T06:33:25Z
47516,Šarenka,sl,"","",,Slovenian,John E. Christensen,2019-03-13T09:38:43Z
47217,Kukavičevke,sl,"","",,Slovenian,John E. Christensen,2019-03-15T10:42:02Z
118552,Domača mačka,sl,"","",,Slovenian,John E. Christensen,2019-04-14T11:44:00Z
47125,Kritosemenke,sl,"","",,Slovenian,John E. Christensen,2019-04-27T09:45:46Z
47563,Navadni oleander,sl,"","",,Slovenian,John E. Christensen,2019-05-20T11:29:00Z
47584,Školjke,sl,"","",,Slovenian,John E. Christensen,2019-05-21T07:21:33Z
61267,Stenice,sl,"","",,Slovenian,John E. Christensen,2019-06-13T08:54:09Z
57563,Artičoka,sl,"","",,Slovenian,John E. Christensen,2019-07-06T09:43:55Z
914922,Japonski dresnik,sl,"","",,Slovenian,John E. Christensen,2019-07-30T18:48:59Z
82602,Navadni koprc,sl,"","",,Slovenian,Vladimir Tkalčić,2019-08-02T09:00:11Z
104875,močvirski cekinček,sl,"","",,Slovenian,PH,2019-08-14T15:09:42Z
54704,Šotni mah,sl,"","",,Slovenian,John E. Christensen,2019-09-26T10:55:46Z
505478,Domača kokoš,sl,"","",,Slovenian,John E. Christensen,2019-12-28T14:28:46Z
130558,Kochov svišč,sl,"","",,Slovenian,Johan Devos,2020-01-29T18:28:49Z
204339,rumena mrtva kopriva,sl,"","",,Slovenian,Miha Zotler,2020-05-01T17:56:52Z
167210,navadna grebenuša,sl,Slovenia,SI,,Slovenian,Miha Zotler,2020-05-01T18:01:53Z
54227,bukev,sl,Slovenia,SI,,Slovenian,Miha Zotler,2020-05-01T18:07:56Z
63567,navadna smreka,sl,Slovenia,SI,,Slovenian,Miha Zotler,2020-05-01T18:11:45Z
47602,navadni regrat,sl,Slovenia,SI,,Slovenian,Miha Zotler,2020-05-01T18:14:01Z
167599,navadni pljučnik,sl,Slovenia,SI,,Slovenian,Miha Zotler,2020-05-01T18:26:03Z
56061,Česnovka,sl,Slovenia,SI,,Slovenian,Miha Zotler,2020-05-01T18:57:40Z
57629,Dvolistni vimenjak,sl,Slovenia,SI,,Slovenian,Miha Zotler,2020-06-30T15:05:24Z
359450,Navadni potrošnik,sl,"","",,Slovenian,John E. Christensen,2020-08-28T19:49:52Z
158434,Prava krebuljica,sl,"","",https://www.inaturalist.org/taxon_names/1207903/edit,Slovenian,,2020-09-28T02:58:24Z
200958,Ribji orel,sl,"","",,Slovenian,John E. Christensen,2020-12-01T08:00:33Z
69320,Faraonska mravlja,sl,"","",,Slovenian,Johan Devos,2021-01-23T17:00:37Z
575102,volčje jabolko,sl,Slovenia,SI,,Slovenian,Alenka Mihoric,2021-04-07T22:43:10Z
450542,bleda kukavica,sl,Slovenia,SI,,Slovenian,Alenka Mihoric,2021-04-07T22:44:19Z
124720,brstična konopnica,sl,Slovenia,SI,,Slovenian,Alenka Mihoric,2021-04-07T22:49:03Z
55858,rumeni dren,sl,Slovenia,SI,,Slovenian,Alenka Mihoric,2021-04-07T22:50:19Z
56224,navadna kalužnuca,sl,"","",,Slovenian,Ljaž,2021-04-08T08:45:24Z
119805,Navadna kalina,sl,Slovenia,SI,,Slovenian,Alenka Mihoric,2021-04-25T21:02:28Z
461997,črni kosec,sl,"","",,Slovenian,Alenka Mihoric,2021-06-25T17:58:24Z
48156,Smuc,sl,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071449/common/135157,Slovenian,,2021-07-14T18:18:02Z
102975,Beluga,sl,"","",,Slovenian,Zane Roskoph,2021-07-16T12:11:09Z
55722,travniška krvomočnica,sl,"","",,Slovenian,Alenka Mihoric,2021-07-19T22:09:08Z
99786,Električna jegulja,sl,"","",,Slovenian,Zane Roskoph,2021-07-29T03:22:05Z
41970,Jaguar,sl,"","",,Slovenian,Zane Roskoph,2021-07-30T12:17:41Z
50873,Beli morski volk,sl,"","",,Slovenian,Zane Roskoph,2021-07-30T14:08:04Z
42007,Puma,sl,"","",,Slovenian,Zane Roskoph,2021-08-01T01:55:37Z
35172,Celinski tajpan,sl,"","",,Slovenian,Zane Roskoph,2021-08-02T14:32:02Z
30472,Kraljeva kobra,sl,"","",,Slovenian,Zane Roskoph,2021-08-02T18:39:20Z
52188,Kitovec,sl,"","",,Slovenian,Zane Roskoph,2021-08-03T14:08:59Z
49105,Velika avstralska algovnica,sl,"","",,Slovenian,Zane Roskoph,2021-08-05T13:47:52Z
10421,škotski krivokljun,sl,"","",,Slovenian,Zane Roskoph,2021-08-06T15:24:23Z
199918,Modroobročkasta hobotnica,sl,"","",,Slovenian,Zane Roskoph,2021-08-09T11:33:51Z
123356,Citrona,sl,"","",,Slovenian,Zane Roskoph,2021-08-10T12:49:07Z
4555,beli galeb,sl,"","",,Slovenian,Zane Roskoph,2021-08-11T12:16:20Z
3802,Strmoglavec,sl,"","",,Slovenian,Zane Roskoph,2021-08-11T15:51:21Z
41955,Gepard,sl,"","",,Slovenian,Zane Roskoph,2021-08-13T12:25:09Z
