id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340228,mokgalo,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T09:17:13Z
340228,Mokonaona,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T09:20:44Z
595946,mogohlo,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T09:24:08Z
527007,mokaka,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T09:26:39Z
527007,mongana,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T09:27:39Z
340170,Mogwakgwana,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T09:30:39Z
340170,Mookgwane,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T09:31:31Z
83832,morotologane,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T09:35:55Z
83832,Motšhidikgwanathê,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T09:36:46Z
594421,moloto,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T09:38:50Z
506952,mmaba,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T09:40:51Z
506952,Mmidibidi,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T09:42:03Z
191689,Mohlabaphala,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T16:21:25Z
582633,Morekwe,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T16:23:14Z
582633,Serokwa,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T16:23:38Z
129721,Mohlako,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T16:26:28Z
129721,Mogalagala,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T16:26:57Z
162973,moumo,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T16:29:10Z
591317,monoko,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T16:31:31Z
595009,Morapa,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T16:33:46Z
595009,Mogwapane,und,"","",,Sotho (Northern),Botswanabugs,2019-10-10T16:34:09Z
133182,mogoyo,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T07:50:40Z
340279,Mokgekgetsane,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T07:54:10Z
340121,Molebatša,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T07:58:00Z
582635,Mokoulo,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T07:59:34Z
337799,Morokolo,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:01:38Z
595947,Leselaphala,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:03:39Z
595947,Moselaphala,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:04:40Z
427261,Mohlabare,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:06:17Z
595101,Mohlahlanya,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:08:28Z
598589,Motshêtshê,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:10:36Z
598589,Motšhêtšhê,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:11:08Z
428559,Morobadiepe,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:13:30Z
428559,Morobadilepe,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:14:09Z
79020,Mosilabelo,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:16:18Z
79020,Mohlohlo,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:16:58Z
79020,Mohlwehlwe,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:17:31Z
79020,Mokalabata,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:18:01Z
340214,Motlouma,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:19:52Z
129717,Mothapu,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:22:08Z
595949,Molalakgaka,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:23:32Z
595949,Mosaoka,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:24:04Z
594427,Mokgwa,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:26:02Z
594427,Mogwa,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:26:41Z
594427,Mogwaripa,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:27:17Z
594427,Mokoba,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:28:22Z
431647,Mohlatsane,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:30:31Z
430533,Motsiara,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:32:22Z
430533,Modulakgogo,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:32:51Z
199580,Mothapori,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:34:45Z
199580,Mmola,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:35:12Z
594422,Mokgapa,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:37:05Z
340072,Seemakamotho,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:38:55Z
340072,Sekgopha,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:39:23Z
416644,monomane,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:43:55Z
346399,morobe,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:45:37Z
340060,Mohwelere,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:47:02Z
557697,Mogodiri,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:48:40Z
581033,Monee,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:51:37Z
581033,Monei,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:52:01Z
340123,Mohlatša,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:53:56Z
340123,Monokane,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:54:25Z
582792,Mokankane,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:56:05Z
340062,mokata,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:57:24Z
135389,modibo,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T08:59:06Z
431075,Mpharatshwene,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:00:55Z
431075,Motsuntsunyane,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:01:33Z
431075,Mokgomphatha,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:02:06Z
431063,morala,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:03:29Z
557826,Mofatanare,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:05:04Z
70065,mohlopi,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:06:42Z
129706,Moretse,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:08:36Z
129706,Moselesele,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:09:18Z
336810,Mogonono,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:11:25Z
336810,Mosusu,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:11:50Z
147002,monepenepe,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:13:40Z
594430,Mookanathutlwa,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:15:22Z
340175,Mpalakgwale,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:20:44Z
340175,Mohlafula,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:21:10Z
138688,mosehla,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:23:01Z
338719,Mohlo,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:24:29Z
338719,Montlho,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:24:56Z
581380,Mokalakopa,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:27:09Z
527059,Phalane,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:29:14Z
527059,Moretlwa,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:29:50Z
489563,mosu,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:31:27Z
489563,moswana,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:32:02Z
428367,Mogalatladi,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:36:03Z
428367,Mongena,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:36:41Z
369448,molope,und,"","",,Sotho (Northern),Botswanabugs,2019-10-15T09:38:15Z
154483,mpshe,und,"","",,Sotho (Northern),Botswanabugs,2019-10-22T16:09:36Z
40268,mankgagane,und,"","",,Sotho (Northern),Botswanabugs,2019-10-22T16:32:11Z
594418,motholo,und,"","",,Sotho (Northern),Botswanabugs,2020-08-07T10:42:27Z
340228,moonaona,und,"","",,Sotho (Northern),Botswanabugs,2020-08-12T00:46:43Z
584388,monomane,und,"","",,Sotho (Northern),Botswanabugs,2021-05-24T13:14:46Z
489301,kgalagangwe,und,"","",,Sotho (Northern),Botswanabugs,2021-05-24T13:23:04Z
428559,mongatane,und,"","",,Sotho (Northern),Botswanabugs,2021-05-24T13:25:33Z
595101,motlhantlhanya,und,"","",,Sotho (Northern),Botswanabugs,2021-06-12T08:05:16Z
427214,mosetlathlou,und,"","",,Sotho (Northern),Botswanabugs,2021-07-25T10:54:54Z
340211,Mphata,und,"","",,Sotho (Northern),Botswanabugs,2021-07-27T06:26:42Z
428023,mogaba,und,"","",,Sotho (Northern),Botswanabugs,2021-07-29T10:50:24Z
79020,Motshakhutshakhu,und,"","",,Sotho (Northern),Botswanabugs,2021-08-07T11:13:38Z
340059,mohweleretshipi,und,"","",,Sotho (Northern),Botswanabugs,2021-08-12T09:23:24Z
582629,mmetla kgamelo,und,"","",,Sotho (Northern),Botswanabugs,2021-08-20T13:40:10Z
567417,mogaletlwa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Northern),Ken-ichi Ueda,2021-10-21T20:32:46Z
594417,mokwaripa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Northern),Ken-ichi Ueda,2021-10-21T20:32:46Z
594417,mongangatau,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Northern),Ken-ichi Ueda,2021-10-21T20:32:47Z
