id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
578912,Lecheane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:17Z
595946,mopatsaka,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:17Z
594422,Moluha,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:18Z
601534,mohae,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:18Z
601154,monyaka-tau,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:18Z
601537,Motse,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:19Z
490831,Moselephala,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:19Z
348763,mhlosinga,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:19Z
147343,Setla-bocha,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:19Z
239074,Bohomane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:20Z
430600,mokxalamete,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:20Z
430600,motulu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:20Z
522360,Bovokgotlhlohlo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:21Z
181630,Lekhala,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:21Z
118793,bohome,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:21Z
118793,mo-sinoana-o-monyenyane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:22Z
578481,moonyane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:22Z
578481,se-nyarela,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:22Z
553422,lekxalana,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:23Z
124412,lekhala la Quthing,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:23Z
124412,lekhala-la-Quthing,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:23Z
124412,lekhala-le-leholo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:24Z
124412,mohalakane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:24Z
597639,lekhala la thaba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:24Z
120829,lekhala kharatsa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:25Z
578665,lekhala qhalana,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:25Z
338772,boka,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:27Z
908007,marapa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sotho (Southern),Ken-ichi Ueda,2021-10-21T20:34:27Z
