id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340408,Mohwelere-tšhipi,und,"","",,Sotho,Joachim Louis,2016-03-23T08:01:00Z
74414,Kgano,und,"","",,Sotho,Brendan O'Loughlin,2018-04-02T20:26:26Z
5246,Seitlhoaeledi,und,"","",,Sotho,Brendan O'Loughlin,2018-04-02T20:36:54Z
340238,monatô,und,"","",,Sotho,Pedro Nájera Quezada,2019-03-18T16:25:37Z
506952,Mmidibidibi,und,"","",,Sotho,Devon Bowen,2019-04-30T18:33:56Z
450851,Polilo khooana,und,"","",,Sotho,Botswanabugs,2019-11-28T04:21:00Z
42122,Kolobe,und,"","",,Sotho,Bobby McCabe,2020-03-19T15:36:36Z
42278,Phala,und,"","",,Sotho,Bobby McCabe,2020-03-19T16:08:28Z
42283,Tshephe,und,"","",,Sotho,Bobby McCabe,2020-03-19T16:21:19Z
55841,črni teloh,und,Slovenia,SI,,Sotho,Miha Zotler,2020-05-01T18:19:38Z
62917,theepe,und,"","",,Sotho,Botswanabugs,2020-05-05T03:11:16Z
158231,bohobe bo naming,und,"","",,Sotho,Botswanabugs,2020-05-05T03:20:17Z
158231,lemanamana,und,"","",,Sotho,Botswanabugs,2020-05-05T03:21:33Z
367465,kgutana ya naha,und,"","",,Sotho,Botswanabugs,2020-05-05T03:27:55Z
367465,kgutsana ya noha,und,"","",,Sotho,Botswanabugs,2020-05-05T03:28:48Z
367465,thibi,und,"","",,Sotho,Botswanabugs,2020-05-05T03:30:44Z
52351,mosikanoka,und,"","",,Sotho,Botswanabugs,2020-05-05T03:47:26Z
52351,mosikanokana,und,"","",,Sotho,Botswanabugs,2020-05-05T03:48:06Z
52351,moemothatha,und,"","",,Sotho,Botswanabugs,2020-05-05T03:51:08Z
52351,moethimolo wa thaba,und,"","",,Sotho,Botswanabugs,2020-05-05T03:53:15Z
52351,moduku,und,"","",,Sotho,Botswanabugs,2020-05-05T03:56:07Z
52351,lebajana,und,"","",,Sotho,Botswanabugs,2020-05-05T04:00:36Z
52351,modimola,und,"","",,Sotho,Botswanabugs,2020-05-05T04:01:58Z
52351,kweteleboima,und,"","",,Sotho,Botswanabugs,2020-05-05T04:03:11Z
569612,Bolao-bo-boholo,und,"","",,Sotho,Tony Rebelo,2020-06-15T11:10:30Z
340228,Mokhalo,und,"","",,Sotho,Botswanabugs,2020-08-12T00:52:08Z
595536,Penualeng,und,"","",,Sotho,Botswanabugs,2020-09-20T11:29:23Z
474039,mofahlana,und,"","",,Sotho,Botswanabugs,2020-11-20T14:01:04Z
594734,Taraputsoe,und,"","",,Sotho,Mark,2020-12-01T13:07:17Z
568518,bolila-ba-lit-soene,und,"","",,Sotho,Mark,2020-12-01T14:10:34Z
599365,Koelehane,und,"","",,Sotho,Botswanabugs,2021-02-12T06:40:23Z
599365,Mosala-tsela,und,"","",,Sotho,Botswanabugs,2021-02-12T06:41:30Z
