id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
143936,Jaiba pancora,und,"","",,Spanish (Chile),Diego Almendras,2020-07-02T23:16:51Z
469884,Mariposita pintada común,und,"","",,Spanish (Chile),Ariel Cabrera Foix,2020-09-05T14:02:36Z
1030706,Mariposita pintada de altura,und,"","",,Spanish (Chile),Ariel Cabrera Foix,2020-09-05T14:03:19Z
780159,Pololo café,und,"","",,Spanish (Chile),Diego Almendras,2020-09-09T00:59:06Z
471876,Charolito,und,"","",,Spanish (Chile),nitsuga74,2020-11-11T11:37:56Z
489743,Abeja del Notro,und,"","",,Spanish (Chile),nitsuga74,2020-11-11T11:40:58Z
780674,Chinche As de Corazón,und,"","",,Spanish (Chile),nitsuga74,2020-11-21T18:42:45Z
371666,Matico,und,"","",,Spanish (Chile),nitsuga74,2020-11-21T19:19:04Z
715327,Faco,und,"","",,Spanish (Chile),Diego Almendras,2020-12-08T15:52:23Z
56739,Higuerilla,und,"","",,Spanish (Chile),nitsuga74,2020-12-16T15:33:34Z
277808,Matarratones,und,"","",,Spanish (Chile),nitsuga74,2021-01-28T21:14:48Z
53343,Aromo,und,"","",,Spanish (Chile),nitsuga74,2021-02-24T11:58:15Z
53344,Aromo Australiano,und,"","",,Spanish (Chile),nitsuga74,2021-02-24T12:00:02Z
707731,Coleóptero de la Luma,und,"","",,Spanish (Chile),nitsuga74,2021-02-24T12:02:59Z
782338,Corcolén,und,"","",,Spanish (Chile),nitsuga74,2021-02-24T12:03:30Z
215465,Bruco de la Arveja,und,"","",,Spanish (Chile),nitsuga74,2021-03-24T11:53:42Z
1238262,Avispa de las agallas,und,"","",,Spanish (Chile),nitsuga74,2021-04-29T21:13:04Z
932471,Balita del Maitén,und,"","",,Spanish (Chile),nitsuga74,2021-05-05T13:16:21Z
159235,Falso Té,und,Chile,CL,,Spanish (Chile),nitsuga74,2021-05-06T16:57:45Z
51875,Trébol Rosado,und,"","",,Spanish (Chile),nitsuga74,2021-06-07T13:37:48Z
186190,Laurel,und,"","",,Spanish (Chile),nitsuga74,2021-06-07T13:42:48Z
780855,Ortiga,und,"","",,Spanish (Chile),nitsuga74,2021-06-07T13:44:12Z
54329,Espuela de galán,und,"","",,Spanish (Chile),nitsuga74,2021-06-07T13:46:18Z
380714,Corcolén de hoja chica,und,"","",,Spanish (Chile),nitsuga74,2021-06-07T13:48:06Z
82692,Jaboncillo,und,"","",,Spanish (Chile),nitsuga74,2021-06-07T13:52:40Z
76610,Pasto Zanahoria,und,"","",,Spanish (Chile),nitsuga74,2021-06-07T13:53:14Z
47130,Zarzaparrilla,und,"","",,Spanish (Chile),nitsuga74,2021-06-07T13:55:01Z
41824,Quique,und,"","",,Spanish (Chile),nitsuga74,2021-06-08T12:11:05Z
1030920,Chuchampe,und,"","",,Spanish (Chile),Diego Almendras,2021-06-16T01:49:03Z
497142,Abejorro Chileno,und,"","",,Spanish (Chile),nitsuga74,2021-06-30T18:46:48Z
861978,Quisca,und,"","",,Spanish (Chile),Diego Almendras,2021-08-28T23:44:33Z
955702,Disco,und,"","",,Spanish (Chile),Diego Almendras,2021-09-09T22:55:06Z
490850,Navajuela,und,"","",,Spanish (Chile),nitsuga74,2021-09-15T13:55:23Z
464793,Jaiba musculosa,und,"","",,Spanish (Chile),Diego Almendras,2021-09-16T03:22:41Z
135546,Mañío / Mañío hembra,und,"","",,Spanish (Chile),nitsuga74,2021-09-23T17:42:01Z
61432,Capulí,und,"","",,Spanish (Chile),nitsuga74,2021-10-04T00:36:17Z
48486,Chinitas,und,"","",,Spanish (Chile),Diego Almendras,2021-10-06T03:30:27Z
803819,Vaquita del Sauce,und,"","",,Spanish (Chile),Ixofijmogen Walage,2021-11-05T14:23:02Z
328969,Panchotes,und,"","",,Spanish (Chile),Diego Almendras,2021-11-30T13:09:09Z
39180,Lagarto Leopardo,und,Chile,CL,,Spanish (Chile),Nicolás Clavijo Inzunza,2021-12-06T21:31:40Z
39179,Lagartija Lemniscata,und,Chile,CL,,Spanish (Chile),Nicolás Clavijo Inzunza,2021-12-06T21:33:00Z
630919,Chorito,und,Chile,CL,,Spanish (Chile),Nicolás Clavijo Inzunza,2021-12-07T04:32:36Z
1325150,Manzanita,und,"","",,Spanish (Chile),Diego Almendras,2021-12-08T19:16:32Z
484030,Monte azulillo,und,"","",,Spanish (Chile),Diego Almendras,2021-12-08T22:07:15Z
437648,Burrito,und,Chile,CL,,Spanish (Chile),Nicolás Clavijo Inzunza,2021-12-09T17:39:17Z
59029,Hierba del Paño,und,Chile,CL,,Spanish (Chile),Nicolás Clavijo Inzunza,2021-12-14T19:22:30Z
731974,Zorzal,und,Chile,CL,,Spanish (Chile),Nicolás Clavijo Inzunza,2021-12-16T22:20:13Z
76226,Palqui,und,Chile,CL,,Spanish (Chile),Nicolás Clavijo Inzunza,2021-12-19T01:44:17Z
887305,Tralhuén,und,Chile,CL,,Spanish (Chile),Nicolás Clavijo Inzunza,2021-12-19T01:46:03Z
57913,Chilca,und,Chile,CL,,Spanish (Chile),Nicolás Clavijo Inzunza,2021-12-20T03:27:54Z
237429,Zarapito,und,Chile,CL,,Spanish (Chile),Nicolás Clavijo Inzunza,2021-12-27T05:46:31Z
626441,Copihuito,und,"","",,Spanish (Chile),Diego Almendras,2022-01-06T18:00:38Z
514143,Queltehue,und,Chile,CL,,Spanish (Chile),Nicolás Clavijo Inzunza,2022-01-07T23:24:11Z
490850,Huepo,und,"","",,Spanish (Chile),Diego Almendras,2022-01-10T03:07:00Z
74483,Gato andino,und,Chile,CL,,Spanish (Chile),Nicolás Clavijo Inzunza,2022-01-10T19:52:38Z
608279,Jerguilla,und,"","",,Spanish (Chile),Diego Almendras,2022-01-26T01:46:02Z
1353063,Quisquito rosado de Las Coimas,und,"","",,Spanish (Chile),Diego Almendras,2022-01-27T00:17:34Z
514019,Huairavo,und,Chile,CL,,Spanish (Chile),Nicolás Clavijo Inzunza,2022-01-31T20:29:27Z
882470,Lengua de vaca,und,"","",,Spanish (Chile),Diego Almendras,2022-02-02T13:55:53Z
722966,Diuca chilota,und,"","",,Spanish (Chile),Diego Almendras,2022-02-04T13:11:41Z
515842,Nuco,und,"","",,Spanish (Chile),Diego Almendras,2022-02-05T02:02:04Z
807675,Mariposa del Cachito,und,"","",,Spanish (Chile),Diego Almendras,2022-02-07T03:13:24Z
615589,Baúnco,und,"","",,Spanish (Chile),Diego Almendras,2022-02-10T03:42:23Z
481638,Vieja Negra,und,"","",,Spanish (Chile),Diego Almendras,2022-02-10T03:45:02Z
188252,Caballa,und,"","",,Spanish (Chile),Diego Almendras,2022-02-11T21:38:47Z
563407,Azuzenita de los rios,und,"","",,Spanish (Chile),Klaus Riede,2022-02-12T19:34:23Z
1241356,Palo Trevo,und,"","",,Spanish (Chile),nitsuga74,2022-02-25T14:09:45Z
557713,Pajarito Azul,und,"","",,Spanish (Chile),Diego Almendras,2022-03-10T00:07:30Z
102743,Tiburon fuma,und,"","",,Spanish (Chile),Diego Almendras,2022-03-10T17:04:22Z
59831,Quintrales,und,"","",,Spanish (Chile),Diego Almendras,2022-03-21T15:14:01Z
555704,Garza chica,und,"","",,Spanish (Chile),Nicolás Clavijo Inzunza,2022-04-18T04:15:12Z
44576,Guarén,und,"","",,Spanish (Chile),Diego Almendras,2022-05-03T22:46:49Z
124748,Calabacillo,und,"","",,Spanish (Chile),Diego Almendras,2022-05-21T18:07:12Z
1394161,mosco azul de los cactus,und,"","",,Spanish (Chile),Santiago,2022-05-27T22:49:42Z
1096606,Óxido de Calafate,und,"","",,Spanish (Chile),Diego Almendras,2022-05-28T00:44:43Z
957954,flor de mayo,und,"","",,Spanish (Chile),Diego Almendras,2022-05-28T00:52:22Z
328810,Lapa señorita,und,"","",,Spanish (Chile),Diego Almendras,2022-06-04T04:01:09Z
47414,Pulga de mar,und,"","",,Spanish (Chile),Diego Almendras,2022-06-13T01:49:16Z
86744,Tramboyos,und,"","",,Spanish (Chile),Diego Almendras,2022-06-20T22:41:36Z
1030920,Michi,und,"","",,Spanish (Chile),Diego Almendras,2022-06-21T04:47:59Z
603053,sombrerito chino,und,"","",,Spanish (Chile),Diego Almendras,2022-06-27T20:59:46Z
