id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
598010,motupa,und,"","",,Subiya,Botswanabugs,2020-03-24T04:33:26Z
349759,mokazanmolotho,und,"","",,Subiya,Botswanabugs,2021-09-10T15:45:23Z
428749,muhane,und,"","",,Subiya,Botswanabugs,2021-09-14T03:04:54Z
340199,ingongo,und,"","",,Subiya,Botswanabugs,2021-09-14T03:10:33Z
469308,musihantabwe,und,"","",,Subiya,Botswanabugs,2021-09-14T03:16:06Z
165503,malisako,und,"","",,Subiya,Botswanabugs,2021-09-14T03:20:17Z
558387,ungulu,und,"","",,Subiya,Botswanabugs,2021-10-31T19:21:29Z
558387,womizuka,und,"","",,Subiya,Botswanabugs,2021-10-31T19:22:09Z
81491,izungwe,und,"","",,Subiya,Botswanabugs,2021-10-31T19:23:47Z
506980,mokaikai,und,"","",,Subiya,Botswanabugs,2021-12-21T09:29:33Z
441317,isotho,und,"","",,Subiya,Botswanabugs,2021-12-21T10:22:32Z
130789,idarere,und,"","",,Subiya,Botswanabugs,2021-12-21T10:46:47Z
431075,mompondo,und,"","",,Subiya,Botswanabugs,2021-12-21T10:54:17Z
64238,lovangu,und,"","",,Subiya,Botswanabugs,2021-12-21T11:00:10Z
513962,mosamo,und,"","",,Subiya,Botswanabugs,2021-12-21T11:22:42Z
513962,womosana,und,"","",,Subiya,Botswanabugs,2021-12-21T11:23:28Z
342681,kakoma,und,"","",,Subiya,Botswanabugs,2021-12-21T11:27:17Z
