id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
334379,mlangale,und,"","",,Sukuma,Botswanabugs,2021-08-11T13:23:39Z
340305,menandima,und,"","",,Sukuma,Khama III Memorial Museum in Serowe,2021-08-11T17:16:04Z
122098,enfiambo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sukuma,Ken-ichi Ueda,2021-10-21T20:38:08Z
122098,lufiambo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sukuma,Ken-ichi Ueda,2021-10-21T20:38:08Z
340236,nkola,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sukuma,Ken-ichi Ueda,2021-10-21T20:38:09Z
340175,maganda,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sukuma,Ken-ichi Ueda,2021-10-21T20:38:09Z
340175,mgada,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sukuma,Ken-ichi Ueda,2021-10-21T20:38:09Z
340175,motomorashi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sukuma,Ken-ichi Ueda,2021-10-21T20:38:09Z
340175,ngada,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sukuma,Ken-ichi Ueda,2021-10-21T20:38:10Z
340136,idasho,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sukuma,Ken-ichi Ueda,2021-10-21T20:38:10Z
340136,ikumbo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sukuma,Ken-ichi Ueda,2021-10-21T20:38:10Z
340136,msekelia,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sukuma,Ken-ichi Ueda,2021-10-21T20:38:11Z
597739,munwamazi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sukuma,Ken-ichi Ueda,2021-10-21T20:38:11Z
184447,dasho,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sukuma,Ken-ichi Ueda,2021-10-21T20:38:11Z
342724,lubiso,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sukuma,Ken-ichi Ueda,2021-10-21T20:38:12Z
342724,lubisu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Sukuma,Ken-ichi Ueda,2021-10-21T20:38:12Z
