id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
82779,Kambali,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082167/common/25931,Swahili (Individual Language),,2020-09-10T23:16:32Z
110379,Papa upanga,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10077957/common/166411,Swahili (Individual Language),,2021-07-13T16:40:08Z
110381,Papa upanga,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10077959/common/166300,Swahili (Individual Language),,2021-07-13T16:40:08Z
52188,Vaame,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10065883/common/332042,Swahili (Individual Language),,2021-07-13T18:59:25Z
101780,Chewa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073172/common/221245,Swahili (Individual Language),,2021-07-15T12:23:15Z
93453,Chewa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073000/common/227416,Swahili (Individual Language),,2021-07-15T12:23:15Z
188544,Chewa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10075087/common/135807,Swahili (Individual Language),,2021-07-15T12:23:15Z
109742,Chewa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073361/common/201186,Swahili (Individual Language),,2021-07-15T12:23:16Z
94231,Chewa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073015/common/229587,Swahili (Individual Language),,2021-07-15T12:23:16Z
109747,Chewa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073366/common/200812,Swahili (Individual Language),,2021-07-15T12:23:16Z
52456,Chewa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073036/common/61461,Swahili (Individual Language),,2021-07-15T12:23:17Z
114929,Chewa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073504/common/202653,Swahili (Individual Language),,2021-07-15T12:23:17Z
99207,Chewa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073069/common/224610,Swahili (Individual Language),,2021-07-15T12:23:17Z
114930,Chewa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073505/common/202530,Swahili (Individual Language),,2021-07-15T12:23:18Z
100111,Chewa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073135/common/42196,Swahili (Individual Language),,2021-07-15T12:23:18Z
110916,Chewa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10074805/common/176231,Swahili (Individual Language),,2021-07-15T12:23:18Z
102742,Muzalazala,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066252/common/233220,Swahili (Individual Language),,2021-07-15T14:19:06Z
371437,Kambale mamba,und,"","",,Swahili (Individual Language),Zane Roskoph,2021-07-19T15:22:16Z
371437,Kamongo,und,"","",,Swahili (Individual Language),Zane Roskoph,2021-07-19T15:22:30Z
371437,Mamba,und,"","",,Swahili (Individual Language),Zane Roskoph,2021-07-19T15:22:42Z
102692,Pondo,und,"","",,Swahili (Individual Language),Zane Roskoph,2021-07-19T16:52:09Z
102692,Vundu,und,"","",,Swahili (Individual Language),Zane Roskoph,2021-07-19T16:52:24Z
83884,Gona,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084953/common/180662,Swahili (Individual Language),,2021-07-27T16:16:17Z
371764,Gona,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084954/common/180602,Swahili (Individual Language),,2021-07-27T16:16:17Z
135283,Kingoye,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066658/common/54809,Swahili (Individual Language),,2021-07-27T18:25:29Z
98501,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076283/common/142208,Swahili (Individual Language),,2021-07-27T19:34:51Z
97097,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072661/common/229039,Swahili (Individual Language),,2021-07-27T19:34:51Z
111000,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076536/common/228955,Swahili (Individual Language),,2021-07-27T19:34:52Z
100036,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076318/common/81442,Swahili (Individual Language),,2021-07-27T19:34:52Z
102860,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072681/common/226368,Swahili (Individual Language),,2021-07-27T19:34:52Z
113985,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076605/common/93946,Swahili (Individual Language),,2021-07-27T19:34:53Z
102580,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076406/common/171759,Swahili (Individual Language),,2021-07-27T19:34:53Z
104344,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072683/common/230784,Swahili (Individual Language),,2021-07-27T19:34:54Z
180389,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066683/common/143500,Swahili (Individual Language),,2021-07-27T19:34:54Z
102898,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076407/common/200582,Swahili (Individual Language),,2021-07-27T19:34:54Z
84175,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072708/common/21602,Swahili (Individual Language),,2021-07-27T19:34:55Z
95867,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072655/common/228978,Swahili (Individual Language),,2021-07-27T19:34:55Z
103436,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076421/common/191139,Swahili (Individual Language),,2021-07-27T19:34:55Z
95815,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076155/common/125272,Swahili (Individual Language),,2021-07-27T19:34:56Z
96498,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072656/common/230938,Swahili (Individual Language),,2021-07-27T19:34:56Z
63597,Pono,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076469/common/36325,Swahili (Individual Language),,2021-07-27T19:34:56Z
132410,Kangaja,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066664/common/54444,Swahili (Individual Language),,2021-07-28T15:06:44Z
180389,Kangaja,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066683/common/143531,Swahili (Individual Language),,2021-07-28T15:06:44Z
121597,Kangaja,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066649/common/55149,Swahili (Individual Language),,2021-07-28T15:06:44Z
132409,Kangaja,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066660/common/54708,Swahili (Individual Language),,2021-07-28T15:06:45Z
121193,Kangaja,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066662/common/54579,Swahili (Individual Language),,2021-07-28T15:06:45Z
49639,Chewa (moshi),und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073047/common/60780,Swahili (Individual Language),,2021-07-29T00:54:12Z
49639,Chewa,und,"","",,Swahili (Individual Language),Zane Roskoph,2021-07-29T00:54:45Z
99786,Mkunga Umeme (Samaki),und,"","",,Swahili (Individual Language),Zane Roskoph,2021-07-29T03:25:37Z
113450,Kikande,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084962/common/134580,Swahili (Individual Language),,2021-07-30T11:42:42Z
194921,Kikande,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10085166/common/124578,Swahili (Individual Language),,2021-07-30T11:42:42Z
57743,Kikande,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084932/common/228046,Swahili (Individual Language),,2021-07-30T11:42:43Z
53669,Kikande,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084948/common/235497,Swahili (Individual Language),,2021-07-30T11:42:43Z
53669,Tundu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084948/common/235472,Swahili (Individual Language),,2021-07-30T11:42:53Z
113450,Tundu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084962/common/134614,Swahili (Individual Language),,2021-07-30T11:42:53Z
