id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
51317,Kiteza,und,"","",http://www.ubio.org/browser/details.php?namebankID=922335,Swahili,Ken-ichi Ueda,2009-05-12T13:40:06Z
99303,Singa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082204/common/25658,Swahili,Ken-ichi Ueda,2012-10-23T06:05:26Z
172274,Singa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/9677363/common/248216,Swahili,Ken-ichi Ueda,2012-10-23T06:05:26Z
110381,papa uranga,und,"","",,Swahili,Eréndira Canales,2013-11-27T16:03:02Z
44512,Kuhe,und,Tanzania,TZ,,Swahili,Carrie Seltzer,2015-06-19T02:07:46Z
102471,Limbata,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10067531/common/205248,Swahili,Ken-ichi Ueda,2015-10-24T23:26:04Z
132649,Kongoni,und,"","",,Swahili,seasav,2015-12-15T15:42:08Z
42149,Kiboko,und,Tanzania | Kenya,"TZ,KE",,Swahili,Joachim Louis,2015-12-17T09:24:52Z
41627,Fungo,und,"","",,Swahili,Joachim Louis,2015-12-17T09:40:03Z
416393,Mgambo,und,"","",,Swahili,Cédric de Foucault,2016-08-16T11:04:21Z
40268,Popo,und,"","",,Swahili,Carrie Seltzer,2016-12-06T23:35:47Z
32807,Kinyonga,und,"","",,Swahili,Bobby McCabe,2017-07-04T02:42:43Z
43335,Punda Milia,und,"","",,Swahili,Bobby McCabe,2017-08-08T21:01:10Z
43339,Punda Milia,und,"","",,Swahili,Bobby McCabe,2017-11-13T19:39:01Z
426277,Siafu,und,"","",,Swahili,Peter Slingsby,2017-11-26T16:36:55Z
2,Kodata,und,"","",,Swahili,John E. Christensen,2017-11-30T13:04:28Z
48824,Sifongo-bahari,und,"","",,Swahili,John E. Christensen,2017-12-31T16:46:42Z
39392,Kenge,und,"","",,Swahili,John E. Christensen,2018-01-22T07:09:05Z
47219,Nyuki-asali,und,"","",,Swahili,John E. Christensen,2018-02-06T10:33:16Z
48872,Mwembe,und,"","",,Swahili,John E. Christensen,2018-02-21T08:23:34Z
