id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
43125,Logwaja,und,"","",,Swati,Bobby McCabe,2018-04-13T15:32:59Z
340245,umganu,und,"","",,Swati,Botswanabugs,2020-01-13T07:31:01Z
925659,Insimba,und,"","",,Swati,Bobby McCabe,2020-02-23T05:03:29Z
41595,Insimba,und,"","",,Swati,Bobby McCabe,2020-02-23T05:23:13Z
47649,inTsetse,und,"","",,Swati,Dewald du Plessis,2020-03-14T13:39:22Z
42122,Mzanxi,und,"","",,Swati,Bobby McCabe,2020-03-19T15:36:52Z
42122,Inyamatane,und,"","",,Swati,Bobby McCabe,2020-03-19T15:37:06Z
42288,Umsumbi,und,"","",,Swati,Bobby McCabe,2020-03-19T16:26:49Z
42288,Imphunzi,und,"","",,Swati,Bobby McCabe,2020-03-19T16:27:03Z
42288,Umsumpe,und,"","",,Swati,Bobby McCabe,2020-03-19T16:27:15Z
121639,inKhala,und,"","",,Swati,Dewald du Plessis,2020-04-06T18:44:59Z
342910,ema-Prawn,und,"","",,Swati,Dewald du Plessis,2020-04-06T18:57:23Z
311310,iKreyfishi,und,"","",,Swati,Dewald du Plessis,2020-04-07T10:33:05Z
85493,iKhrasteshiya,und,"","",,Swati,Dewald du Plessis,2020-04-07T10:45:02Z
1,Silwane,und,"","",,Swati,Dewald du Plessis,2020-04-09T18:02:47Z
119673,umsisi,und,"","",,Swati,Botswanabugs,2020-08-07T09:51:25Z
138688,isikhabakhombe,und,"","",,Swati,Botswanabugs,2020-08-07T09:56:36Z
340236,umkholikholi,und,"","",,Swati,Botswanabugs,2020-08-07T10:06:51Z
129706,umsilazembe,und,"","",,Swati,Botswanabugs,2020-08-07T10:29:22Z
489563,isithwethwe,und,"","",,Swati,Botswanabugs,2020-08-07T10:39:55Z
348763,umhlofunga,und,"","",,Swati,Botswanabugs,2020-08-07T10:49:55Z
340228,umlahlabantu,und,"","",,Swati,Botswanabugs,2020-08-12T00:48:33Z
51672,Likhatane,und,"","",,Swati,Dewald du Plessis,2020-08-21T11:25:43Z
51673,Likhatane,und,"","",,Swati,Dewald du Plessis,2020-08-21T11:35:55Z
123675,Likhatane,und,"","",,Swati,Dewald du Plessis,2020-08-21T12:05:52Z
340072,inHlaba,und,"","",,Swati,Dewald du Plessis,2020-11-09T18:41:49Z
525722,umSenge,und,"","",,Swati,Dewald du Plessis,2020-11-09T18:50:15Z
468538,umNumbela,und,"","",,Swati,Dewald du Plessis,2020-11-09T19:14:33Z
166935,umVusamvu,und,South Africa,ZA,,Swati,Dewald du Plessis,2020-11-09T19:37:34Z
334567,umSipane,und,"","",,Swati,Dewald du Plessis,2020-11-09T19:45:51Z
75917,umBatacwepe,und,"","",,Swati,Dewald du Plessis,2020-11-09T19:53:12Z
211103,umBatacwepe,und,"","",,Swati,Dewald du Plessis,2020-11-12T10:47:20Z
340228,umLalhabantu,und,"","",,Swati,Dewald du Plessis,2020-11-12T10:55:23Z
427214,umSindandlovana,und,"","",,Swati,Dewald du Plessis,2020-11-12T11:04:46Z
340324,iMandulu,und,"","",,Swati,Dewald du Plessis,2020-11-12T11:16:23Z
191689,umBikanyaka,und,"","",,Swati,Dewald du Plessis,2020-11-12T11:24:33Z
191689,umWane,und,"","",,Swati,Dewald du Plessis,2020-11-12T11:25:00Z
342738,inKukutwane,und,South Africa,ZA,,Swati,Dewald du Plessis,2020-11-12T20:26:26Z
64571,umBatacwepe,und,South Africa,ZA,,Swati,Dewald du Plessis,2020-11-12T20:34:17Z
57140,umNquma,und,South Africa,ZA,,Swati,Dewald du Plessis,2020-11-12T20:38:21Z
586670,isiHlangu,und,"","",,Swati,Dewald du Plessis,2020-11-12T20:44:20Z
428559,umLalhabantu,und,"","",,Swati,Dewald du Plessis,2020-11-12T20:51:11Z
79020,inHlangutshane,und,"","",,Swati,Dewald du Plessis,2020-11-13T10:28:04Z
593043,liNyenye,und,"","",,Swati,Dewald du Plessis,2020-11-13T11:45:29Z
362174,umNungwane,und,"","",,Swati,Dewald du Plessis,2020-11-13T12:01:30Z
430600,inHlungunyembe,und,Eswatini,SZ,,Swati,Dewald du Plessis,2020-12-30T20:02:17Z
430600,Mutsimulisa,und,Eswatini,SZ,,Swati,Dewald du Plessis,2020-12-30T20:03:40Z
430600,Luzekwa,und,Eswatini,SZ,,Swati,Dewald du Plessis,2020-12-30T20:03:55Z
579040,inHlungunyembe,und,Eswatini,SZ,,Swati,Dewald du Plessis,2020-12-30T20:07:11Z
428559,lilatsa,und,"","",,Swati,Botswanabugs,2021-05-24T13:27:48Z
567695,lutwile,und,"","",,Swati,Botswanabugs,2021-05-24T13:32:15Z
431512,umthathi,und,"","",,Swati,Botswanabugs,2021-05-24T13:42:23Z
338719,umcozi,und,"","",,Swati,Botswanabugs,2021-06-12T07:57:09Z
585523,ijobe,und,"","",,Swati,Botswanabugs,2021-06-12T08:09:12Z
340211,Sihomuhomu,und,"","",,Swati,Botswanabugs,2021-07-27T06:28:22Z
340211,Umhomuhomu,und,"","",,Swati,Botswanabugs,2021-07-27T06:28:53Z
340211,Umphandvo,und,"","",,Swati,Botswanabugs,2021-07-27T06:29:46Z
340059,umbondomnyama,und,"","",,Swati,Botswanabugs,2021-08-12T09:21:47Z
41964,Libubesi,und,"","",,Swati,Zane Roskoph,2021-08-24T12:35:32Z
43086,Imbila,und,"","",,Swati,Bobby McCabe,2021-08-29T03:01:00Z
578899,umphitsi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:38Z
567417,lugagane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:39Z
595942,lubibi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:39Z
595942,sitfwetfwe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:39Z
594417,umkhaya,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:40Z
594418,umtfolo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:40Z
595943,umcamba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:40Z
595943,umgamba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:41Z
502780,kalimela,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:42Z
502780,singa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:43Z
502780,umdongolo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:43Z
601536,lukakho,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:44Z
601536,sibamb'imphala,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:44Z
601537,inshakwe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:44Z
601537,umncawe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:45Z
601156,umtfolo wesiganga,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:45Z
601539,umgamazi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:45Z
601159,ambambimphala,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:46Z
568252,inkhambane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:46Z
568252,umkhambane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:46Z
568252,umnganduzi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:46Z
595962,khalimela,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:47Z
567419,lisasa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:47Z
567419,umsasane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:47Z
348763,mdlavuze,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:48Z
348763,umHlafunga,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:48Z
348763,umhlafutfwa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:48Z
348763,umkhanyakudze,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:49Z
597500,umsongo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:49Z
239074,lemanamana,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:49Z
239074,lenamo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:50Z
430600,inThungunyembe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:50Z
430600,ubulilungu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:50Z
430600,umHlunguuyembe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:51Z
579088,sisila-semphala,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:51Z
579167,umphatsankhosi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:51Z
597569,hlakahla,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:52Z
597591,ligowane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:52Z
340175,nala,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:52Z
340175,nala-nyala,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:53Z
340175,umnala,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:53Z
340162,umtfololwane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:53Z
340225,sivangatane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:54Z
119911,gib'iziphoso,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:54Z
579530,sono,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:54Z
597611,ikhathaza,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:55Z
597611,ikhathazo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:55Z
597611,inkatsankatsa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:55Z
597611,likhatsato,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:55Z
597621,inhlangushane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:56Z
81518,imbovane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:56Z
560374,inhlaba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:56Z
597631,lisheshelu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:57Z
579604,Inhlaba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:57Z
579625,inhlatjana,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:57Z
597639,lihlala,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:58Z
158255,imbuyo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:38:59Z
579836,bukhunkhu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:39:00Z
579836,umsimbitsi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Swati,Ken-ichi Ueda,2021-10-21T20:39:00Z
