id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47257,Wahoo,sv,Sweden,SE,"FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Swedish,Cédric de Foucault,2008-05-21T23:18:16Z
48648,Lax,sv,Sweden,SE,http://www.ubio.org/browser/details.php?namebankID=1550434,Swedish,Kitty Maurey,2008-10-25T20:29:56Z
48651,gullskära,sv,Sweden,SE,http://www.ubio.org/browser/details.php?namebankID=5424315,Swedish,Alexis López Hernández,2008-10-25T20:29:57Z
53693,Garibaldi,sv,Sweden,SE,"FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Swedish,,2009-10-18T20:46:15Z
54333,bäckgröna,sv,Sweden,SE,,Swedish,Tig,2010-03-20T21:16:16Z
47779,Gul Svärdslilja,sv,Sweden,SE,,Swedish,Tig,2010-03-20T21:18:22Z
56065,Myskmadra,sv,Sweden,SE,,Swedish,Tig,2010-03-20T21:22:38Z
55819,Gullviva,sv,Sweden,SE,,Swedish,Tig,2010-03-20T21:27:08Z
48588,nässelklocka,sv,Sweden,SE,,Swedish,Tig,2010-03-20T21:32:22Z
55845,Luktviol,sv,Sweden,SE,,Swedish,Tig,2010-03-20T21:34:26Z
55739,Styvmorsviol,sv,Sweden,SE,,Swedish,Tig,2010-03-20T21:35:17Z
55848,Påsklilja,sv,Sweden,SE,,Swedish,Tig,2010-03-20T21:37:28Z
55798,Vild Tulpan,sv,Sweden,SE,,Swedish,Tig,2010-03-20T21:39:01Z
56152,Ramslök,sv,Sweden,SE,,Swedish,Tig,2010-03-20T21:41:15Z
56137,morgonstjärna,sv,Sweden,SE,,Swedish,Tig,2010-03-20T21:46:10Z
48206,Liljekonvalj,sv,Sweden,SE,,Swedish,Tig,2010-03-20T21:46:49Z
55790,Desmansknopp,sv,Sweden,SE,,Swedish,Tig,2010-03-20T21:48:21Z
55721,Smällglim,sv,Sweden,SE,,Swedish,Tig,2010-03-20T21:50:16Z
54531,Braxenblomster,sv,"","",,Swedish,Tig,2010-03-20T21:55:50Z
53334,Ã…kervicker,sv,Sweden,SE,,Swedish,Tig,2010-03-21T07:11:25Z
57317,Luddvicker,sv,Sweden,SE,,Swedish,Tig,2010-03-21T07:14:18Z
57056,humlelucern,sv,Sweden,SE,,Swedish,Tig,2010-03-21T07:21:05Z
50709,Korallrot,sv,Sweden,SE,,Swedish,Tig,2010-03-21T07:30:16Z
57629,Nattviol,sv,Sweden,SE,,Swedish,Tig,2010-03-21T07:46:08Z
58306,råttsvans,sv,Sweden,SE,"FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Swedish,Cole Gaerber,2010-03-28T07:20:35Z
62236,Flockblommig Vintergröna,sv,Sweden,SE,,Swedish,Tig,2011-03-18T17:13:19Z
49487,rododendron,sv,Sweden,SE,http://www.ubio.org/browser/details.php?namebankID=5424603,Swedish,,2012-05-06T01:13:41Z
118663,Salpa,sv,Sweden,SE,http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10072033/common/278532,Swedish,,2012-12-06T22:26:48Z
144491,Willetsnäppa,sv,Sweden,SE,http://www.ubio.org/browser/details.php?namebankID=742119,Swedish,,2013-01-07T22:19:37Z
111898,Flickfisk,sv,Sweden,SE,http://www.ubio.org/browser/details.php?namebankID=4685409,Swedish,,2013-03-01T05:37:18Z
47735,dubbelfotingar,sv,Sweden,SE,,Swedish,Sam McNally,2013-10-05T06:40:50Z
49556,Enkelfotingar,sv,Sweden,SE,,Swedish,Sam McNally,2013-10-05T06:43:45Z
145291,Kornsparv,sv,Sweden,SE,http://www.ubio.org/browser/details.php?namebankID=745013,Swedish,,2014-01-12T06:38:04Z
144849,Blåmes,sv,Sweden,SE,,Swedish,Eva Hedström,2015-04-05T20:28:57Z
42184,Rådjur,sv,Sweden,SE,,Swedish,Eva Hedström,2015-04-05T20:44:46Z
56552,parklöpare,sv,Sweden,SE,,Swedish,Torsten Eriksson,2015-04-23T07:36:34Z
360830,Läderlöpare,sv,Sweden,SE,,Swedish,Jakob Fahr,2015-05-07T12:22:45Z
43584,Människa,sv,Sweden,SE,,Swedish,johsor0311,2015-05-11T12:21:59Z
81491,Korvträd,sv,"","",,Swedish,Joachim Louis,2015-12-09T18:42:16Z
56934,Tidig blåstjärna,sv,"","",,Swedish,Joachim Louis,2016-02-26T13:53:01Z
12707,Björktrast,sv,Sweden,SE,http://eol.org/pages/52629399,Swedish,Chris Cheatle,2016-02-26T19:22:41Z
12716,Koltrast,sv,Sweden,SE,http://eol.org/pages/52629390,Swedish,Chris Cheatle,2016-02-26T19:28:34Z
13858,Gråsparv,sv,Sweden,SE,http://eol.org/pages/52632685,Swedish,Carlos Galindo-Leal,2016-02-26T19:30:54Z
8010,Korp,sv,Sweden,SE,,Swedish,Eva Hedström,2016-02-26T19:40:02Z
144823,Svartmes,sv,"","",,Swedish,Eva Hedström,2016-02-26T19:43:50Z
144757,Kråka,sv,Sweden,SE,,Swedish,Eva Hedström,2016-02-26T19:45:04Z
9195,Gulsparv,sv,Sweden,SE,http://eol.org/pages/24931493,Swedish,Chris Cheatle,2016-03-26T22:52:28Z
46001,ekorre,sv,Sweden,SE,,Swedish,Lena Struwe,2016-04-23T13:34:42Z
57500,Natt och dag,sv,"","",,Swedish,Jordi Moreno-Romero,2016-07-14T14:41:13Z
63134,Älggräs,sv,Sweden,SE,,Swedish,Jordi Moreno-Romero,2016-07-15T16:50:29Z
4843,Strandskata,sv,Sweden,SE,,Swedish,Jordi Moreno-Romero,2016-07-17T07:58:03Z
