id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47208,Гамбускҳо,und,"","",,Tajik,John E. Christensen,2017-11-30T21:58:11Z
51304,Газ (дарахт),und,"","",,Tajik,John E. Christensen,2018-09-23T12:42:14Z
47336,Мӯрча,und,"","",,Tajik,John E. Christensen,2018-11-02T13:12:30Z
57140,Зайтун,und,"","",,Tajik,John E. Christensen,2018-12-02T22:42:35Z
40151,Ширхӯрон,und,"","",,Tajik,John E. Christensen,2019-02-07T16:05:30Z
505478,Мурғ,und,"","",,Tajik,John E. Christensen,2020-01-02T13:30:47Z
995030,сиёх дона,und,"","",,Tajik,Andrés Nicolás Ramírez,2020-01-08T21:46:35Z
359450,Коснӣ,und,"","",,Tajik,John E. Christensen,2020-08-28T19:50:48Z
200834,Гаттерия,und,"","",,Tajik,Zane Roskoph,2021-08-12T14:10:37Z
112581,Лаққамоҳӣ,und,"","",,Tajik,Zane Roskoph,2021-08-14T18:26:48Z
112581,Laqqamohī,und,"","",,Tajik,Zane Roskoph,2021-08-14T18:27:08Z
102975,Белуга,und,"","",,Tajik,Zane Roskoph,2021-08-14T18:59:25Z
41964,Шер,und,"","",,Tajik,Zane Roskoph,2021-08-24T15:26:11Z
74831,Паланги барфӣ,und,"","",,Tajik,Zane Roskoph,2021-08-25T12:31:25Z
42407,Зубр,und,"","",,Tajik,Zane Roskoph,2021-08-25T14:02:12Z
41967,Бабр,und,"","",,Tajik,Zane Roskoph,2021-08-26T16:35:43Z
