id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
168879,kadai,und,Taiwan,TW,,Tao,Cheng-Tao Lin,2018-04-03T04:22:29Z
123227,Danggit,und,"","",,Tao,Zane Roskoph,2021-08-03T12:05:24Z
123227,Mangilap,und,"","",,Tao,Zane Roskoph,2021-08-03T12:05:46Z
52451,Kumay,und,"","",,Tao,Zane Roskoph,2021-08-03T16:20:24Z
153280,Talakitok,und,"","",,Tao,Zane Roskoph,2021-08-29T13:14:15Z
153280,Mangsa,und,"","",,Tao,Zane Roskoph,2021-08-29T13:14:49Z
196838,Timbongan,und,"","",,Tao,Zane Roskoph,2021-09-12T23:15:24Z
530730,Batad,und,"","",,Tao,Zane Roskoph,2021-09-15T22:55:24Z
47257,Tangigue,und,"","",,Tao,Zane Roskoph,2021-09-20T00:37:01Z
47257,Tangih,und,"","",,Tao,Zane Roskoph,2021-09-20T00:37:19Z
359360,Kusung,und,"","",,Tao,Zane Roskoph,2021-09-25T14:05:28Z
97098,Loro,und,"","",,Tao,Zane Roskoph,2021-09-25T15:27:51Z
97004,Lapu-lapu,und,"","",,Tao,Zane Roskoph,2021-10-09T16:24:27Z
49498,Samarang,und,"","",,Tao,Zane Roskoph,2021-10-17T14:35:58Z
47251,Bangasan,und,"","",,Tao,Zane Roskoph,2021-10-17T23:31:16Z
47251,Rompe,und,"","",,Tao,Zane Roskoph,2021-10-17T23:31:39Z
47251,Baracuda,und,"","",,Tao,Zane Roskoph,2021-10-17T23:34:01Z
49269,Daut-dotan,und,"","",,Tao,Zane Roskoph,2021-11-07T23:44:57Z
93987,Piit,und,"","",,Tao,Zane Roskoph,2021-12-04T16:44:27Z
93987,Puyo,und,"","",,Tao,Zane Roskoph,2021-12-04T16:46:04Z
93987,Puyo-puyo,und,"","",,Tao,Zane Roskoph,2021-12-04T16:47:19Z
122514,Salamulyete,und,"","",,Tao,Zane Roskoph,2021-12-06T00:53:07Z
122514,Timbungan,und,"","",,Tao,Zane Roskoph,2021-12-06T00:53:56Z
122514,Timbongan,und,"","",,Tao,Zane Roskoph,2021-12-06T00:56:00Z
121661,Taballong,und,"","",,Tao,Zane Roskoph,2021-12-28T15:37:14Z
244366,Puggot,und,"","",,Tao,Zane Roskoph,2021-12-28T16:17:49Z
