id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
57297,Gonia,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Telugu,,2012-03-17T21:48:04Z
202342,sajje,und,"","",,Telugu,"Charles Thomas Hash, Jr.",2014-03-15T19:56:14Z
355675,సకశేరుకాలు,und,"","",,Telugu,John E. Christensen,2017-12-06T09:47:06Z
170883,అరటి,und,"","",,Telugu,John E. Christensen,2017-12-20T15:45:48Z
196615,స్టింగ్రే,und,"","",,Telugu,John E. Christensen,2018-02-04T16:26:09Z
204454,మైనా,und,"","",,Telugu,John E. Christensen,2018-02-18T16:35:56Z
160162,కరం కర్వె,und,"","",,Telugu,John E. Christensen,2018-05-04T16:12:38Z
50321,లాథిరస్,und,"","",,Telugu,John E. Christensen,2018-05-16T08:26:32Z
45933,ఉడుత,und,"","",,Telugu,John E. Christensen,2018-07-12T15:33:11Z
51935,డ్రోసిరా,und,"","",,Telugu,John E. Christensen,2018-07-22T11:40:28Z
58321,సపిండేసి,und,"","",,Telugu,John E. Christensen,2018-10-29T17:02:22Z
41893,ముంగిస,und,"","",,Telugu,John E. Christensen,2018-11-27T09:22:55Z
805392,Palagurugu,und,"","",,Telugu,Kai-Philipp Schablewski,2018-12-03T00:26:19Z
40151,క్షీరదాలు,und,"","",,Telugu,John E. Christensen,2019-02-07T16:10:33Z
47217,ఆర్కిడేసి,und,"","",,Telugu,John E. Christensen,2019-03-15T10:47:52Z
82814,తామర పువ్వు,und,"","",,Telugu,John E. Christensen,2019-05-05T10:44:03Z
48874,అనకార్డియేసి,und,"","",,Telugu,John E. Christensen,2019-05-29T12:22:24Z
160294,మండూకపర్ణి,und,"","",,Telugu,harshithjv,2019-07-14T11:12:29Z
160294,సరస్వతీ ఆకు,und,"","",,Telugu,harshithjv,2019-07-14T11:12:42Z
122835,Chamadumpa,und,"","",,Telugu,harshithjv,2019-07-14T12:34:30Z
122835,Chamagadda,und,"","",,Telugu,harshithjv,2019-07-14T12:34:42Z
122835,Chamakura,und,"","",,Telugu,harshithjv,2019-07-14T12:35:07Z
126882,కలబంద,und,"","",,Telugu,John E. Christensen,2019-08-04T21:49:12Z
934078,Nityamalli,und,"","",,Telugu,Lera Miles,2019-09-07T23:43:44Z
934078,Suryamani,und,"","",,Telugu,Lera Miles,2019-09-07T23:44:22Z
505478,కోడి,und,"","",,Telugu,John E. Christensen,2020-01-02T13:30:26Z
131236,వైరస్లు,und,"","",,Telugu,James K. Douch,2020-02-23T03:07:40Z
1076093,Naragonji,und,"","",,Telugu,Kitty Maurey,2020-07-16T13:07:17Z
1076093,Naragonjitige,und,"","",,Telugu,Kitty Maurey,2020-07-16T13:07:48Z
1076093,Naravanji,und,"","",,Telugu,Kitty Maurey,2020-07-16T13:08:11Z
52345,కన్వాల్వులేసి,und,"","",,Telugu,John E. Christensen,2021-03-29T18:27:04Z
193609,ఏనుగు పల్లేరు [enugu palleru],und,"","",,Telugu,harshithjv,2021-04-03T06:00:02Z
193609,కోకిలాక్షి [kokilaksi],und,"","",,Telugu,harshithjv,2021-04-03T06:00:21Z
193609,వనశృంగాటము [vana-sringatamu],und,"","",,Telugu,harshithjv,2021-04-03T06:00:49Z
52188,Thimingila sora,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10065883/common/332053,Telugu,,2021-07-13T19:05:34Z
100121,Bontoo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073084/common/44335,Telugu,,2021-07-15T12:25:26Z
100146,Bontoo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073169/common/40783,Telugu,,2021-07-15T12:25:27Z
100111,Bontoo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073135/common/42206,Telugu,,2021-07-15T12:25:27Z
100116,Bontoo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073140/common/41995,Telugu,,2021-07-15T12:25:27Z
96990,Bontoo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073038/common/61189,Telugu,,2021-07-15T12:25:28Z
100118,Bontoo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073142/common/41901,Telugu,,2021-07-15T12:25:28Z
54941,Bontoo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073041/common/61075,Telugu,,2021-07-15T12:25:29Z
100130,Bontoo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073150/common/41498,Telugu,,2021-07-15T12:25:29Z
97004,Bontoo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073054/common/60548,Telugu,,2021-07-15T12:25:29Z
100141,Bontoo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073162/common/41032,Telugu,,2021-07-15T12:25:29Z
97273,Phool-mural,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070070/common/128917,Telugu,,2021-07-15T15:46:32Z
97273,Phoola-chapa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070070/common/128918,Telugu,,2021-07-15T15:46:40Z
97273,Pool-a-malle,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070070/common/128883,Telugu,,2021-07-15T15:46:50Z
97273,Poomenu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070070/common/128882,Telugu,,2021-07-15T15:46:56Z
101508,Sorra,und,"","",,Telugu,Zane Roskoph,2021-07-19T12:04:17Z
101508,Sorrah,und,"","",,Telugu,Zane Roskoph,2021-07-19T12:04:42Z
101508,సొర్రా,und,"","",,Telugu,Zane Roskoph,2021-07-19T12:05:03Z
67971,షిమెన్ టెంకీ,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078380/common/265747,Telugu,,2021-07-19T14:36:44Z
67971,Shemen-tenkee,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078380/common/265813,Telugu,,2021-07-19T14:37:12Z
115010,Athiyala,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081706/common/102903,Telugu,,2021-07-19T16:11:10Z
115010,Valaga,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081706/common/102846,Telugu,,2021-07-19T16:11:20Z
115010,Valuga,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081706/common/102842,Telugu,,2021-07-19T16:11:30Z
115010,Walagah,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081706/common/102840,Telugu,,2021-07-19T16:11:37Z
115010,Wallagah,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081706/common/102838,Telugu,,2021-07-19T16:11:46Z
115010,వాలావా,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081706/common/102816,Telugu,,2021-07-19T16:11:52Z
115010,వాలుగ,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081706/common/102812,Telugu,,2021-07-19T16:12:01Z
115010,వాల్లావా,und,"","",,Telugu,Zane Roskoph,2021-07-19T16:12:25Z
48066,Kama sorrah,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055533/common/343573,Telugu,,2021-07-20T15:17:59Z
48066,Sappa sorrah,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055533/common/343559,Telugu,,2021-07-20T15:18:05Z
48066,Sappa-sorrah,und,"","",,Telugu,Zane Roskoph,2021-07-20T15:18:21Z
48066,సప్ప సొర్రా,und,"","",,Telugu,Zane Roskoph,2021-07-20T15:18:53Z
95038,రాతి జెల్ల,und,"","",,Telugu,Zane Roskoph,2021-07-27T13:02:51Z
114226,Arrayam,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061232/common/93618,Telugu,,2021-07-27T13:46:54Z
114226,Iraham,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061232/common/93604,Telugu,,2021-07-27T13:47:00Z
114226,Kudis,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061232/common/93598,Telugu,,2021-07-27T13:47:05Z
