id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
129327,baleeyail an its'amal,und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:00:27Z
165294,ejti tsakam akich,und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:08:17Z
274158,ejtil i k'ubak kw'a',und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:08:18Z
161821,ejtil ojob ilal tdakni,und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:08:18Z
161714,ejtil tsakam wayal,und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:08:18Z
278914,ix'ts'ojol,und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:15:47Z
162829,japidh ichich,und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:15:59Z
290029,k'anawate,und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:16:29Z
199400,krus tok'te,und,"","",,Tenek,joshua_tx,2013-05-16T08:16:42Z
143208,kuat,und,"","",,Tenek,Cheng Te Hsu,2013-05-16T08:16:42Z
169582,k'ukab ajatik,und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:16:43Z
49569,k'uthey,und,"","",,Tenek,Bobby McCabe,2013-05-16T08:16:45Z
120490,kwaath,und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:16:47Z
282249,la'ix iits',und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:16:51Z
278756,ok'te',und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:20:46Z
209270,t'abat'te,und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:24:57Z
287974,tdak jolol,und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:25:18Z
164421,tdak patelax,und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:25:18Z
170046,tdak ts'aah,und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:25:19Z
164022,tsak maape',und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:26:22Z
283215,wayelom te',und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:27:27Z
48895,wew tdiniy,und,"","",,Tenek,Ken-ichi Ueda,2013-05-16T08:27:27Z
162295,Ejtil i tsakam yejtsel,und,"","",,Tenek,Alexis López Hernández,2018-05-21T07:45:01Z
287064,tsak ts'aah,und,"","",,Tenek,Ken-ichi Ueda,2019-02-18T04:23:24Z
909743,punal,und,"","",,Tenek,Ken-ichi Ueda,2019-07-18T18:13:26Z
921601,korpus huitz,und,"","",,Tenek,Ken-ichi Ueda,2019-08-12T14:40:50Z
