id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47115,Molusku,und,"","",,Tetum,John E. Christensen,2017-12-02T11:11:31Z
40151,Mamíferu,und,"","",,Tetum,John E. Christensen,2019-02-07T16:09:24Z
135283,Kafir turi,und,"","",,Tetum,Zane Roskoph,2021-07-27T18:15:42Z
52456,Garopa melatan,und,"","",,Tetum,Zane Roskoph,2021-08-01T13:44:28Z
123227,Kitan,und,"","",,Tetum,Zane Roskoph,2021-08-03T12:08:07Z
52451,Fafulu kinur,und,"","",,Tetum,Zane Roskoph,2021-08-03T16:23:38Z
153280,Burgahi,und,"","",,Tetum,Zane Roskoph,2021-08-29T12:46:56Z
153280,Koku metan,und,"","",,Tetum,Zane Roskoph,2021-08-29T12:47:21Z
153280,Siria,und,"","",,Tetum,Zane Roskoph,2021-08-29T12:47:39Z
196838,Biz nga mean,und,"","",,Tetum,Zane Roskoph,2021-09-12T23:19:16Z
83879,Fafulu Kinur rentos meik,und,"","",,Tetum,Zane Roskoph,2021-09-15T23:41:17Z
83879,Fafulu mutin rentos meik,und,"","",,Tetum,Zane Roskoph,2021-09-15T23:41:40Z
112160,Niru meti laran,und,"","",,Tetum,Zane Roskoph,2021-09-25T14:33:53Z
68025,Niru metan,und,"","",,Tetum,Zane Roskoph,2021-09-25T14:57:17Z
97004,Garopa ikun tu'uk,und,"","",,Tetum,Zane Roskoph,2021-10-09T16:44:40Z
47251,Alu-alu,und,"","",,Tetum,Zane Roskoph,2021-10-17T23:40:37Z
471636,Ikan fatuk,und,"","",,Tetum,Zane Roskoph,2021-12-04T14:42:33Z
122514,Biz nga kinur,und,"","",,Tetum,Zane Roskoph,2021-12-06T00:57:30Z
