id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340211,Mukorokoro,und,"","",,Thimbukushu,Botswanabugs,2020-01-11T07:41:20Z
546325,Mukorokoro,und,"","",,Thimbukushu,Botswanabugs,2020-01-11T07:47:17Z
485445,Ghushi,und,"","",,Thimbukushu,Botswanabugs,2020-01-11T07:49:26Z
431063,Muthiothio,und,"","",,Thimbukushu,Botswanabugs,2020-01-11T08:56:43Z
588676,Mushama,und,"","",,Thimbukushu,Botswanabugs,2020-01-11T14:27:34Z
340243,Ghughuwa,und,"","",,Thimbukushu,Botswanabugs,2020-01-11T14:50:45Z
169414,Ghughumi,und,"","",,Thimbukushu,Botswanabugs,2020-01-11T15:00:09Z
81500,Divuyu,und,"","",,Thimbukushu,Botswanabugs,2020-01-11T15:13:16Z
599510,Thindongowarodhi,und,"","",,Thimbukushu,Botswanabugs,2020-01-11T15:15:53Z
336810,Ghushosho,und,"","",,Thimbukushu,Botswanabugs,2020-01-11T15:32:11Z
469306,Mugcaragcaca,und,"","",,Thimbukushu,Botswanabugs,2020-01-11T15:52:00Z
340206,Mukurathiku,und,"","",,Thimbukushu,Botswanabugs,2020-01-11T16:01:14Z
527004,Ngandu,und,"","",,Thimbukushu,Botswanabugs,2020-01-11T16:06:56Z
592652,Mudhigho-dhigo,und,"","",,Thimbukushu,Botswanabugs,2020-01-11T16:10:51Z
340245,ghuge,und,"","",,Thimbukushu,Botswanabugs,2020-01-13T06:44:41Z
340245,ufuongo,und,"","",,Thimbukushu,Botswanabugs,2020-01-13T06:45:42Z
340245,murwa,und,"","",,Thimbukushu,Botswanabugs,2020-01-13T07:33:03Z
340245,ghumurwa,und,"","",,Thimbukushu,Botswanabugs,2020-01-13T07:33:50Z
596044,Monxid,und,"","",,Thimbukushu,Botswanabugs,2020-01-15T21:51:05Z
48448,mondere,und,"","",,Thimbukushu,Botswanabugs,2020-01-15T21:54:25Z
