id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340245,nkanye,und,"","",,Thonga,Botswanabugs,2020-01-13T07:35:25Z
340245,minkanye,und,"","",,Thonga,Botswanabugs,2020-01-13T07:36:02Z
165503,nkaka,und,"","",,Thonga,Botswanabugs,2021-07-25T11:22:00Z
340276,murride,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Thonga,Ken-ichi Ueda,2021-10-21T20:41:49Z
499378,cudodo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Thonga,Ken-ichi Ueda,2021-10-21T20:41:49Z
499378,cumbato,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Thonga,Ken-ichi Ueda,2021-10-21T20:41:50Z
597591,aGowane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Thonga,Ken-ichi Ueda,2021-10-21T20:41:50Z
161469,adumu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Thonga,Ken-ichi Ueda,2021-10-21T20:41:50Z
431014,amphayi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Thonga,Ken-ichi Ueda,2021-10-21T20:41:50Z
133182,ankuwa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Thonga,Ken-ichi Ueda,2021-10-21T20:41:51Z
585963,alufubu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Thonga,Ken-ichi Ueda,2021-10-21T20:41:51Z
141177,ashikolohwani,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Thonga,Ken-ichi Ueda,2021-10-21T20:41:51Z
586944,isithangwazi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Thonga,Ken-ichi Ueda,2021-10-21T20:41:52Z
340219,asithondjwana,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Thonga,Ken-ichi Ueda,2021-10-21T20:41:52Z
168423,ashitokotoko,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Thonga,Ken-ichi Ueda,2021-10-21T20:41:53Z
601313,onDoni,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Thonga,Ken-ichi Ueda,2021-10-21T20:41:53Z
601427,Ankhulu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Thonga,Ken-ichi Ueda,2021-10-21T20:41:53Z
340245,nkanya,und,"","",,Thonga,Botswanabugs,2022-06-02T09:31:19Z
