id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
179202,Yartsa Gunbu,und,"","",,Tibetan,Duarte Frade,2014-10-05T14:23:46Z
42420,ར་རྒྱ,und,"","",,Tibetan,Bobby McCabe,2018-01-18T19:27:52Z
43338,རྐྱང་།,und,"","",,Tibetan,Bobby McCabe,2018-01-25T18:18:47Z
3,བྱ།,und,"","",,Tibetan,John E. Christensen,2018-03-20T07:04:30Z
47336,འབུ་གྲོག་མ།,und,"","",,Tibetan,John E. Christensen,2018-11-02T13:05:18Z
42147,ཆུ་རྟ།,und,"","",,Tibetan,John E. Christensen,2018-12-04T17:25:19Z
40151,འུ་འཐུང་སྲོག་ཆགས།,und,"","",,Tibetan,John E. Christensen,2019-02-07T16:02:55Z
85553,སྦྲུལ།,und,"","",,Tibetan,John E. Christensen,2019-04-28T07:10:10Z
505478,བྱ་ཏེ་,und,"","",,Tibetan,John E. Christensen,2019-10-06T06:50:17Z
42313,གནའ་བ་,und,"","",,Tibetan,yak_czechia,2020-03-30T22:57:31Z
42392,གཉན,und,"","",,Tibetan,yak_czechia,2020-03-30T23:09:59Z
979675,བྱ་དཀར,und,"Qinghai, CN","",,Tibetan,yak_czechia,2020-04-11T19:00:28Z
41644,བྱང་སྣེའི་དོམ་དཀར།,und,"","",,Tibetan,Zane Roskoph,2021-08-11T16:05:16Z
41955,ཤ་གཟིག,und,"","",,Tibetan,Zane Roskoph,2021-08-13T11:54:17Z
41461,ཆུ་སྲིན་དཀར་པོ།,und,"","",,Tibetan,Zane Roskoph,2021-08-15T17:57:42Z
41964,སེང་གེ,und,"","",,Tibetan,Zane Roskoph,2021-08-24T13:02:31Z
74831,གསའ་གཟིག,und,"","",,Tibetan,Zane Roskoph,2021-08-24T15:45:34Z
41967,སྟག,und,"","",,Tibetan,Zane Roskoph,2021-08-26T15:00:27Z
116523,རེ་འབྱམས་མཆུ་རིང་།,und,"","",,Tibetan,Zane Roskoph,2021-09-13T15:54:18Z
820729,shog gu me tog,und,"","",,Tibetan,James Ojascastro,2022-01-05T19:24:44Z
820729,shog shing,und,"","",,Tibetan,James Ojascastro,2022-01-05T19:25:11Z
