id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47251,Ono,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Tokelauan,,2008-08-07T03:34:41Z
366267,Puapua,und,"","",,Tokelauan,James Ojascastro,2017-11-21T18:18:39Z
126840,kanava,und,"New Zealand Zone, NZ","",,Tokelauan,Leon Perrie,2017-11-21T23:21:23Z
100111,Nhinhinhi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073135/common/42156,Tokelauan,,2021-07-15T12:26:01Z
52188,Faime,und,"","",,Tokelauan,Zane Roskoph,2021-07-19T11:52:02Z
67971,Fai kili,und,"","",,Tokelauan,Zane Roskoph,2021-07-19T14:36:05Z
135283,Ponehamoa,und,"","",,Tokelauan,Zane Roskoph,2021-07-27T18:28:19Z
63597,Hoa ote puhi,und,"","",,Tokelauan,Zane Roskoph,2021-07-27T19:35:53Z
63597,Uho ote puhi,und,"","",,Tokelauan,Zane Roskoph,2021-07-27T19:36:12Z
83884,Humu fagota,und,"","",,Tokelauan,Zane Roskoph,2021-07-30T19:29:29Z
123227,Maeva,und,"","",,Tokelauan,Zane Roskoph,2021-08-03T12:16:04Z
52451,Umelei,und,"","",,Tokelauan,Zane Roskoph,2021-08-03T16:29:26Z
67836,Dhalil-dhalil,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10074698/common/61924,Tokelauan,,2021-08-24T12:03:27Z
181024,O,und,"","",,Tokelauan,Zane Roskoph,2021-08-28T23:55:16Z
54441,Puhi kaitamoko,und,"","",,Tokelauan,Zane Roskoph,2021-08-29T12:08:56Z
54441,Fau ote kolo,und,"","",,Tokelauan,Zane Roskoph,2021-08-29T12:09:16Z
153280,Wadhan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069945/common/133227,Tokelauan,,2021-08-29T12:25:45Z
153280,Komulo,und,"","",,Tokelauan,Zane Roskoph,2021-08-29T12:26:14Z
153280,Lupohama,und,"","",,Tokelauan,Zane Roskoph,2021-08-29T12:26:34Z
153280,Uauaoge,und,"","",,Tokelauan,Zane Roskoph,2021-08-29T12:26:58Z
153280,Uluakata,und,"","",,Tokelauan,Zane Roskoph,2021-08-29T12:27:17Z
196838,Tuita,und,"","",,Tokelauan,Zane Roskoph,2021-09-12T23:31:43Z
119717,Gagafu,und,"","",,Tokelauan,Zane Roskoph,2021-09-13T13:08:43Z
119717,Gafugafu,und,"","",,Tokelauan,Zane Roskoph,2021-09-13T13:08:59Z
83879,Tatifi,und,"","",,Tokelauan,Zane Roskoph,2021-09-15T23:46:50Z
83879,Umeihu,und,"","",,Tokelauan,Zane Roskoph,2021-09-15T23:47:12Z
132366,Apalani,und,"","",,Tokelauan,Zane Roskoph,2021-09-17T19:25:29Z
114122,Atutaoa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Tokelauan,,2021-09-18T19:06:15Z
69675,Atutaoa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Tokelauan,,2021-09-18T19:06:16Z
47257,Paala,und,"","",,Tokelauan,Zane Roskoph,2021-09-20T00:52:33Z
47257,Pala,und,"","",,Tokelauan,Zane Roskoph,2021-09-20T00:52:58Z
97004,Kaupatuo,und,"","",,Tokelauan,Zane Roskoph,2021-10-09T16:51:46Z
108074,Lolo,und,"","",,Tokelauan,Zane Roskoph,2021-10-16T13:49:32Z
52464,Humu tuakau,und,"","",,Tokelauan,Zane Roskoph,2021-10-17T14:01:34Z
52464,Humu uli,und,"","",,Tokelauan,Zane Roskoph,2021-10-17T14:01:56Z
49498,Humu kaleva,und,"","",,Tokelauan,Zane Roskoph,2021-10-17T14:45:25Z
47251,Pananua,und,"","",,Tokelauan,Zane Roskoph,2021-10-18T00:09:57Z
122514,Moaga hehega,und,"","",,Tokelauan,Zane Roskoph,2021-12-06T01:13:32Z
122514,Moaga aheu,und,"","",,Tokelauan,Zane Roskoph,2021-12-06T01:13:52Z
