id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
99877,Moko,und,"","",,Tongan,Michael Pennay,2013-03-24T10:16:03Z
468701,Mubatabata,und,"","",,Tongan,Joachim Louis,2016-03-25T07:41:42Z
47549,Monumanu kili talatala,und,"","",,Tongan,John E. Christensen,2017-12-02T21:23:44Z
1,Monumanu,und,"","",,Tongan,John E. Christensen,2017-12-04T11:47:23Z
126165,Kape,und,"","",,Tongan,sea-kangaroo,2018-01-06T05:10:53Z
51921,Mateloi,und,"","",,Tongan,John E. Christensen,2018-02-06T16:02:44Z
136336,Ponga paame,und,"","",,Tongan,John E. Christensen,2020-05-02T15:32:44Z
123572,Sī,und,"","",,Tongan,John E. Christensen,2021-02-07T08:57:42Z
12575,Fuleheu,und,"","",,Tongan,lwnrngr,2021-06-17T10:06:30Z
135283,Tuhi,und,"","",,Tongan,Zane Roskoph,2021-07-27T18:28:04Z
49639,Ngatala pulepule,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073047/common/60807,Tongan,,2021-07-29T00:59:47Z
52456,Ngatala 'uli,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073036/common/61416,Tongan,,2021-08-01T14:17:11Z
331121,Laimi,und,"","",,Tongan,Zane Roskoph,2021-08-10T12:29:42Z
14960,Misi,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-07T03:54:13Z
40918,Peka,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-07T03:56:33Z
401,Veka,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-07T04:01:09Z
6987,Toloa,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-07T04:02:02Z
418530,Kalae,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-07T04:02:07Z
604095,Kulukulu,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-08T04:08:09Z
5168,Taiseni,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-09T09:13:22Z
472076,Sikota,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-09T09:16:05Z
3195,Lupe,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-09T09:28:20Z
510447,Pekapeka,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-09T09:29:41Z
19046,Koki,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-09T09:30:47Z
14593,Fuiva,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-09T09:31:39Z
4314,Tavake,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-10T20:52:06Z
4947,Motuku,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-11T01:36:01Z
48865,Niu,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-13T04:48:55Z
62811,Lesi,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-13T04:49:54Z
14850,Misi Palangi,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-13T04:51:34Z
48872,Mango,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-13T04:52:18Z
882,Moa,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-13T04:53:04Z
70027,Mei,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-13T04:53:39Z
41566,Tofua'a,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-14T03:20:19Z
47257,Valu louniu,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-16T07:50:02Z
135283,Pone tuhi,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-16T08:03:51Z
132366,palangi,und,"","",,Tongan,islandwildlifespotter,2021-09-16T08:05:11Z
20445,Lulu,und,"","",,Tongan,islandwildlifespotter,2021-09-16T18:43:40Z
2021,Malau,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-09-16T18:44:15Z
4628,Helekosi,und,"","",,Tongan,islandwildlifespotter,2021-09-16T18:47:00Z
121022,Nonu,und,"","",,Tongan,islandwildlifespotter,2021-09-21T03:29:52Z
49498,Papae,und,"","",,Tongan,Zane Roskoph,2021-10-17T14:45:55Z
47251,Hapatu,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Tongan,,2021-10-18T00:09:37Z
7904,Hengehenga,und,Tonga,TO,,Tongan,islandwildlifespotter,2021-10-29T23:35:59Z
