id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
64134,kasili,und,"","",,Tongva,Mike Dillon,2013-11-20T16:30:48Z
50643,kasili,und,"","",,Tongva,Mike Dillon,2013-11-20T16:31:33Z
53357,pawots,und,"","",,Tongva,Mike Dillon,2013-11-20T16:33:35Z
54999,wilakal,und,"","",,Tongva,Mike Dillon,2013-11-20T16:34:44Z
47146,hu'utah,und,"","",,Tongva,Mike Dillon,2013-11-20T16:35:32Z
75598,wikwat,und,"","",,Tongva,Mike Dillon,2013-11-20T16:36:15Z
58362,ako,und,"","",,Tongva,Mike Dillon,2013-11-20T16:37:02Z
53351,tukunet,und,"","",,Tongva,Mike Dillon,2013-11-20T16:37:38Z
55133,sobochesh,und,"","",,Tongva,Mike Dillon,2013-11-20T16:38:41Z
58231,shavar,und,"","",,Tongva,Mike Dillon,2013-11-20T16:39:16Z
57913,tokor mamahar,und,"","",,Tongva,Mike Dillon,2013-11-20T16:43:41Z
54942,kochar,und,"","",,Tongva,Mike Dillon,2013-11-20T16:44:51Z
53405,ashuwet,und,"","",,Tongva,Mike Dillon,2013-11-20T16:45:23Z
78440,tákape ahots,und,"","",,Tongva,Mike Dillon,2013-11-20T17:16:42Z
47850,weht,und,"","",,Tongva,Mike Dillon,2013-11-20T17:17:18Z
48807,takápe kakáaka,und,"","",,Tongva,Mike Dillon,2013-11-20T18:54:43Z
49674,iswish,und,"","",,Tongva,Mike Dillon,2013-11-20T18:55:23Z
59094,suul,und,"","",,Tongva,Mike Dillon,2013-11-20T18:58:38Z
53453,sáhshat,und,"","",,Tongva,Mike Dillon,2013-11-20T18:59:15Z
53437,otsur,und,"","",,Tongva,Mike Dillon,2013-11-20T18:59:47Z
52643,soar,und,"","",,Tongva,Mike Dillon,2013-11-20T19:01:44Z
58738,tsameesh,und,"","",,Tongva,Mike Dillon,2017-08-30T00:50:28Z
765394,kuut,und,"","",,Tongva,cassi saari,2018-09-28T13:16:27Z
75296,amul,und,"","",,Tongva,David Greenberger,2020-07-19T00:02:03Z
75757,yatatko,und,"","",,Tongva,David Greenberger,2020-07-19T00:02:38Z
49919,kwingily,und,"","",,Tongva,David Greenberger,2020-07-19T00:03:14Z
54503,takápe wáshut,und,"","",,Tongva,David Greenberger,2020-07-19T00:03:57Z
49918,tukupar ahen,und,"","",,Tongva,David Greenberger,2020-07-19T00:05:06Z
64141,pa'akal,und,"","",,Tongva,David Greenberger,2020-07-19T00:05:51Z
48225,mekachaa,und,"","",,Tongva,David Greenberger,2020-07-19T00:10:15Z
63923,pavaskavit,und,"","",,Tongva,David Greenberger,2020-07-19T00:10:57Z
51092,weeaht,und,"","",,Tongva,David Greenberger,2020-07-19T00:11:30Z
60316,miish,und,"","",,Tongva,David Greenberger,2020-07-19T00:11:55Z
52120,avakhat,und,"","",,Tongva,David Greenberger,2020-07-19T00:13:06Z
47129,kochar,und,"","",,Tongva,David Greenberger,2020-07-19T00:13:32Z
79315,yatatkosot,und,"","",,Tongva,David Greenberger,2020-07-19T00:14:14Z
53134,mighali,und,"","",,Tongva,David Greenberger,2020-07-19T00:14:46Z
57019,ahiko ahen,und,"","",,Tongva,David Greenberger,2020-07-19T00:15:18Z
143799,hukaat,und,"","",,Tongva,David Greenberger,2020-07-19T00:15:44Z
143799,ku'ut,und,"","",,Tongva,David Greenberger,2020-07-19T00:16:18Z
50184,maawel,und,"","",,Tongva,David Greenberger,2020-07-19T00:16:43Z
55436,tevanebich,und,"","",,Tongva,David Greenberger,2020-07-19T00:17:19Z
63609,kwiashili,und,"","",,Tongva,David Greenberger,2020-07-19T00:17:50Z
57250,donketsip,und,"","",,Tongva,David Greenberger,2020-07-19T00:18:24Z
