id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
158178,a’katzasna,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:57:45Z
158180,a’katzasna,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:57:45Z
316769,aca-lasni,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:57:58Z
275112,acalocochoc,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:57:59Z
154538,acashti,und,"","",,Totonaco,Adrian Bojorquez,2013-05-16T07:58:00Z
288686,acasucut,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:58:00Z
122965,a'ca'xca',und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:58:01Z
210961,acs'cai',und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:58:12Z
285717,actalán,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:58:12Z
127676,acua'u,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:58:14Z
208846,aczintepuscat,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:58:15Z
283085,ahuahuá-qui-ui,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:58:28Z
57309,a'hua'x,und,"","",,Totonaco,Bobby McCabe,2013-05-16T07:58:29Z
164333,akaxukulh,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:58:37Z
200053,akgkunuc xanat,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:58:37Z
79077,Akguana lipalhna,und,"","",,Totonaco,Bodo Nuñez Oberg,2013-05-16T07:58:38Z
166749,aklhkuchitin,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:58:38Z
160255,Akowa,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:58:39Z
287120,aktala'huat,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T07:58:39Z
287923,atlukuk,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T08:00:11Z
209963,atzpunkiwi,und,"","",,Totonaco,Ken-ichi Ueda,2013-05-16T08:00:12Z
126236,a'xit kiwi,und,"","",,Totonaco,Bodo Nuñez Oberg,2013-05-16T08:00:15Z
