id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
209885,boné,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:02:30Z
210070,canolté,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:03:40Z
135765,cantaj,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:03:40Z
206778,canyutilté,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:03:43Z
292128,chabecté,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:04:47Z
281785,chapay,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:05:03Z
283328,chapaya,und,"","",,Tseltal,Carlos Galindo-Leal,2013-05-16T08:05:03Z
316763,chelele,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:05:12Z
138368,chelele,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:05:12Z
209925,chelele,und,"","",,Tseltal,Carlos Galindo-Leal,2013-05-16T08:05:12Z
122850,chenec,und,"","",,Tseltal,Zachary Dankowicz,2013-05-16T08:05:13Z
138797,chik chish,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:05:27Z
209919,chiquicob,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:05:37Z
278190,chitam-té,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:05:39Z
278914,chitan wamal,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:05:39Z
210073,chuchum,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:05:50Z
284772,chupacté,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:05:52Z
62831,cic on,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:05:55Z
278021,coccoc huamal,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:06:08Z
282409,cololté,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:06:29Z
209875,cosanté,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:07:06Z
284819,coshosté,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:07:06Z
285653,coshosté,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:07:06Z
209906,guach,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:10:18Z
48514,ich,und,"","",,Tseltal,Nick Block,2013-05-16T08:15:25Z
133291,ichi' bok,und,"","",,Tseltal,joshua_tx,2013-05-16T08:15:26Z
135728,ichtaj,und,"","",,Tseltal,,2013-05-16T08:15:26Z
132130,iquilté,und,"","",,Tseltal,Adrian Bojorquez,2013-05-16T08:15:33Z
48448,ishín,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:15:35Z
206793,izitzuch,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:15:48Z
283164,jelc'istez,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:16:05Z
273850,jun,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:16:22Z
289866,k'ante,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:16:31Z
273715,laec,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:16:49Z
209983,majash,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:18:20Z
159126,meste,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:19:09Z
277620,mojowil akan,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:19:22Z
83585,no ci,und,"","",,Tseltal,Ken-ichi Ueda,2013-05-16T08:20:09Z
