id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
284479,ajob,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T07:58:34Z
163758,alalatz,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T07:58:41Z
120942,alalatz,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T07:58:41Z
285718,ashenté,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:00:06Z
282380,bachté,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:00:24Z
127676,bosh,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:02:34Z
165144,Chaté,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:05:07Z
209901,chichbat,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:05:16Z
280898,chichol-antivo,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:05:23Z
209422,chiquinib,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:05:37Z
282386,chiquinib,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:05:37Z
54802,chisteé,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:05:39Z
280965,cushpebul,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:08:00Z
209955,jabnal,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:15:51Z
289974,jolpucuj,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:16:16Z
278804,kadena wamal,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:16:26Z
147294,lura,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:18:03Z
277620,mamal at momol,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:18:32Z
125147,nap,und,"","",,Tsotsil,harum.koh,2013-05-16T08:19:51Z
286485,nectanté,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:20:00Z
279119,nucché,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:20:34Z
62859,pata,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:22:33Z
286917,piquinté,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:23:10Z
207049,pishán,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:23:11Z
279747,saquilanal,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:24:21Z
285717,tililjá,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:25:42Z
167487,tushní,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:26:40Z
284027,t-utach,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:26:40Z
277136,tz'oban pox,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:26:56Z
49569,tzonté,und,"","",,Tsotsil,Bobby McCabe,2013-05-16T08:26:57Z
281550,tzotzilté,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:26:58Z
283354,Yatzi,und,"","",,Tsotsil,Ken-ichi Ueda,2013-05-16T08:28:15Z
291743,ik'al ak',und,"","",,Tsotsil,Ken-ichi Ueda,2018-08-21T06:55:09Z
119956,satí,und,"","",,Tsotsil,Ken-ichi Ueda,2019-01-23T00:06:32Z
315023,Koxoxte’,und,"","",,Tsotsil,EAT,2019-04-07T03:34:55Z
177749,Umoten,und,"","",,Tsotsil,Francisco Acosta,2020-05-04T19:17:29Z
68006,Tulucan,und,"","",,Tsotsil,Francisco Acosta,2020-05-04T19:42:00Z
82590,Kolom,und,"","",,Tsotsil,Francisco Acosta,2020-05-04T21:40:41Z
913287,chupac,und,"","",https://www.inaturalist.org/taxon_names/443998/edit,Tsotsil,,2020-09-04T06:50:27Z
201521,chisteé,und,"","",https://www.inaturalist.org/taxon_names/443921/edit,Tsotsil,,2021-09-14T03:00:41Z
