id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
42276,Tsessebe,und,"","",,Tswana,Santie Bourquin,2018-02-07T07:46:07Z
74414,Ramotsibodis,und,"","",,Tswana,Brendan O'Loughlin,2018-04-02T20:24:47Z
74414,Tshagane,und,"","",,Tswana,Brendan O'Loughlin,2018-04-02T20:25:20Z
569632,mokgoba,und,"","",,Tswana,Tony Rebelo,2018-06-19T06:46:04Z
135389,Mokhuku,und,"","",,Tswana,Botswanabugs,2018-07-05T07:01:04Z
135389,Modubanoka,und,"","",,Tswana,Botswanabugs,2018-07-05T07:02:07Z
340062,Mokabi,und,"","",,Tswana,Botswanabugs,2018-07-05T07:03:46Z
340062,Mokata,und,"","",,Tswana,Botswanabugs,2018-07-05T07:05:01Z
340059,Mohudiri,und,"","",,Tswana,Botswanabugs,2018-07-05T07:09:04Z
340408,Motswiri,und,"","",,Tswana,Botswanabugs,2018-07-05T07:12:02Z
342738,Modubatshipi,und,"","",,Tswana,Botswanabugs,2018-07-05T07:13:53Z
342738,Mohudiri la lentswe,und,"","",,Tswana,Botswanabugs,2018-07-05T07:14:58Z
342738,Molatswe,und,"","",,Tswana,Botswanabugs,2018-07-05T07:16:06Z
336810,Mogonono,und,"","",,Tswana,Botswanabugs,2018-07-05T07:19:27Z
590685,Monyelenyele,und,"","",,Tswana,Botswanabugs,2018-07-05T07:30:07Z
590686,Monyelenyele,und,"","",,Tswana,Botswanabugs,2018-07-05T07:31:24Z
185889,Moltshana,und,"","",,Tswana,Botswanabugs,2018-07-05T07:32:59Z
185889,sethadingaka,und,"","",,Tswana,Botswanabugs,2018-07-05T07:34:07Z
191689,Motubana,und,"","",,Tswana,Botswanabugs,2018-07-05T07:35:31Z
81500,Mowana,und,"","",,Tswana,Botswanabugs,2018-07-05T07:37:11Z
130789,Motswalakgoro,und,"","",,Tswana,Botswanabugs,2018-07-05T07:40:21Z
130789,serethwane,und,"","",,Tswana,Botswanabugs,2018-07-05T07:41:15Z
130789,seretlhwane,und,"","",,Tswana,Botswanabugs,2018-07-05T07:42:21Z
431070,letseta,und,"","",,Tswana,Botswanabugs,2018-07-05T07:44:33Z
431070,sesetlho,und,"","",,Tswana,Botswanabugs,2018-07-05T07:45:22Z
431070,tlhale,und,"","",,Tswana,Botswanabugs,2018-07-05T07:46:19Z
342711,Morojwa,und,"","",,Tswana,Botswanabugs,2018-07-05T07:49:06Z
336861,Marago a bahumagadi,und,"","",,Tswana,Botswanabugs,2018-07-05T07:51:03Z
431074,mogwana,und,"","",,Tswana,Botswanabugs,2018-07-05T07:52:12Z
527059,moretlwa,und,"","",,Tswana,Botswanabugs,2018-07-05T07:53:30Z
431075,mokgompathe,und,"","",,Tswana,Botswanabugs,2018-07-05T07:55:46Z
469315,mogwanakgomo,und,"","",,Tswana,Botswanabugs,2018-07-05T07:57:24Z
567067,mokankele,und,"","",,Tswana,Botswanabugs,2018-07-05T07:59:12Z
567067,motsotsojane,und,"","",,Tswana,Botswanabugs,2018-07-05T08:00:01Z
431080,mpupunye,und,"","",,Tswana,Botswanabugs,2018-07-05T08:01:21Z
340228,mokgalo,und,"","",,Tswana,Botswanabugs,2018-07-05T08:03:57Z
129706,Moselesele,und,"","",,Tswana,Botswanabugs,2018-08-05T10:57:20Z
340238,monato,und,"","",,Tswana,Pedro Nájera Quezada,2019-03-18T16:25:00Z
431074,kukuruthwe,und,"","",,Tswana,Botswanabugs,2019-09-27T16:18:34Z
925659,Tshipa,und,"","",,Tswana,Bobby McCabe,2020-02-23T05:00:04Z
42278,Phala,und,"","",,Tswana,Bobby McCabe,2020-03-19T16:08:39Z
567017,legonyana,und,"","",,Tswana,Botswanabugs,2020-03-24T13:29:18Z
26717,Ralegonyane,und,"","",,Tswana,Andrew Durso,2020-08-28T14:52:32Z
106446,Kake,und,"","",,Tswana,Andrew Durso,2020-08-28T15:21:03Z
30405,Mokôpa,und,"","",,Tswana,Andrew Durso,2020-08-28T15:54:13Z
42387,sehutshane,und,"","",,Tswana,Botswanabugs,2020-11-18T12:56:37Z
