id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
69675,Kakahi,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10072977/common/160067,Tuamotuan,Andrés Nicolás Ramírez,2015-06-26T01:49:28Z
114125,Kakahi,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10072980/common/159779,Tuamotuan,,2015-06-26T01:49:28Z
52188,Mago tohorā,und,"","",,Tuamotuan,Zane Roskoph,2021-07-19T11:52:31Z
111716,Puhi,und,"","",,Tuamotuan,Zane Roskoph,2021-07-20T15:54:55Z
52508,Paparari,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076322/common/200229,Tuamotuan,,2021-07-27T15:47:56Z
52508,Kutu,und,"","",,Tuamotuan,Zane Roskoph,2021-07-27T15:48:18Z
98501,Marari,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076283/common/142219,Tuamotuan,,2021-07-27T17:01:28Z
63597,Marari,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076469/common/36362,Tuamotuan,,2021-07-27T17:01:29Z
135283,Avai,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066658/common/54867,Tuamotuan,,2021-07-27T18:28:43Z
121193,Avai,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066662/common/54613,Tuamotuan,,2021-07-27T18:28:44Z
424818,Pakerero,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066720/common/55447,Tuamotuan,,2021-07-28T13:34:11Z
132410,Hami,und,"","",,Tuamotuan,Zane Roskoph,2021-07-28T15:07:53Z
132410,Orohea,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066664/common/54427,Tuamotuan,,2021-07-28T15:08:06Z
83884,Horotahora,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084953/common/180660,Tuamotuan,,2021-07-30T19:29:40Z
83884,Kokiri horatahora,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084953/common/180649,Tuamotuan,,2021-07-30T19:29:57Z
52456,Roi,und,"","",,Tuamotuan,Zane Roskoph,2021-08-01T14:17:46Z
52456,Haputu,und,"","",,Tuamotuan,Zane Roskoph,2021-08-01T14:19:23Z
52451,Tarei,und,"","",,Tuamotuan,Zane Roskoph,2021-08-03T16:29:50Z
196836,Kaveti,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10077033/common/64990,Tuamotuan,,2021-08-10T01:51:34Z
196836,Moaga,und,"","",,Tuamotuan,Zane Roskoph,2021-08-10T01:54:33Z
615233,Fanea,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055107/common/32692,Tuamotuan,,2021-08-23T12:29:53Z
489352,Fanea,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10085639/common/346418,Tuamotuan,,2021-08-23T12:29:53Z
153280,Komuri,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069945/common/133291,Tuamotuan,,2021-08-29T12:24:38Z
119717,Mamo,und,"","",,Tuamotuan,Zane Roskoph,2021-09-13T13:08:25Z
83879,Herepo ti,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Tuamotuan,,2021-09-15T23:47:42Z
110599,Korai keke,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Tuamotuan,,2021-09-17T22:37:02Z
47257,Roroa,und,"","",,Tuamotuan,Zane Roskoph,2021-09-20T00:53:38Z
52464,Hopupu,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Tuamotuan,,2021-10-17T14:00:30Z
