id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
51921,ನಾಚಿಕೆ ಮುಳ್ಳು,und,"","",,Tulu,John E. Christensen,2018-02-06T16:02:08Z
62941,ಕೆರೆಂಗ್,und,"","",,Tulu,John E. Christensen,2018-02-17T13:23:27Z
333586,ನಕ್ಕುರು,und,"","",,Tulu,John E. Christensen,2018-07-11T14:15:22Z
68530,ಚಟ್ಟೆ ಕಂದಡಿ,und,"","",,Tulu,harshithjv,2018-08-26T09:09:53Z
32150,ಪೆರ್ಮರಿ,und,"Dakshina Kannada, KA, IN | Udupi, KA, IN | Kasaragod, KL, IN","",,Tulu,harshithjv,2018-08-26T09:11:09Z
30687,ಕಂದಡಿ,und,"","",,Tulu,harshithjv,2018-08-26T09:12:35Z
133309,ಕೆಪುಲ,und,"Dakshina Kannada, KA, IN","",,Tulu,harshithjv,2018-09-06T03:47:40Z
29832,ಪಗೆಲೆ,und,"Dakshin Kannad, KA, IN","",,Tulu,harshithjv,2018-09-06T03:58:17Z
204491,ಬೊಳ್ಳೆರಿ ಮಾಣಿಗ,und,"Dakshina Kannada, KA, IN","",,Tulu,harshithjv,2018-09-06T04:00:19Z
14591,ಕೊಟ್ರುಂಜ,und,"","",,Tulu,harshithjv,2018-09-06T04:02:31Z
8031,ಕಕ್ಕೆ,und,"","",,Tulu,harshithjv,2018-09-06T04:03:45Z
18911,ಗಿಲಿ,und,"","",,Tulu,harshithjv,2018-09-06T04:06:48Z
41618,ಪುರುಂಗು ಪುಚ್ಚೆ,und,"","",,Tulu,harshithjv,2018-09-06T04:13:49Z
319218,ಬಿಂಬುಲಿ,und,"Dakshina Kannada, KA, IN | Udupi, KA, IN | Kasaragod, KL, IN","",,Tulu,harshithjv,2018-09-25T05:41:11Z
319218,ಬೀಂಪುಳಿ,und,"Dakshina Kannada, KA, IN | Udupi, KA, IN | Kasaragod, KL, IN","",,Tulu,harshithjv,2018-09-25T05:43:05Z
19350,ಗುಮ್ಮೆ,und,"","",,Tulu,harshithjv,2018-10-24T04:32:17Z
19350,ಗೂರ್ಮೆ,und,"","",,Tulu,harshithjv,2018-10-24T04:34:27Z
47336,ಪಿಜಿನ್,und,"","",,Tulu,John E. Christensen,2018-11-02T13:13:03Z
33177,ಪಲ್ಲಿ,und,"","",,Tulu,harshithjv,2018-11-08T05:30:35Z
344178,ಆಬೊಲಿ,und,"Dakshina Kannada, KA, IN | Udupi, KA, IN | Kasaragod, KL, IN","",,Tulu,harshithjv,2019-07-14T10:02:44Z
