id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47101,Unau,und,Amazon Rainforest,"",,Tupí,Erick Alexander Pinilla,2011-05-18T03:07:07Z
803768,Tubuna,und,"","",,Tupí,Rodolfo Guimarães Vieira da Silva,2019-02-07T08:33:23Z
344445,"jataí, jatí, alemãozinha",und,"","",,Tupí,Rodolfo Guimarães Vieira da Silva,2019-02-07T08:57:13Z
200206,Mbòiguassu,und,"","",,Tupí,Bobby McCabe,2019-03-05T16:44:43Z
50984,Piquitinga,und,"","",,Tupí,Zane Roskoph,2021-07-20T12:50:45Z
147020,Piranha tinga,und,"","",,Tupí,Zane Roskoph,2021-07-20T13:11:07Z
99786,Puraquê,und,"","",,Tupí,Zane Roskoph,2021-07-20T13:22:36Z
221492,Tamuatá,und,"","",,Tupí,Zane Roskoph,2021-07-23T23:48:10Z
42091,Guará,und,"","",,Tupí,Igor Kuhnen Cabral e Silva,2021-11-18T20:10:32Z
41970,Ya'wara,und,"","",,Tupí,Igor Kuhnen Cabral e Silva,2021-11-25T16:12:46Z
41970,Akãgu'su,und,"","",,Tupí,Igor Kuhnen Cabral e Silva,2021-11-25T16:14:13Z
41970,Ya'war-e'te,und,"","",,Tupí,Igor Kuhnen Cabral e Silva,2021-11-25T16:15:39Z
47224,Panapa'ná,und,"","",,Tupí,Igor Kuhnen Cabral e Silva,2021-12-03T18:55:36Z
365244,yasa'i,und,"","",,Tupí,Igor Kuhnen Cabral e Silva,2021-12-03T19:25:44Z
19015,a'rara,und,"","",,Tupí,Igor Kuhnen Cabral e Silva,2021-12-03T19:31:33Z
19022,arara'kãga,und,"","",,Tupí,Igor Kuhnen Cabral e Silva,2021-12-03T19:32:42Z
155135,yu'sara,und,Brazil,BR,,Tupí,Igor Kuhnen Cabral e Silva,2022-04-13T19:37:23Z
344445,Jataí,und,"","",https://www.inaturalist.org/taxon_names/1500589/edit,Tupí,,2022-04-24T03:45:16Z
985634,Iararáka-taiá,und,"","",,Tupí,Víctor de Paiva,2022-05-08T03:47:25Z
1168375,Taia-ówa,und,"","",,Tupí,Víctor de Paiva,2022-05-08T03:49:22Z
1168375,Taia-wasú,und,"","",,Tupí,Víctor de Paiva,2022-05-08T03:52:40Z
30767,Yara′raka,und,"","",,Tupí,Víctor de Paiva,2022-05-08T11:43:34Z
30767,Iararáka,und,"","",,Tupí,Víctor de Paiva,2022-05-08T11:44:07Z
84779,Yaboti′kaua,und,"","",,Tupí,Víctor de Paiva,2022-05-08T11:51:19Z
