id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
49618,Cero,tr,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Turkish,,2009-02-15T05:31:08Z
194119,Dikenli keler,tr,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Turkish,,2012-11-21T00:00:00Z
93609,gökçe balığı,tr,"","",,Turkish,Duarte Frade,2014-10-09T07:06:12Z
47851,Mese,tr,"","",,Turkish,Vildan Gorener,2016-04-20T23:35:57Z
47126,Bitkiler,tr,Turkey,TR,,Turkish,Ümit Kaplan,2017-03-31T20:04:00Z
211194,Damarlı Bitkiler,tr,"","",,Turkish,Ümit Kaplan,2017-03-31T20:05:33Z
41641,Bozayı,tr,"","",,Turkish,Bobby McCabe,2017-10-10T01:10:29Z
181682,Doğu çınarı,tr,"","",,Turkish,,2017-11-18T17:19:02Z
19350,Baykuşlar,tr,"","",,Turkish,John E. Christensen,2017-11-28T11:26:05Z
47434,Buğdaygiller,tr,"","",,Turkish,John E. Christensen,2017-11-29T09:42:17Z
2,Kordalılar,tr,"","",,Turkish,John E. Christensen,2017-11-30T13:02:24Z
1,Hayvanlar,tr,"","",,Turkish,John E. Christensen,2017-12-04T12:12:57Z
47119,Örümceğimsiler,tr,"","",,Turkish,John E. Christensen,2017-12-08T10:44:24Z
50998,dutgiller,tr,"","",,Turkish,John E. Christensen,2017-12-11T06:53:45Z
3,Kuşlar,tr,"","",,Turkish,John E. Christensen,2017-12-18T06:55:11Z
49825,Mersin balığıgiller,tr,"","",,Turkish,John E. Christensen,2017-12-22T21:33:35Z
43791,Kunduz,tr,"","",,Turkish,John E. Christensen,2017-12-26T20:13:15Z
56739,Hint yağı bitkisi,tr,"","",,Turkish,John E. Christensen,2017-12-27T15:42:31Z
26036,Sürüngenler,tr,"","",,Turkish,John E. Christensen,2017-12-28T08:55:01Z
52319,Yassı solucanlar,tr,"","",,Turkish,John E. Christensen,2018-01-05T10:33:55Z
6888,Kazsılar,tr,"","",,Turkish,John E. Christensen,2018-01-25T15:54:40Z
49658,Sığla ağacı,tr,"","",,Turkish,John E. Christensen,2018-01-27T17:15:22Z
4730,Leylekgiller,tr,"","",,Turkish,John E. Christensen,2018-02-03T08:51:53Z
47219,Bal arısı,tr,"","",,Turkish,John E. Christensen,2018-02-06T10:32:43Z
12038,Kızıl sırtlı örümcek kuşu,tr,"","",,Turkish,cemallamec,2018-02-07T19:02:00Z
47178,Işınsal yüzgeçliler,tr,"","",,Turkish,John E. Christensen,2018-02-10T07:48:29Z
83204,Pireler,tr,"","",,Turkish,John E. Christensen,2018-02-10T13:32:12Z
47582,İstiridye,tr,"","",,Turkish,John E. Christensen,2018-02-12T09:55:38Z
52134,Sivrisinek,tr,"","",,Turkish,John E. Christensen,2018-02-17T10:29:23Z
62941,Tatlı patates,tr,"","",,Turkish,John E. Christensen,2018-02-17T13:22:03Z
56091,Dut,tr,"","",,Turkish,John E. Christensen,2018-02-18T14:12:24Z
568873,Katır,tr,"","",,Turkish,John E. Christensen,2018-02-19T10:50:40Z
123880,Diyatome,tr,"","",,Turkish,John E. Christensen,2018-03-02T13:43:26Z
124337,Su ayıları,tr,"","",,Turkish,John E. Christensen,2018-03-06T10:12:14Z
372739,Altı bacaklılar,tr,"","",,Turkish,John E. Christensen,2018-03-07T09:49:29Z
15964,Çit kuşugiller,tr,"","",,Turkish,John E. Christensen,2018-03-16T11:21:50Z
48156,Sudak balığı,tr,"","",,Turkish,John E. Christensen,2018-03-18T20:39:52Z
5305,Kel kartal,tr,"","",,Turkish,John E. Christensen,2018-03-23T10:48:35Z
8088,Bayağı alakarga,tr,"","",,Turkish,John E. Christensen,2018-03-24T06:44:31Z
52913,Beyaz hindiba,tr,"","",,Turkish,John E. Christensen,2018-03-29T15:41:35Z
59254,Yaprak soğanı,tr,"","",,Turkish,John E. Christensen,2018-04-04T07:10:29Z
49664,Çınar,tr,"","",,Turkish,John E. Christensen,2018-04-06T07:23:31Z
56222,Öksürük otu,tr,"","",,Turkish,John E. Christensen,2018-04-10T16:26:57Z
47602,Karahindiba,tr,"","",,Turkish,merterm,2018-04-10T17:09:49Z
12822,Bayağı Kuyrukkakan,tr,"","",,Turkish,merterm,2018-04-10T17:12:47Z
30667,Engerekler,tr,"","",,Turkish,John E. Christensen,2018-04-22T21:43:53Z
30853,Gabon engereği,tr,"","",,Turkish,John E. Christensen,2018-04-22T21:46:11Z
61396,Keklik Otu,tr,"","",,Turkish,John E. Christensen,2018-04-29T08:06:27Z
55883,Duvar sarmaşığı,tr,"","",,Turkish,John E. Christensen,2018-05-01T07:07:43Z
47429,Kitonlar,tr,"","",,Turkish,John E. Christensen,2018-05-02T14:17:02Z
51884,Isırgan,tr,"","",,Turkish,John E. Christensen,2018-05-11T20:00:51Z
53352,Kızılağaç,tr,"","",,Turkish,John E. Christensen,2018-05-12T19:25:11Z
55737,Çayırdüğmesi,tr,"","",,Turkish,John E. Christensen,2018-05-15T09:30:51Z
442869,Antalyantammi,tr,"","",,Turkish,Anna T.,2018-05-28T21:22:45Z
58722,Sarıçam,tr,"","",,Turkish,,2018-06-16T13:28:49Z
48332,Büyük denizanaları,tr,"","",,Turkish,John E. Christensen,2018-06-17T16:45:10Z
47783,Kerevit,tr,"","",,Turkish,John E. Christensen,2018-06-20T15:45:48Z
