id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
239734,CAANG,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2018-02-14T00:51:06Z
239733,CAANA4,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2018-02-14T00:55:52Z
48514,CAAN4,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2018-02-14T00:57:38Z
280907,CABA29,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2018-02-14T01:02:49Z
278269,TRCA34,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-06-05T00:15:08Z
505356,PLJA,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-06-07T01:36:02Z
75880,BROB,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T03:24:50Z
75598,ARTR2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T03:33:23Z
77312,GUSA2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T04:26:06Z
77312,GUDI3,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T13:57:55Z
77312,GULE,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T13:58:13Z
77312,GULI2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T13:58:41Z
77312,GULI3,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T13:59:14Z
77312,GULI4,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T13:59:33Z
77312,GULO3,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T13:59:49Z
77312,GUPO2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T14:00:04Z
77312,GUSAP,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T14:00:17Z
77312,GUTE3,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T14:00:36Z
77312,SOSA5,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T14:00:58Z
77312,XASA4,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T14:02:09Z
77312,XASAP,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T14:02:25Z
77312,XATE2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T14:02:42Z
148405,ESVI2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T14:14:05Z
148405,COVI9,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T14:31:02Z
148405,MAVI8,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T14:31:41Z
868396,ESVID,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T14:59:20Z
868396,CODE8,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T14:59:35Z
868396,COVID,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T14:59:51Z
868396,MADE2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T15:00:16Z
868396,MAVID,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T15:00:29Z
162737,ESSA,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T18:18:21Z
162738,ESSN,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T18:42:30Z
162738,COSN,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T18:51:41Z
162738,MASN,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T18:51:54Z
871601,ESOR,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T18:53:21Z
871601,ESORK,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T18:59:54Z
871601,ESORM,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T19:00:15Z
871601,ESORO,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T19:00:33Z
314313,ESTUT,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T19:17:32Z
162739,ESTU,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T19:18:16Z
314276,ESTUV,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T19:18:31Z
162739,COST7,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T19:30:48Z
162739,ESST,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T19:31:02Z
162739,MATU3,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-07-16T19:31:15Z
166380,PEHA12,und,"","",,U.S.D.A. Symbol,Zane Roskoph,2021-08-10T11:57:30Z
59568,HEBU,und,"","",,U.S.D.A. Symbol,Zane Roskoph,2021-08-10T11:58:53Z
62261,NAAM,und,"","",,U.S.D.A. Symbol,Zane Roskoph,2021-08-10T12:01:51Z
355648,LEBU,und,"","",,U.S.D.A. Symbol,Zane Roskoph,2021-08-10T12:03:10Z
129054,TUGE,und,"","",,U.S.D.A. Symbol,Zane Roskoph,2021-08-10T12:05:01Z
331121,CIAU7,und,"","",,U.S.D.A. Symbol,Zane Roskoph,2021-08-10T12:15:47Z
123356,CIME3,und,"","",,U.S.D.A. Symbol,Zane Roskoph,2021-08-10T12:33:32Z
122812,CIAU5,und,"","",,U.S.D.A. Symbol,Zane Roskoph,2021-08-10T13:03:00Z
709635,IRGE,und,"","",,U.S.D.A. Symbol,Zane Roskoph,2021-08-10T16:23:38Z
52148,LIPU11,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T13:47:17Z
47788,YUBA,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T13:48:27Z
57891,EPVI,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T13:49:46Z
79185,SPCR,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T13:50:50Z
52136,IPAG,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T13:55:31Z
76278,CHLE4,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T13:57:37Z
160199,CAIN14,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T13:58:55Z
57066,MEOF,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T13:59:52Z
52378,CEMO2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T14:02:26Z
59924,LIIN2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T14:04:56Z
78083,MILI3,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T14:07:20Z
60313,SPAI,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T14:09:32Z
61099,AMUT,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T14:11:06Z
126671,SPCO,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T14:16:40Z
148148,TOIN,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T14:17:42Z
58376,ELEL5,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T14:23:45Z
57183,KOMA,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T14:29:24Z
166328,PEBA2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T14:30:21Z
77600,JUOS,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T14:35:54Z
57902,PIED,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T14:37:59Z
71257,BOGR2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T14:44:13Z
1220378,ACHY,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:07:38Z
76235,CHER2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:11:09Z
58087,STPI,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:12:52Z
58210,MIMU,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:14:13Z
67804,PUTR2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:15:28Z
71127,ARLU,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:16:13Z
75592,ARNO4,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:18:47Z
75390,ALSI8,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:20:00Z
76139,CAAND,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:21:53Z
75309,AGCR,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:22:49Z
58369,BRTE,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:26:16Z
78462,PEPU7,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:26:46Z
157659,HECO26,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:27:46Z
57896,SATR12,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:29:41Z
162620,ERJA,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:30:08Z
58127,CHAL7,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:33:37Z
148435,CRCR3,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:34:20Z
148407,CHFE3,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:35:10Z
770886,CRCI3,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:38:14Z
472472,CYWH,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:39:24Z
78326,PAMU11,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:43:39Z
148074,HYRI,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:44:58Z
77473,HYFI,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:46:08Z
57909,AMAC2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:48:06Z
148960,MUPU2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:48:59Z
57934,ERNA10,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:50:44Z
149010,COWR2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:52:09Z
76327,CHGR6,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:53:47Z
76973,ERCE2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T15:59:37Z
78269,OPPO,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-25T16:31:47Z
1044521,SCCL5,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-08-27T01:06:08Z
75563,ARPU,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-09-05T02:44:32Z
170384,YUBA2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-09-09T13:48:13Z
77399,HEVI4,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-09-16T02:29:37Z
58113,ATCA2,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-09-16T02:31:53Z
78148,MUSQ3,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-09-18T15:58:43Z
58195,MEAL6,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-09-18T16:05:30Z
58991,POOL,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-09-18T16:14:17Z
116377,QUGA,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-09-18T17:03:46Z
162628,ERLE10,und,"","",,U.S.D.A. Symbol,Bobby McCabe,2021-09-18T17:08:08Z
170255,VIPE2,und,"","",,U.S.D.A. Symbol,Zane Roskoph,2021-09-21T11:53:10Z
82816,VISO,und,"","",,U.S.D.A. Symbol,Zane Roskoph,2021-09-21T11:53:51Z
154238,OXCA4,und,"","",,U.S.D.A. Symbol,Zane Roskoph,2021-09-21T11:54:41Z
