id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
83992,Ошиськись кызьпу,und,"","",,Udmurt,John E. Christensen,2017-12-14T22:05:10Z
3,Тылобурдо,und,"","",,Udmurt,John E. Christensen,2017-12-22T21:54:43Z
47336,Кузьыли,und,"","",,Udmurt,John E. Christensen,2018-11-02T13:14:45Z
522193,Койык,und,"","",,Udmurt,Борис Георги,2019-01-14T23:24:16Z
40151,Пӧйшур,und,"","",,Udmurt,John E. Christensen,2019-02-07T16:08:58Z
505478,Курег,und,"","",,Udmurt,John E. Christensen,2020-01-02T13:34:19Z
59552,Италмас,und,"","",,Udmurt,Aleksandr Novikov,2020-04-24T06:35:30Z
60284,Ожмонтурын,und,"","",,Udmurt,Marina Gorbunova,2020-06-30T23:56:41Z
42007,Пума,und,"","",,Udmurt,Zane Roskoph,2021-08-01T02:00:43Z
41644,Тӧдьы гондыр,und,"","",,Udmurt,Zane Roskoph,2021-08-11T17:10:04Z
41955,Гепард,und,"","",,Udmurt,Zane Roskoph,2021-08-13T12:32:03Z
41964,Арыслан,und,"","",,Udmurt,Zane Roskoph,2021-08-24T15:27:50Z
74831,Ирбис,und,"","",,Udmurt,Zane Roskoph,2021-08-25T12:33:07Z
42407,Зубр,und,"","",,Udmurt,Zane Roskoph,2021-08-25T14:03:20Z
42407,Европаысь бизон,und,"","",,Udmurt,Zane Roskoph,2021-08-25T14:03:34Z
74319,Кельыт газель,und,"","",https://www.inaturalist.org/taxon_names/2631557/edit,Udmurt,,2022-03-24T20:30:37Z
