id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
79443,TRMI6,und,"","",,Usda Plant Code,Bobby McCabe,2021-06-05T00:17:25Z
79442,TRCR5,und,"","",,Usda Plant Code,Bobby McCabe,2021-06-05T00:18:34Z
764617,TRCAW2,und,"","",https://www.inaturalist.org/taxon_names/2563209/edit,Usda Plant Code,,2021-06-23T16:03:58Z
80492,BROBL,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T03:26:32Z
1263976,BROBO,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T03:27:01Z
79632,ARTRP2,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T03:52:21Z
79633,ARTRT,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T03:54:29Z
79634,ARTRV,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T04:01:22Z
79635,ARTRW8,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T04:04:32Z
240736,MAVIB,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T16:22:39Z
162732,ESMI2,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T17:02:22Z
162732,COMI4,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T17:02:37Z
162732,CONE2,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T17:02:51Z
162732,ESNE,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T17:03:05Z
162732,MANE4,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T17:03:30Z
871595,COMIM,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T18:10:49Z
871595,ESMIM,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T18:11:19Z
240726,ESSNL,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T18:42:58Z
240726,ESSNL2,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T18:43:29Z
240727,ESSNS,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T18:45:15Z
240726,COSNL,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T18:47:43Z
240726,ESLE2,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T18:47:59Z
240726,MALE4,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T18:48:11Z
194527,ABAR2,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T21:52:20Z
158387,ANTH2,und,"","",,Usda Plant Code,Bobby McCabe,2021-07-16T21:54:02Z
166380,PEHA12,und,"","",,Usda Plant Code,Zane Roskoph,2021-08-10T11:59:30Z
59568,HEBU,und,"","",,Usda Plant Code,Zane Roskoph,2021-08-10T11:59:49Z
165786,OEAL,und,"","",,Usda Plant Code,Bobby McCabe,2021-08-25T13:54:02Z
83061,CAGU,und,"","",,Usda Plant Code,Bobby McCabe,2021-08-25T14:18:53Z
52119,PODE,und,"","",,Usda Plant Code,Bobby McCabe,2021-08-25T14:25:23Z
81962,YUAN,und,"","",,Usda Plant Code,Bobby McCabe,2021-08-25T15:03:00Z
58880,CHDE,und,"","",,Usda Plant Code,Bobby McCabe,2021-08-25T15:06:04Z
148962,SCPA,und,"","",,Usda Plant Code,Bobby McCabe,2021-08-25T15:09:49Z
78495,PHIV,und,"","",,Usda Plant Code,Bobby McCabe,2021-08-25T15:57:19Z
204318,CHGL13,und,"","",,Usda Plant Code,Bobby McCabe,2021-08-25T16:01:11Z
