id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
20978,Suvda va quruqlikda yashovchilar,und,"","",,Uzbek,John E. Christensen,2017-12-01T10:23:24Z
56091,Tut,und,"","",,Uzbek,John E. Christensen,2018-02-18T14:09:47Z
52761,Dalachoy,und,"","",,Uzbek,John E. Christensen,2018-03-25T06:45:22Z
49664,Chinor,und,"","",,Uzbek,John E. Christensen,2018-04-06T07:23:54Z
55563,Dastorgul,und,"","",,Uzbek,John E. Christensen,2018-05-10T16:54:46Z
53022,Pechak,und,"","",,Uzbek,John E. Christensen,2018-07-10T14:09:31Z
333586,Yomgʻir chuvalchanglari,und,"","",,Uzbek,John E. Christensen,2018-07-11T14:16:57Z
51304,Yulgʻun,und,"","",,Uzbek,John E. Christensen,2018-09-23T12:42:45Z
53030,Toʻngʻiztaroq,und,"","",,Uzbek,John E. Christensen,2018-10-24T09:16:14Z
6930,Yovvoyi oʻrdak,und,Uzbekistan,UZ,,Uzbek,John E. Christensen,2018-12-14T15:07:17Z
40151,Sut emizuvchilar,und,"","",,Uzbek,John E. Christensen,2019-02-07T16:05:54Z
54856,joʻka,und,"","",,Uzbek,John E. Christensen,2019-05-03T08:02:19Z
5179,Sorlar,und,"","",,Uzbek,John E. Christensen,2019-09-05T13:51:55Z
505478,Tovuq,und,"","",,Uzbek,John E. Christensen,2020-01-02T13:35:15Z
131236,viruslar,und,"","",,Uzbek,James K. Douch,2020-02-23T03:10:12Z
891696,Zagʻizgʻon,und,"","",,Uzbek,John E. Christensen,2020-04-30T14:03:22Z
47903,Kaktuslar,und,"","",,Uzbek,John E. Christensen,2021-02-10T16:15:00Z
992723,bodomcha,und,"","",,Uzbek,Zane Roskoph,2021-07-16T11:34:30Z
99786,Elektrli ugor,und,"","",,Uzbek,Zane Roskoph,2021-07-29T03:30:12Z
41970,Yaguar,und,"","",,Uzbek,Zane Roskoph,2021-07-30T12:21:19Z
41644,Oqayiq,und,"","",,Uzbek,Zane Roskoph,2021-08-11T17:11:24Z
41644,Oq ayiq,und,"","",,Uzbek,Zane Roskoph,2021-08-11T17:13:35Z
41724,Dengiz qoploni,und,"","",,Uzbek,Zane Roskoph,2021-08-11T19:31:54Z
41955,Gepard,und,"","",,Uzbek,Zane Roskoph,2021-08-13T12:32:51Z
112581,Laqqa baliq,und,"","",,Uzbek,Zane Roskoph,2021-08-14T18:29:42Z
41553,Koʻk kit,und,"","",,Uzbek,Zane Roskoph,2021-08-15T15:40:42Z
41461,Beluxa,und,"","",,Uzbek,Zane Roskoph,2021-08-15T20:22:45Z
41964,Arslon,und,"","",,Uzbek,Zane Roskoph,2021-08-24T15:28:47Z
74831,Ilvirs,und,"","",,Uzbek,Zane Roskoph,2021-08-25T12:34:21Z
42407,Zubr,und,"","",,Uzbek,Zane Roskoph,2021-08-25T14:04:57Z
41967,Yoʻlbars,und,"","",,Uzbek,Zane Roskoph,2021-08-26T16:38:34Z
