id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
580330,tshalale,und,"","",,Venda,cassi saari,2018-01-04T17:17:41Z
42149,Mvuvhu,und,"","",,Venda,Bobby McCabe,2018-02-08T15:42:08Z
43125,Muvhuda,und,"","",,Venda,Bobby McCabe,2018-04-13T15:33:36Z
43125,Khomu,und,"","",,Venda,Bobby McCabe,2018-04-13T15:33:56Z
340238,mufhulu,und,"","",,Venda,Pedro Nájera Quezada,2019-03-18T16:26:01Z
925659,Tsimba,und,"","",,Venda,Bobby McCabe,2020-02-23T04:59:46Z
41595,Tsimba,und,"","",,Venda,Bobby McCabe,2020-02-23T05:27:16Z
340010,Muvhungo,und,"","",,Venda,Botswanabugs,2020-03-10T18:14:47Z
146786,Mukuluvhali,und,"","",,Venda,Botswanabugs,2020-03-10T18:17:39Z
340245,mufula,und,"","",,Venda,Botswanabugs,2020-03-10T23:35:03Z
79020,mushakaladza,und,"","",,Venda,Botswanabugs,2020-03-10T23:37:35Z
588676,muvhumbu,und,"","",,Venda,Botswanabugs,2020-03-10T23:40:27Z
47649,Nzie,und,"","",,Venda,Dewald du Plessis,2020-03-14T13:39:44Z
42278,Phala,und,"","",,Venda,Bobby McCabe,2020-03-19T16:08:50Z
42288,Phithi,und,"","",,Venda,Bobby McCabe,2020-03-19T16:27:39Z
42288,Tshipiti,und,"","",,Venda,Bobby McCabe,2020-03-19T16:27:52Z
120407,Shongololo,und,"Soutpansberg, NP, ZA","",,Venda,Dewald du Plessis,2020-03-31T19:00:28Z
121639,Dambatshekwa,und,"","",,Venda,Dewald du Plessis,2020-04-06T18:45:19Z
342910,Phuroni,und,"","",,Venda,Dewald du Plessis,2020-04-06T18:57:39Z
311310,Khireifishi,und,"","",,Venda,Dewald du Plessis,2020-04-07T10:33:25Z
85493,Dambatshekwa,und,"","",,Venda,Dewald du Plessis,2020-04-07T10:45:25Z
1,"Phukha, Tshifuwo, Tshipuka",und,"","",,Venda,Dewald du Plessis,2020-04-09T18:03:28Z
62917,tshithavhamisisi,und,"","",,Venda,Botswanabugs,2020-05-05T03:15:07Z
128928,murudi,und,"","",,Venda,Botswanabugs,2020-05-05T03:38:00Z
52351,mutshulwa,und,"","",,Venda,Botswanabugs,2020-05-05T03:50:04Z
340228,makhalu,und,"","",,Venda,Botswanabugs,2020-05-05T05:05:53Z
138688,musese,und,"","",,Venda,Botswanabugs,2020-08-07T09:58:40Z
147002,mulumanama,und,"","",,Venda,Botswanabugs,2020-08-07T10:04:20Z
340236,mutokota,und,"","",,Venda,Botswanabugs,2020-08-07T10:08:20Z
428749,mupani,und,"","",,Venda,Botswanabugs,2020-08-07T10:20:08Z
592162,mukalakata,und,"","",,Venda,Botswanabugs,2020-08-07T10:26:16Z
129706,murenzhe,und,"","",,Venda,Botswanabugs,2020-08-07T10:32:44Z
594418,muvundambado,und,"","",,Venda,Botswanabugs,2020-08-07T10:43:27Z
594427,mukhaya,und,"","",,Venda,Botswanabugs,2020-08-07T10:47:11Z
348763,munzhelenga,und,"","",,Venda,Botswanabugs,2020-08-07T10:51:42Z
51672,"Gufha, Tshievhe",und,"","",,Venda,Dewald du Plessis,2020-08-21T11:26:05Z
51673,"Gufha, Tshievhe",und,"","",,Venda,Dewald du Plessis,2020-08-21T11:36:13Z
123675,"Gufha, Tshievhe",und,"","",,Venda,Dewald du Plessis,2020-08-21T12:06:35Z
30488,Phakhuphakhu,und,"","",,Venda,Andrew Durso,2020-08-28T15:41:39Z
30405,Khangala,und,"","",,Venda,Andrew Durso,2020-08-28T15:54:53Z
588237,tshirndidza,und,"","",,Venda,Botswanabugs,2020-09-20T11:40:18Z
340072,Bindamutsho,und,"","",,Venda,Dewald du Plessis,2020-11-09T18:43:22Z
340072,Tshikhopha,und,"","",,Venda,Dewald du Plessis,2020-11-09T18:43:43Z
525722,Musenzhe,und,"","",,Venda,Dewald du Plessis,2020-11-09T18:51:13Z
468538,Munombelo,und,"","",,Venda,Dewald du Plessis,2020-11-09T19:16:05Z
185371,Muteteneka,und,South Africa,ZA,,Venda,Dewald du Plessis,2020-11-09T19:24:24Z
184342,Muvhaha,und,"","",,Venda,Dewald du Plessis,2020-11-09T19:34:16Z
166935,Mulondwane,und,South Africa,ZA,,Venda,Dewald du Plessis,2020-11-09T19:39:13Z
334567,Mulembu,und,"","",,Venda,Dewald du Plessis,2020-11-09T19:46:34Z
340228,Mukhalu,und,"","",,Venda,Dewald du Plessis,2020-11-12T10:56:52Z
340228,Mutshetshete,und,"","",,Venda,Dewald du Plessis,2020-11-12T10:57:15Z
427214,Mukunda-ndou,und,"","",,Venda,Dewald du Plessis,2020-11-12T11:09:59Z
340324,Muzwilu,und,"","",,Venda,Dewald du Plessis,2020-11-12T11:19:13Z
191689,Tshiluvhari,und,"","",,Venda,Dewald du Plessis,2020-11-12T11:26:38Z
429245,Mutasiri,und,South Africa,ZA,,Venda,Dewald du Plessis,2020-11-12T11:34:16Z
469308,Muthala,und,South Africa,ZA,,Venda,Dewald du Plessis,2020-11-12T13:28:03Z
502780,Muunga,und,"","",,Venda,Dewald du Plessis,2020-11-12T13:32:31Z
502780,Muunga-ludzi,und,"","",,Venda,Dewald du Plessis,2020-11-12T13:32:57Z
489282,Munyonga-tshifumbu,und,"","",,Venda,Dewald du Plessis,2020-11-12T13:36:20Z
527059,Muredwa,und,South Africa,ZA,,Venda,Dewald du Plessis,2020-11-12T14:48:15Z
136323,Mufhanza,und,"City of Johannesburg, GT, ZA | Maloti-Drakensberg Park World Heritage Site","",,Venda,Dewald du Plessis,2020-11-12T14:53:14Z
70279,Mufhanza,und,Maloti-Drakensberg Park World Heritage Site,"",,Venda,Dewald du Plessis,2020-11-12T14:56:47Z
132930,Muhovho-hovho,und,Maloti-Drakensberg Park World Heritage Site,"",,Venda,Dewald du Plessis,2020-11-12T14:57:43Z
132930,Mufhanza,und,Maloti-Drakensberg Park World Heritage Site,"",,Venda,Dewald du Plessis,2020-11-12T14:58:02Z
135389,Muvuvhu,und,"","",,Venda,Dewald du Plessis,2020-11-12T15:12:19Z
133950,Mumvumvu,und,"","",,Venda,Dewald du Plessis,2020-11-12T15:17:51Z
594418,Muvunda-mbado,und,"","",,Venda,Dewald du Plessis,2020-11-12T20:11:39Z
129721,Tshidzungu,und,"","",,Venda,Dewald du Plessis,2020-11-12T20:16:06Z
521002,Tshididiri,und,"","",,Venda,Dewald du Plessis,2020-11-12T20:22:07Z
342738,Mugwiti,und,South Africa,ZA,,Venda,Dewald du Plessis,2020-11-12T20:28:13Z
57140,Mutwari,und,South Africa,ZA,,Venda,Dewald du Plessis,2020-11-12T20:39:58Z
586670,Tshiphandwa,und,"","",,Venda,Dewald du Plessis,2020-11-12T20:46:33Z
428559,Tshikarharhe,und,"","",,Venda,Dewald du Plessis,2020-11-12T20:54:30Z
428559,Tshikwakwashi,und,"","",,Venda,Dewald du Plessis,2020-11-12T20:54:53Z
559229,Muvumba-ngwena,und,South Africa,ZA,,Venda,Dewald du Plessis,2020-11-13T10:00:21Z
402272,Murevhe,und,"","",,Venda,Dewald du Plessis,2020-11-13T10:03:30Z
72354,Mushakaladza,und,South Africa,ZA,,Venda,Dewald du Plessis,2020-11-13T10:34:40Z
593873,Mushakaladza,und,South Africa,ZA,,Venda,Dewald du Plessis,2020-11-13T10:36:46Z
558688,Mutangule-nyele,und,South Africa,ZA,,Venda,Dewald du Plessis,2020-11-13T11:11:03Z
558688,Mutangule,und,South Africa,ZA,,Venda,Dewald du Plessis,2020-11-13T11:11:54Z
558688,Munyele,und,South Africa,ZA,,Venda,Dewald du Plessis,2020-11-13T11:12:24Z
342039,Muritho,und,South Africa,ZA,,Venda,Dewald du Plessis,2020-11-13T11:21:28Z
342039,Mpeta,und,South Africa,ZA,,Venda,Dewald du Plessis,2020-11-13T11:21:49Z
541445,Munyavhili,und,"","",,Venda,Dewald du Plessis,2020-11-13T11:41:09Z
590764,Muvuvha,und,"","",,Venda,Dewald du Plessis,2020-11-13T11:48:32Z
340354,Muthatha-vhanna,und,"","",,Venda,Dewald du Plessis,2020-11-13T11:52:04Z
346399,Mutepe,und,"","",,Venda,Dewald du Plessis,2020-11-13T11:57:54Z
362174,Murandela,und,"","",,Venda,Dewald du Plessis,2020-11-13T12:03:45Z
362174,Munungu,und,"","",,Venda,Dewald du Plessis,2020-11-13T12:04:02Z
416644,Murambo,und,"","",,Venda,Botswanabugs,2021-02-12T10:06:11Z
416644,Musuma,und,"","",,Venda,Botswanabugs,2021-02-12T10:07:00Z
