id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
54261,ABIBAL,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:21Z
60214,ABUTHE,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:21Z
157893,ACAGRA,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:21Z
56193,ACECAM,und,"","",,Vermont Flora Codes,Christopher Warneke,2013-11-25T07:27:22Z
123638,ACEGIN,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:22Z
47726,ACENEG,und,"","",,Vermont Flora Codes,Cole Gaerber,2013-11-25T07:27:22Z
48078,ACENIG,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:23Z
48095,ACEPEN,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:23Z
54763,ACEPLA,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:23Z
48098,ACERUB,und,"","",,Vermont Flora Codes,Christopher Warneke,2013-11-25T07:27:23Z
54762,ACESA1,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:24Z
52543,ACESAC,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:24Z
116361,ACESPI,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:24Z
170461,ACEXFR,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:24Z
157924,ACHFIL,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:25Z
157925,ACHLIG,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:25Z
52821,ACHMIL,und,"","",,Vermont Flora Codes,Bobby McCabe,2013-11-25T07:27:25Z
54055,ACHPTA,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:25Z
131201,ACONAP,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:26Z
82306,ACOCAL,und,"","",,Vermont Flora Codes,Cole Gaerber,2013-11-25T07:27:26Z
63062,ACTPAC,und,"","",,Vermont Flora Codes,Bobby McCabe,2013-11-25T07:27:26Z
49870,ACTRUB,und,"","",,Vermont Flora Codes,lwnrngr,2013-11-25T07:27:26Z
170464,ACTXLU,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:27Z
52667,ADIALE,und,"","",,Vermont Flora Codes,Mike Patterson,2013-11-25T07:27:27Z
48435,ADIPED,und,"","",,Vermont Flora Codes,Yoshimasa Uchiyama,2013-11-25T07:27:27Z
138360,ADIVIR,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:28Z
158027,ADLFUN,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:28Z
51741,AEGPOD,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:28Z
84298,AESHIP,und,"","",,Vermont Flora Codes,Alec Cowles,2013-11-25T07:27:28Z
120007,AGATEN,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:29Z
129634,AGANEP,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:29Z
158084,AGASCR,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:29Z
119048,AGEALT,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:29Z
75307,AGRGRY,und,"","",,Vermont Flora Codes,Kitty Maurey,2013-11-25T07:27:30Z
158125,AGRPUB,und,"","",,Vermont Flora Codes,Mark Kluge,2013-11-25T07:27:30Z
75308,AGRSTR,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:30Z
75310,AGRGIT,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:30Z
75312,AGRCAP,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:31Z
59088,AGREXA,und,"","",,Vermont Flora Codes,,2013-11-25T07:27:31Z
