id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
96413,Ran mai gam gia lai,vi,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Vietnamese,,2011-08-19T02:57:58Z
96420,Ran mai gam sang,vi,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Vietnamese,,2011-08-19T02:58:05Z
98063,Tac ke duoi vang,vi,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Vietnamese,Bobby McCabe,2011-08-19T02:58:46Z
98318,Ran nguyen van sang,vi,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Vietnamese,,2011-08-19T02:58:51Z
98965,Thãn lãn vach,vi,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Vietnamese,,2011-08-19T02:59:20Z
98969,Thằn lằn chân ngón Bích Ngân,vi,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Vietnamese,,2011-08-19T02:59:21Z
98974,Thach sung ngon cat tien,vi,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Vietnamese,,2011-08-19T02:59:22Z
98981,Than lan chân ngón Eisenman,vi,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Vietnamese,,2011-08-19T02:59:25Z
98985,Than lan chân ngón Grismer,vi,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Vietnamese,,2011-08-19T02:59:27Z
98988,Th|n L|n Chân Ngón Hòn Tre,vi,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Vietnamese,,2011-08-19T02:59:28Z
98994,Thằn lằn chân ngón Lomyen,vi,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Vietnamese,,2011-08-19T02:59:31Z
99000,Thằn lằn chân ngón Martin,vi,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Vietnamese,,2011-08-19T02:59:34Z
99008,Than lan chan ngon Phu Quoc,vi,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Vietnamese,,2011-08-19T02:59:36Z
99012,Thach sung ngon ro-x-lo,vi,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Vietnamese,Bobby McCabe,2011-08-19T02:59:37Z
99028,Than lan chan ngon yang bay,vi,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Vietnamese,Bobby McCabe,2011-08-19T02:59:38Z
