id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
122098,mdela,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:22Z
340175,mkutani,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:22Z
340175,mkutu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:22Z
196659,Mrindawa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:23Z
132932,marie,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:23Z
132932,monde,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:23Z
132932,mwaru,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:23Z
184342,mpisili,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:24Z
342724,Iravu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:24Z
342724,mkoraapfumu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:24Z
342724,mkorapfumu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:25Z
76425,ikengra ika,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:25Z
430901,randawa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:25Z
506952,mfyahi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:26Z
506952,mroboki,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:26Z
506952,mufuare,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:26Z
428367,mfuka,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:27Z
428367,mudi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:27Z
133182,mkuu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:27Z
133182,nkuu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Wa Chaga,Ken-ichi Ueda,2021-10-21T20:49:28Z
