id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
473495,Gutula,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076031/common/72747,Wallisian,,2020-11-19T16:50:30Z
132395,Gutula,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076028/common/73062,Wallisian,,2020-11-19T16:50:30Z
135283,Pone,und,"","",,Wallisian,Zane Roskoph,2021-07-27T18:29:40Z
83884,Humu,und,"","",,Wallisian,Zane Roskoph,2021-07-30T19:30:24Z
52456,Mutu,und,"","",,Wallisian,Zane Roskoph,2021-08-01T14:20:21Z
188467,Gobie de Keletaona,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10075012/common/146761,Wallisian,,2021-08-09T15:23:22Z
196838,Moaga,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10077021/common/65535,Wallisian,,2021-08-10T01:52:02Z
196836,Moaga,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10077033/common/64993,Wallisian,,2021-08-10T01:52:02Z
131234,Moaga,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10077040/common/64886,Wallisian,,2021-08-10T01:52:02Z
153280,Fuaika,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069945/common/133325,Wallisian,,2021-08-29T12:22:49Z
132366,Palangi,und,"","",,Wallisian,Zane Roskoph,2021-09-17T19:26:13Z
47257,Valulapa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Wallisian,,2021-09-20T00:55:02Z
68025,Mamanu,und,"","",,Wallisian,Zane Roskoph,2021-09-25T15:05:04Z
47251,Saosao,und,"","",,Wallisian,Zane Roskoph,2021-10-18T00:13:52Z
47251,Ali,und,"","",,Wallisian,Zane Roskoph,2021-10-18T00:14:13Z
