id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
41663,Ausupp,und,"","",,Wampanoag,Lily M,2019-06-24T17:47:33Z
42069,Whauksis,und,"","",,Wampanoag,Lily M,2019-06-24T17:52:02Z
41638,Mosq,und,"","",,Wampanoag,Lily M,2019-06-24T17:53:38Z
42223,Ottucke,und,"","",,Wampanoag,Lily M,2019-06-24T17:54:30Z
42048,Ontoquas,und,"","",,Wampanoag,Lily M,2019-06-24T17:55:19Z
43110,Motuckquas,und,"","",,Wampanoag,Lily M,2019-06-24T17:59:04Z
41880,Sakunk,und,"","",,Wampanoag,Lily M,2019-06-24T18:03:57Z
85553,Askooke,und,"","",,Wampanoag,Lily M,2019-06-24T18:04:32Z
30746,Seasicke,und,"","",,Wampanoag,Lily M,2019-06-24T18:05:55Z
7089,Wawpatucke,und,"","",,Wampanoag,Lily M,2019-06-24T18:07:03Z
19350,Wewes,und,"","",,Wampanoag,Lily M,2019-06-24T18:08:33Z
5305,Wobsacuck,und,"","",,Wampanoag,Lily M,2019-06-24T18:10:55Z
7998,Kongkont,und,"","",,Wampanoag,Lily M,2019-06-24T18:11:50Z
47144,Aunum,und,"","",,Wampanoag,Lily M,2019-06-24T18:12:56Z
43794,Tummunk,und,"","",,Wampanoag,Lily M,2019-06-24T18:15:24Z
630955,Ashkeaumooussog,und,"","",,Wampanoag,Lily M,2019-06-24T18:16:40Z
11989,Niccone,und,"","",,Wampanoag,Lily M,2019-06-24T18:17:37Z
63740,Noci-Comquocke,und,"","",,Wampanoag,Lily M,2019-06-24T18:20:14Z
522193,Moos,und,"","",,Wampanoag,Lily M,2019-06-24T18:27:43Z
45933,Shannucke,und,"","",,Wampanoag,Lily M,2019-06-24T18:29:04Z
906,Nahenan,und,"","",,Wampanoag,Lily M,2019-06-24T18:29:54Z
