id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
46259,Damolili,und,"","",,Washo,faerthen,2015-08-25T22:58:30Z
42051,Géwe,und,"","",,Washo,faerthen,2015-08-25T23:10:35Z
44761,páša,und,"","",,Washo,faerthen,2015-08-25T23:16:27Z
55544,nanhólwa,und,"","",,Washo,faerthen,2015-08-25T23:17:34Z
46994,yóšoɁ,und,"","",,Washo,faerthen,2015-08-25T23:19:34Z
53453,hímu,und,"","",,Washo,faerthen,2015-08-25T23:19:22Z
1263,sí∙yuk,und,"","",,Washo,faerthen,2015-08-25T23:20:49Z
1264,sí∙yuk,und,"","",,Washo,faerthen,2015-08-25T23:22:40Z
72797,ćupɨm,und,"","",,Washo,faerthen,2015-08-25T23:26:39Z
43117,pélew,und,"","",,Washo,faerthen,2015-08-25T23:27:50Z
47357,bóšdi,und,"","",,Washo,faerthen,2015-08-25T23:28:44Z
12727,ćidó∙dokhu,und,"","",,Washo,faerthen,2015-08-25T23:29:36Z
75598,dábal,und,"","",,Washo,faerthen,2015-08-25T23:30:31Z
52689,bá∙duɁ,und,"","",,Washo,faerthen,2015-08-25T23:31:09Z
68087,šáwaɁ,und,"","",,Washo,faerthen,2015-08-25T23:36:48Z
67804,balŋáćaŋ,und,"","",,Washo,faerthen,2015-08-25T23:38:35Z
17599,ƷíwƷiwhu,und,"","",,Washo,faerthen,2015-08-25T23:39:27Z
42007,Hilí∙Ʒa,und,"","",,Washo,faerthen,2015-08-25T23:40:15Z
42069,wátƷi∙ha,und,"","",,Washo,faerthen,2015-08-25T23:42:10Z
42429,Ɂáyɨs,und,"","",,Washo,faerthen,2015-08-25T23:44:56Z
42391,Ɂó∙gal,und,"","",,Washo,faerthen,2015-08-25T23:45:41Z
43096,ćáliɁ,und,"","",,Washo,faerthen,2015-08-25T23:46:57Z
57934,bó∙poɁ,und,"","",,Washo,faerthen,2015-08-25T23:48:18Z
5179,máɁwiɁ,und,"","",,Washo,faerthen,2015-08-25T23:49:03Z
30692,máɁki,und,"","",,Washo,faerthen,2015-08-25T23:49:39Z
45763,bá∙muš,und,"","",,Washo,faerthen,2015-08-25T23:53:36Z
125461,ťá∙ba,und,"","",,Washo,faerthen,2015-08-25T23:54:59Z
46341,délem,und,"","",,Washo,faerthen,2015-08-25T23:55:38Z
47584,šuɁwé∙k,und,"","",,Washo,faerthen,2015-08-26T00:02:48Z
42048,tulí∙šɁ,und,"","",,Washo,faerthen,2015-08-26T00:03:16Z
53094,ḱómho,und,"","",,Washo,faerthen,2015-08-26T00:04:20Z
4756,hú∙šɨm,und,"","",,Washo,faerthen,2015-08-26T00:06:36Z
43132,mú∙ḱi,und,"","",,Washo,faerthen,2015-08-26T00:07:13Z
83204,gɨ∙gɨšiɁ,und,"","",,Washo,faerthen,2015-08-26T00:07:14Z
75370,puɁyéwliɁ,und,"","",,Washo,faerthen,2015-08-26T00:18:16Z
56651,mada:p,und,"","",,Washo,faerthen,2015-08-26T00:22:19Z
54500,ʔábuluš,und,"","",,Washo,faerthen,2015-08-26T00:23:37Z
52120,t'ašaʔ,und,"","",,Washo,faerthen,2015-08-26T03:22:48Z
74113,bá:gaʔ,und,"","",,Washo,faerthen,2015-08-26T03:25:52Z
7998,ʔá:ʔa,und,"","",,Washo,faerthen,2015-08-26T05:32:35Z
42220,memdé:wi,und,"","",,Washo,faerthen,2015-08-26T05:35:03Z
47144,Sukuʔ,und,"","",,Washo,faerthen,2015-08-26T05:37:01Z
47178,ʔát'abiʔ,und,"","",,Washo,faerthen,2015-08-26T05:40:56Z
5562,memlew,und,"","",,Washo,faerthen,2015-08-26T05:42:16Z
48918,p'í:c'ɨmhu,und,"","",,Washo,faerthen,2015-08-26T05:46:02Z
59778,k'ómho,und,"","",,Washo,faerthen,2015-08-26T05:47:02Z
96874,bákwanhu,und,"","",,Washo,faerthen,2015-08-26T05:52:46Z
505478,Zi:gen,und,"","",,Washo,faerthen,2016-08-31T01:28:50Z
558426,gówgow,und,"","",,Washo,faerthen,2017-08-30T05:18:20Z
1264431,Pewec’eli,und,"","",https://www.inaturalist.org/taxon_names/755733/edit,Washo,,2021-07-20T16:23:40Z
