id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
98477,Gwyniad,und,"","",,Welsh,Tig,2013-04-26T07:24:44Z
111994,Torgoch,und,"","",,Welsh,Tig,2015-12-07T10:43:17Z
101176,Ciglas,und,"","",,Welsh,Tig,2015-12-07T17:29:40Z
131035,Dorsán breac,und,"","",,Welsh,Fabien Piednoir,2016-10-14T12:48:12Z
57157,Crydwellt mawr,und,"","",,Welsh,John E. Christensen,2017-11-29T09:28:55Z
47126,Planhigyn,und,"","",,Welsh,John E. Christensen,2017-12-06T07:49:06Z
51807,Troed y golomen,und,"","",,Welsh,John E. Christensen,2017-12-09T15:27:59Z
5267,Barcud Coch,und,"","",,Welsh,John E. Christensen,2017-12-15T07:01:49Z
26036,Ymlusgiad,und,"","",,Welsh,John E. Christensen,2017-12-19T08:07:53Z
47114,Gastropod,und,"","",,Welsh,John E. Christensen,2017-12-20T15:35:27Z
43791,Afanc,und,"","",,Welsh,John E. Christensen,2017-12-26T20:11:19Z
20978,Amffibiad,und,"","",,Welsh,John E. Christensen,2018-01-07T09:25:19Z
61827,Lili Jersey,und,"","",,Welsh,John E. Christensen,2018-01-24T16:16:04Z
42134,Baedd Gwyllt,und,"","",,Welsh,John E. Christensen,2018-02-13T08:03:31Z
18230,Ysgytiwr gogleddol,und,"","",,Welsh,John E. Christensen,2018-02-23T13:44:55Z
131605,Tegeirian y milwr,und,"","",,Welsh,John E. Christensen,2018-03-10T14:24:14Z
8088,Ysgrech y coed,und,"","",,Welsh,John E. Christensen,2018-03-24T06:42:05Z
52913,Ysgellog,und,"","",,Welsh,John E. Christensen,2018-03-29T15:38:33Z
56222,Dail troed yr ebol,und,"","",,Welsh,John E. Christensen,2018-04-10T16:30:30Z
143243,Camri,und,"","",,Welsh,John E. Christensen,2018-04-25T14:41:54Z
47603,Dant y llew,und,"","",,Welsh,John E. Christensen,2018-04-30T15:04:55Z
56006,Pidyn-y-gog y gors,und,"","",,Welsh,John E. Christensen,2018-05-02T08:13:27Z
61396,Penrhudd,und,"","",,Welsh,John E. Christensen,2018-05-14T08:14:01Z
64549,Bwrned mawr,und,"","",,Welsh,John E. Christensen,2018-05-15T09:07:19Z
58722,Pinwydden yr Alban,und,"","",,Welsh,,2018-06-16T13:12:06Z
85553,Neidr,und,"","",,Welsh,John E. Christensen,2018-06-24T13:40:56Z
569428,Gwenci,und,"","",,Welsh,John E. Christensen,2018-07-05T06:52:48Z
45933,Gwiwer,und,"","",,Welsh,John E. Christensen,2018-07-12T15:22:49Z
151882,Coeden ginco,und,"","",,Welsh,John E. Christensen,2018-08-12T07:03:30Z
55884,Rhosyn gwyllt,und,"","",,Welsh,John E. Christensen,2018-10-18T13:44:29Z
122970,Blodyn-yr-haul oddfog,und,"","",,Welsh,John E. Christensen,2018-11-04T13:19:57Z
64714,Llusen y gors,und,"","",,Welsh,John E. Christensen,2018-11-19T09:50:16Z
47851,Derwen,und,"","",,Welsh,John E. Christensen,2018-11-26T15:16:04Z
63573,Sbriwsen,und,"","",,Welsh,John E. Christensen,2018-12-16T09:43:38Z
121943,Rhedynen,und,"","",,Welsh,John E. Christensen,2018-12-17T16:19:43Z
70054,Melon dŵr,und,"","",,Welsh,John E. Christensen,2018-12-24T10:46:53Z
7006,Gŵydd,und,"","",,Welsh,John E. Christensen,2019-01-04T08:39:16Z
8034,Cigfran yddfwinau,und,"","",,Welsh,John E. Christensen,2019-01-06T08:55:54Z
48561,Ysgallen,und,"","",,Welsh,John E. Christensen,2019-01-16T07:26:24Z
4756,Fwltur pengoch America,und,"","",,Welsh,John E. Christensen,2019-01-23T10:06:48Z
40151,Mamal,und,"","",,Welsh,John E. Christensen,2019-02-07T18:21:10Z
210289,Gwyran,und,"","",,Welsh,John E. Christensen,2019-02-10T11:04:36Z
47516,Brithyll Seithliw,und,"","",,Welsh,John E. Christensen,2019-03-13T09:39:36Z
47217,Tegeirian,und,"","",,Welsh,John E. Christensen,2019-03-15T10:42:44Z
51741,Llysiau'r gymalwst,und,"","",,Welsh,John E. Christensen,2019-05-01T07:59:37Z
43367,Primat,und,"","",,Welsh,John E. Christensen,2019-05-11T11:12:48Z
40019,Crwban tir,und,"","",,Welsh,John E. Christensen,2019-05-28T13:28:31Z
57563,Marchysgallen y gerddi,und,"","",,Welsh,John E. Christensen,2019-07-06T09:44:33Z
914922,Canclwm Japan,und,"","",,Welsh,John E. Christensen,2019-07-30T18:49:02Z
8010,Cigfran,und,"","",,Welsh,John E. Christensen,2019-08-02T13:54:21Z
47927,Gwas neidr,und,"","",,Welsh,John E. Christensen,2019-11-11T21:23:33Z
505478,Iâr (ddof),und,"","",,Welsh,John E. Christensen,2019-11-19T14:09:36Z
