id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
2,Chordabêestn,und,"","",,West Flemish,John E. Christensen,2017-11-30T12:37:23Z
145360,Vlasvienke,und,"","",,West Flemish,John E. Christensen,2018-02-24T14:53:16Z
8088,Vlamsche goai,und,"","",,West Flemish,John E. Christensen,2018-03-24T06:45:13Z
47157,Vlienders,und,"","",,West Flemish,John E. Christensen,2018-11-23T09:00:18Z
47602,pisseblomme,und,"","",,West Flemish,luckas,2019-04-28T11:55:06Z
505478,Henne,und,"","",,West Flemish,John E. Christensen,2020-01-02T13:37:02Z
136319,Zèèvredenne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:06:04Z
136893,Sicieljoansche denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:07:06Z
136885,Bulgoarsche denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:08:00Z
136886,Grieksche denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:08:42Z
136894,Nordmann-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:09:23Z
136894,Kowkoaziesche denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:09:50Z
340079,Turksche denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:10:18Z
340079,Uludağ-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:11:10Z
445002,Nordmann-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:11:48Z
445002,Kowkoaziesche denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:12:12Z
136896,Spoansche denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:12:54Z
445004,Spoansche denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:13:20Z
445003,Marokkoansche denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:13:51Z
136895,Algerynsche denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:14:28Z
136887,Syriesche denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:15:04Z
136317,Fraser-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:15:41Z
54261,Boalsem-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:16:35Z
194518,Schutbloadige boalsem-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:17:34Z
54262,Denn,und,"","",,West Flemish,Johan Devos,2020-12-10T16:19:34Z
194516,Boalsem-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:20:23Z
75241,Subalpiene denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:21:15Z
80287,Subalpiene denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:23:24Z
194527,Korkschussige denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:24:12Z
563375,Rotsgebergte-subalpiene denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:24:50Z
136310,Sibeerieschr denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:25:44Z
136898,Sakhalien-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:26:18Z
136891,Koreoansche denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:26:57Z
136308,Khinghan-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:27:36Z
136322,Veitch-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:28:10Z
445012,Veitch-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:28:30Z
445013,Shikoku-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:29:00Z
63690,Reuzedenne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:30:17Z
68087,Witte denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:31:00Z
551921,Low's witte denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:56:43Z
194522,Witte denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:57:10Z
136888,Durango-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T16:58:28Z
314759,Coahuila-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:00:05Z
136320,Guatemoalsche denne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:02:40Z
120846,Taiwan-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:03:56Z
136321,Nikko-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:04:41Z
136309,Min-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:06:13Z
136304,Momi-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:06:49Z
136298,Baishanzu-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:07:19Z
136306,Manchuriesche denne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:08:05Z
136299,Shensi-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:08:42Z
444986,Shensi-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:09:31Z
411341,Salwen-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:10:47Z
136314,Pindrow-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:11:32Z
136846,Ziyuan-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:12:23Z
75240,Pacifieke zèèvredenne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:13:16Z
136892,Maries-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:14:02Z
136300,Delavay-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T17:15:14Z
444989,Delavay-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T18:27:10Z
136301,Faber-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T18:28:13Z
136305,Forrest-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T18:29:12Z
444998,Forrest-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T18:29:45Z
136315,Bhutan-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T19:22:55Z
136311,Ôostlikke-Himalaja-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T19:23:37Z
136303,Farges-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T19:24:58Z
136302,Fanjingshan-denne,und,"","",,West Flemish,Johan Devos,2020-12-10T19:25:34Z
