id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
2,"Rêchstringdieren, gordadieren, gorda's",und,"","",,West Frisian,John E. Christensen,2017-11-30T12:56:17Z
55563,Koweblomke,und,"","",,West Frisian,John E. Christensen,2018-05-10T16:51:43Z
121943,Fearplanten,und,"","",,West Frisian,John E. Christensen,2018-12-17T16:20:13Z
40151,Sûchdieren,und,"","",,West Frisian,John E. Christensen,2019-02-07T18:22:46Z
54960,Rûnwjirms,und,"","",,West Frisian,John E. Christensen,2019-03-01T09:40:13Z
40268,Flearmûzen,und,"","",,West Frisian,John E. Christensen,2019-03-10T07:56:26Z
43011,Stikelbargen,und,"","",,West Frisian,John E. Christensen,2019-10-19T15:27:06Z
42184,Ree,und,"","",,West Frisian,Jelle,2021-02-27T17:37:57Z
42069,Foks,und,"","",,West Frisian,Jelle,2021-02-27T17:40:15Z
46970,Mol,und,"","",,West Frisian,Jelle,2021-02-27T17:41:30Z
42134,Everswyn,und,"","",,West Frisian,Jelle,2021-02-27T17:43:12Z
46001,Iikhoarntsje,und,"","",,West Frisian,Jelle,2021-02-27T17:45:09Z
46017,Griis iikhoarntsje,und,"","",,West Frisian,Jelle,2021-02-27T17:47:15Z
44575,Húsrôt,und,"","",,West Frisian,Jelle,2021-02-27T17:49:17Z
44576,Wetterrôt,und,"","",,West Frisian,Jelle,2021-02-27T17:50:46Z
43151,Knyn,und,"","",,West Frisian,Jelle,2021-02-27T17:51:48Z
43997,Beverrôt,und,"","",,West Frisian,Jelle,2021-02-27T17:53:53Z
45763,Muskusrôt,und,"","",,West Frisian,Jelle,2021-02-27T17:55:12Z
41812,Murd,und,"","",,West Frisian,Jelle,2021-02-27T17:58:09Z
569428,Wezeling,und,"","",,West Frisian,Jelle,2021-02-27T17:59:16Z
41808,Harmeling,und,"","",,West Frisian,Jelle,2021-02-27T18:00:27Z
855297,Das,und,"","",,West Frisian,Jelle,2021-02-27T18:01:34Z
41796,Beamotter,und,"","",,West Frisian,Jelle,2021-02-27T18:04:21Z
41800,Stienmurd,und,"","",,West Frisian,Jelle,2021-02-27T18:05:20Z
41979,Lynks,und,"","",,West Frisian,Jelle,2021-02-27T18:06:30Z
41850,Fiskotter,und,"","",,West Frisian,Jelle,2021-02-27T18:07:35Z
43128,Hazze,und,"","",,West Frisian,Jelle,2021-02-27T18:08:40Z
925661,Sjenetkat,und,"","",,West Frisian,Jelle,2021-02-27T18:10:53Z
922459,Wylde kat,und,"","",,West Frisian,Jelle,2021-02-27T18:13:04Z
43042,Stykelbaarch,und,"","",,West Frisian,Jelle,2021-02-27T18:14:08Z
42161,Damhart,und,"","",,West Frisian,Jelle,2021-02-27T18:15:05Z
204113,Reahart,und,"","",,West Frisian,Jelle,2021-02-27T18:16:48Z
522193,Elk,und,"","",,West Frisian,Jelle,2021-02-27T18:18:04Z
45550,Gielhalsboskmûs,und,"","",,West Frisian,Jelle,2021-02-27T19:51:25Z
45562,Heidemûs,und,"","",,West Frisian,Jelle,2021-02-27T19:52:50Z
74090,Wrotrôt,und,"","",,West Frisian,Jelle,2021-02-27T19:54:40Z
41553,Blauwe finfisk,und,"","",,West Frisian,Jelle,2021-02-27T19:55:41Z
40581,Breedearflearmûs,und,"","",,West Frisian,Jelle,2021-02-27T19:56:36Z
42407,Wisint,und,"","",,West Frisian,Jelle,2021-02-27T19:58:04Z
42048,Wolf,und,"","",,West Frisian,Jelle,2021-02-27T19:58:54Z
43793,Bever,und,"","",,West Frisian,Jelle,2021-02-27T20:00:09Z
119405,Bargemot,und,"","",,West Frisian,Jelle,2021-02-27T20:02:17Z
55903,Reade wrotmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:03:41Z
45836,Europeeske hamster,und,"","",,West Frisian,Jelle,2021-02-27T20:06:09Z
46663,Fjildpipermûs,und,"","",,West Frisian,Jelle,2021-02-27T20:07:16Z
46640,Hûspipermûs,und,"","",,West Frisian,Jelle,2021-02-27T20:09:08Z
45863,Ikelmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:10:30Z
74314,Noardske flearmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:11:28Z
207811,Lette flearmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:12:27Z
74383,Sânslieper,und,"","",,West Frisian,Jelle,2021-02-27T20:15:45Z
41541,Grize dolfyn,und,"","",,West Frisian,Jelle,2021-02-27T20:17:25Z
41733,Grize seehûn,und,"","",,West Frisian,Jelle,2021-02-27T20:18:24Z
41421,Noardlike Butskop,und,"","",,West Frisian,Jelle,2021-02-27T20:19:44Z
41505,Wytwangdolfyn,und,"","",,West Frisian,Jelle,2021-02-27T20:22:50Z
45316,Nôtmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:23:40Z
44282,Ierdmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:24:38Z
44280,Lânmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:25:20Z
887383,Rottekop,und,"","",,West Frisian,Jelle,2021-02-27T20:26:23Z
44266,Koartear-wrotmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:27:51Z
57534,Langwjukflearmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:29:01Z
44705,Húsmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:30:02Z
45856,Hazzemûs,und,"","",,West Frisian,Jelle,2021-02-27T20:31:22Z
74692,Nimfflearmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:32:29Z
74697,Langearflearmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:33:16Z
40308,Marflearmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:34:22Z
424254,Wetterflearmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:36:06Z
40281,Ynsnijde flearmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:37:09Z
40291,Mûsearflearmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:37:57Z
40314,Burdflearmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:38:54Z
210400,Franjesturt,und,"","",,West Frisian,Jelle,2021-02-27T20:39:47Z
46860,Sompepipermûs,und,"","",,West Frisian,Jelle,2021-02-27T20:40:47Z
46859,Wetterpipermûs,und,"","",,West Frisian,Jelle,2021-02-27T20:41:38Z
40573,Boskflearmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:42:26Z
40572,Reade flearmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:43:26Z
855311,Marterhûn,und,"","",,West Frisian,Jelle,2021-02-27T20:45:04Z
41766,Walrus,und,"","",,West Frisian,Jelle,2021-02-27T20:45:55Z
41521,Orka,und,"","",,West Frisian,Jelle,2021-02-27T20:46:58Z
340942,Europeeske moeflon,und,"","",,West Frisian,Jelle,2021-02-27T20:48:58Z
41708,Seehûn,und,"","",,West Frisian,Jelle,2021-02-27T20:49:54Z
41440,Brúnfisk,und,"","",,West Frisian,Jelle,2021-02-27T20:50:34Z
74890,Potfisk,und,"","",,West Frisian,Jelle,2021-02-27T20:51:38Z
40391,Rûge lytse flearmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:53:44Z
40364,Lytse flearmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:54:44Z
40416,Grutearflearmûs,und,"","",,West Frisian,Jelle,2021-02-27T20:56:18Z
41663,Waskbear,und,"","",,West Frisian,Jelle,2021-02-27T20:57:21Z
41691,Lytse seehûn,und,"","",,West Frisian,Jelle,2021-02-27T20:58:09Z
40645,Grutte hoefizernoas,und,"","",,West Frisian,Jelle,2021-02-27T20:59:07Z
40695,Lytse hoefizernoas,und,"","",,West Frisian,Jelle,2021-02-27T21:00:20Z
46414,Boskpipermûs,und,"","",,West Frisian,Jelle,2021-02-27T21:01:12Z
46405,Twakleurige boskpipermûs,und,"","",,West Frisian,Jelle,2021-02-27T21:02:06Z
46471,Lytse pipermûs,und,"","",,West Frisian,Jelle,2021-02-27T21:03:13Z
41482,Tûmel-dolfyn,und,"","",,West Frisian,Jelle,2021-02-27T21:05:05Z
40446,Twakleurige flearmûs,und,"","",,West Frisian,Jelle,2021-02-27T21:06:18Z
1264432,Mink,und,"","",https://www.inaturalist.org/taxon_names/2447942/edit,West Frisian,,2021-07-20T16:31:02Z
46091,Vancouvereilânmarmot,und,"","",,West Frisian,Zane Roskoph,2021-08-02T00:59:55Z
44279,Beierske wrotmûs,und,"","",,West Frisian,Zane Roskoph,2021-08-15T20:31:14Z
