id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47549,Имӓн каваштанвлӓ,und,"","",,Western Mari,John E. Christensen,2017-12-02T21:14:10Z
47372,Секвойя,und,"","",,Western Mari,John E. Christensen,2018-02-08T20:37:12Z
333586,Йӹл,und,"","",,Western Mari,John E. Christensen,2018-07-11T14:12:00Z
505478,Цӹвӹ,und,"","",,Western Mari,John E. Christensen,2019-12-18T08:44:37Z
34016,Сандберг фельзума,und,"","",,Western Mari,Zane Roskoph,2021-08-01T15:27:26Z
34068,Изи Сейшел фельзума,und,"","",,Western Mari,Zane Roskoph,2021-08-01T15:30:02Z
34075,Кого Сейшел фельзума,und,"","",,Western Mari,Zane Roskoph,2021-08-01T15:55:25Z
18910,Сейшел шӓргӓшӓн попугай,und,"","",,Western Mari,Zane Roskoph,2021-08-01T17:40:35Z
539193,Линдберг цӓрӓ сӹнзӓӓн сцинк,und,"","",,Western Mari,Zane Roskoph,2021-08-02T12:28:35Z
43136,Сарикӓ морен,und,"","",,Western Mari,Zane Roskoph,2021-08-09T18:37:05Z
339893,Сӹнзӓлыкан тӹшкӓ танагра,und,"","",,Western Mari,Zane Roskoph,2021-08-09T19:32:11Z
34082,Реюньон тӹрлӹмӹ фельзума,und,"","",,Western Mari,Zane Roskoph,2021-08-10T11:37:52Z
35347,Тангыж игуана,und,"","",,Western Mari,Zane Roskoph,2021-08-10T19:50:16Z
3451,Галапагос тыргӓдӹ,und,"","",,Western Mari,Zane Roskoph,2021-08-11T11:42:49Z
41644,Ош мӧскӓ,und,"","",,Western Mari,Zane Roskoph,2021-08-11T16:54:20Z
18941,Кеа,und,"","",,Western Mari,Zane Roskoph,2021-08-12T14:34:05Z
112581,Шигол,und,"","",,Western Mari,Zane Roskoph,2021-08-14T18:20:15Z
102975,Ошкол,und,"","",,Western Mari,Zane Roskoph,2021-08-14T18:53:30Z
41964,Арыслан,und,"","",,Western Mari,Zane Roskoph,2021-08-24T15:04:45Z
540200,У Гвиней вӹд питон,und,"","",,Western Mari,Zane Roskoph,2021-08-25T14:32:58Z
39453,Гигант варан,und,"","",,Western Mari,Zane Roskoph,2021-08-27T16:08:11Z
31519,Молох,und,"","",,Western Mari,Zane Roskoph,2021-08-27T17:39:13Z
