id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47229,Jay,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10069993/common/149142,Wolof,,2014-04-14T02:22:37Z
317963,Mat mat,und,"","",,Wolof,Cédric de Foucault,2016-08-16T11:10:33Z
1,Rab,und,"","",,Wolof,John E. Christensen,2017-12-04T12:13:50Z
75445,Anet,und,"","",,Wolof,John E. Christensen,2018-04-23T20:42:21Z
47336,Melentaan,und,"","",,Wolof,John E. Christensen,2018-11-02T13:15:44Z
505478,Ganaar,und,"","",,Wolof,John E. Christensen,2020-01-03T08:07:53Z
47903,Gargamboose,und,"","",,Wolof,John E. Christensen,2021-02-10T13:17:50Z
97790,Sèce,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082883/common/83751,Wolof,,2021-07-12T17:03:34Z
102742,N'diaguel,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066252/common/233217,Wolof,,2021-07-15T14:19:22Z
84996,Gaïdé guedj,und,"","",,Wolof,Zane Roskoph,2021-07-16T16:47:13Z
51402,Mèl,und,"","",,Wolof,Zane Roskoph,2021-07-19T16:41:55Z
51402,Mell,und,"","",,Wolof,Zane Roskoph,2021-07-19T16:42:16Z
51402,Walidor,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10063455/common/256894,Wolof,,2021-07-19T16:42:24Z
51402,Wallidöër,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10063455/common/256893,Wolof,,2021-07-19T16:42:33Z
102690,Biblique,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082214/common/185300,Wolof,,2021-07-19T16:52:55Z
102692,Biblique,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082217/common/185257,Wolof,,2021-07-19T16:52:56Z
50984,N'got,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070184/common/256373,Wolof,Andrés Nicolás Ramírez,2021-07-20T12:57:05Z
50984,Nalnol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070184/common/256374,Wolof,Andrés Nicolás Ramírez,2021-07-20T12:57:11Z
50984,Ngal-ngal,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070184/common/256375,Wolof,Andrés Nicolás Ramírez,2021-07-20T12:57:32Z
50984,Rakk,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070184/common/256361,Wolof,Andrés Nicolás Ramírez,2021-07-20T12:57:53Z
50984,Sakö,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070184/common/256358,Wolof,Andrés Nicolás Ramírez,2021-07-20T12:58:01Z
187787,Sako,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10085693/common/350457,Wolof,,2021-07-20T12:58:01Z
50984,Ngott,und,"","",,Wolof,Zane Roskoph,2021-07-20T12:58:27Z
491007,Ndot,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084936/common/104228,Wolof,,2021-07-27T17:19:55Z
49606,Ndor,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084933/common/104320,Wolof,,2021-07-27T17:20:07Z
491007,Ndor,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084936/common/104227,Wolof,,2021-07-27T17:20:08Z
50873,Ndiagadar,und,"","",,Wolof,Zane Roskoph,2021-07-30T14:27:43Z
113653,Gangue-Kala,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082498/common/80596,Wolof,,2021-08-03T19:22:49Z
113675,Gangue-Kala,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082522/common/80466,Wolof,,2021-08-03T19:22:49Z
113693,Gangue-Kala,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082543/common/80343,Wolof,,2021-08-03T19:22:50Z
113592,Gangue-Kala,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082459/common/80859,Wolof,,2021-08-03T19:22:50Z
113597,Gangue-Kala,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082464/common/80838,Wolof,,2021-08-03T19:22:50Z
41955,Tene,und,"","",,Wolof,Zane Roskoph,2021-08-13T12:34:25Z
41964,Gaynde,und,"","",,Wolof,Zane Roskoph,2021-08-24T15:29:59Z
41967,Ségg,und,"","",,Wolof,Zane Roskoph,2021-08-26T16:40:46Z
114126,Waxandor,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072982/common/159687,Wolof,,2021-08-30T12:36:15Z
69675,Waxandor,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072977/common/159951,Wolof,,2021-08-30T12:36:15Z
114126,Ouakhandar,und,"","",,Wolof,Zane Roskoph,2021-08-30T12:36:32Z
49961,Maan,und,"","",,Wolof,Zane Roskoph,2021-09-01T12:11:05Z
493799,Khâb,und,"","",,Wolof,Zane Roskoph,2021-09-11T20:48:27Z
493799,Khabé,und,"","",,Wolof,Zane Roskoph,2021-09-11T20:48:49Z
493799,Sannka,und,"","",,Wolof,Zane Roskoph,2021-09-11T20:49:13Z
47251,Seudeu,und,"","",,Wolof,Zane Roskoph,2021-10-18T00:10:29Z
113934,Dounn,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Wolof,,2021-12-23T20:06:25Z
110029,Sompat,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Wolof,,2021-12-31T05:48:17Z
615162,Sompat,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Wolof,,2021-12-31T05:48:18Z
615165,Sompat,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Wolof,,2021-12-31T05:48:18Z
188583,Sompat,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Wolof,,2021-12-31T05:48:19Z
