id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
333586,蚯蚓,und,"","",,Wuu Chinese,John E. Christensen,2018-07-11T14:16:05Z
505478,鸡,und,"","",,Wuu Chinese,John E. Christensen,2020-01-03T08:09:14Z
119450,杜鹃花科,und,"","",,Wuu Chinese,John E. Christensen,2021-02-26T15:18:06Z
99786,电鳗,und,"","",,Wuu Chinese,Zane Roskoph,2021-07-29T03:31:45Z
47516,虹鳟,und,"","",,Wuu Chinese,Zane Roskoph,2021-07-30T01:53:13Z
41970,美洲豹,und,"","",,Wuu Chinese,Zane Roskoph,2021-07-30T12:22:01Z
41972,云豹,und,"","",,Wuu Chinese,Zane Roskoph,2021-07-30T13:06:04Z
50873,大白鲨,und,"","",,Wuu Chinese,Zane Roskoph,2021-07-30T14:11:11Z
42007,美洲狮,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-01T02:02:47Z
30472,眼镜王蛇,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-02T18:47:44Z
52188,鲸鲨,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-03T14:12:20Z
49105,叶形海龙,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-05T13:49:15Z
371890,澳洲光颌松球鱼,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-05T17:26:06Z
32346,侏儒蚺,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-09T18:45:55Z
123356,枸櫞,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-10T12:51:22Z
3802,北方塘鹅,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-11T15:52:35Z
41644,北极熊,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-11T17:11:56Z
41724,豹海豹,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-11T19:32:18Z
41955,猎豹,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-13T12:34:39Z
112581,欧鲶,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-14T18:30:19Z
41553,蓝鲸,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-15T15:41:40Z
41461,白鲸,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-15T20:23:14Z
41964,狮,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-24T15:30:14Z
74831,雪豹,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-25T12:35:03Z
42407,欧洲野牛,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-25T14:06:16Z
130796,东北虎,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-26T14:50:25Z
41967,虎,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-26T16:41:00Z
130793,孟加拉虎,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-27T12:45:04Z
130793,华南虎,und,"","",,Wuu Chinese,Zane Roskoph,2021-08-27T14:44:00Z
