id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47336,Iimbovane,und,"","",,Xhosa,Peter Slingsby,2018-03-14T07:04:49Z
41964,iNgwenyama,und,"","",,Xhosa,Bobby McCabe,2018-03-24T16:39:30Z
41964,iNgonyama,und,"","",,Xhosa,Bobby McCabe,2018-03-24T16:40:10Z
43125,Umvundla,und,"","",,Xhosa,Bobby McCabe,2018-04-13T15:30:11Z
559225,Umhlunguthi,und,"","",,Xhosa,Brendan O'Loughlin,2018-08-22T18:01:06Z
559225,Ulonwabo,und,"","",,Xhosa,Brendan O'Loughlin,2018-08-22T18:01:37Z
123070,Ibhokhwe,und,"","",,Xhosa,John E. Christensen,2018-12-30T16:15:02Z
47735,ukushonga,und,"","",,Xhosa,Joachim Louis,2019-01-15T09:49:11Z
58127,Umfino,und,"","",,Xhosa,Andrew Massyn,2019-03-24T10:30:16Z
133538,umvumvu,und,"","",,Xhosa,Chris Vynbos,2019-11-03T13:59:46Z
118668,Intimla,und,"","",,Xhosa,Chris Vynbos,2019-11-14T13:26:53Z
430630,ikhala,und,"","",,Xhosa,Bobby McCabe,2019-12-06T14:18:12Z
505478,Inkuku,und,"","",,Xhosa,John E. Christensen,2020-01-03T08:09:40Z
131236,iintsholongwane,und,"","",,Xhosa,James K. Douch,2020-02-23T03:11:55Z
925659,Inyhwagi,und,"","",,Xhosa,Bobby McCabe,2020-02-23T04:59:27Z
41595,Inyhwagi,und,"","",,Xhosa,Bobby McCabe,2020-02-23T05:28:48Z
52884,inYenzane,und,"","",,Xhosa,Dewald du Plessis,2020-03-14T13:31:01Z
67688,inKumbi,und,"","",,Xhosa,Dewald du Plessis,2020-03-14T13:35:22Z
42283,Ibhadi,und,"","",,Xhosa,Bobby McCabe,2020-03-19T16:21:31Z
42288,Impunzi,und,"","",,Xhosa,Bobby McCabe,2020-03-19T16:28:07Z
60583,isiPonji,und,"","",,Xhosa,Dewald du Plessis,2020-03-23T12:25:27Z
120407,Shongololo,und,"Free State, ZA","",,Xhosa,Dewald du Plessis,2020-03-31T19:01:21Z
63081,isiFunxigazi,und,"","",,Xhosa,Dewald du Plessis,2020-04-06T10:09:29Z
333586,umSundulu,und,"","",,Xhosa,Dewald du Plessis,2020-04-06T18:03:30Z
121639,uNonkala,und,"","",,Xhosa,Dewald du Plessis,2020-04-06T18:43:50Z
342910,iProwuni,und,"","",,Xhosa,Dewald du Plessis,2020-04-06T18:56:23Z
61384,uNamvuna,und,"","",,Xhosa,Dewald du Plessis,2020-04-07T10:29:08Z
311310,"iKhreyifishi, uNamvuna",und,"","",,Xhosa,Dewald du Plessis,2020-04-07T10:32:28Z
85493,isiDalwa esineqokobhe solwandle,und,"","",,Xhosa,Dewald du Plessis,2020-04-07T10:44:18Z
49556,inKume,und,"","",,Xhosa,Dewald du Plessis,2020-04-07T11:19:57Z
47735,iShongololo,und,"","",,Xhosa,Dewald du Plessis,2020-04-07T18:11:13Z
1,isiLwanyana,und,"","",,Xhosa,Dewald du Plessis,2020-04-09T18:02:08Z
47114,inKumba,und,"","",,Xhosa,Dewald du Plessis,2020-04-09T18:12:59Z
42283,Tsepe,und,"","",,Xhosa,Dewald du Plessis,2020-04-24T13:06:05Z
75192,iMpoof,und,"","",,Xhosa,Dewald du Plessis,2020-04-24T13:31:13Z
132658,Caama,und,South Africa,ZA,,Xhosa,Dewald du Plessis,2020-04-24T13:42:45Z
42149,iMfoobo,und,"","",,Xhosa,Dewald du Plessis,2020-04-24T18:01:26Z
50333,uButywala bentaka,und,"","",,Xhosa,Dewald du Plessis,2020-05-24T07:45:40Z
119673,umsintsi,und,"","",,Xhosa,Botswanabugs,2020-08-07T09:52:18Z
138594,umgxam,und,"","",,Xhosa,Botswanabugs,2020-08-07T10:12:48Z
