id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
3,פויגל,und,"","",,Yiddish,John E. Christensen,2017-12-22T21:53:01Z
47599,אספארגוס,und,"","",,Yiddish,John E. Christensen,2018-01-09T12:24:34Z
62941,זיסע קארטאפל,und,"","",,Yiddish,John E. Christensen,2018-02-17T13:22:30Z
47336,מוראשקע,und,"","",,Yiddish,John E. Christensen,2018-11-02T13:16:25Z
40151,זויגער,und,"","",,Yiddish,John E. Christensen,2019-02-07T16:04:38Z
505478,האן,und,"","",,Yiddish,John E. Christensen,2020-01-03T08:10:24Z
131236,ווירוסעס,und,"","",,Yiddish,James K. Douch,2020-02-23T03:12:20Z
630955,בין,und,"","",,Yiddish,John E. Christensen,2020-09-28T16:03:43Z
41970,יאגואר,und,"","",,Yiddish,Zane Roskoph,2021-07-30T12:22:40Z
123356,אתרוג,und,"","",,Yiddish,Zane Roskoph,2021-08-10T12:51:37Z
41964,לייב,und,"","",,Yiddish,Zane Roskoph,2021-08-24T12:42:02Z
74831,שניי לעמפערט,und,"","",,Yiddish,Zane Roskoph,2021-08-25T12:35:34Z
41967,טיגער,und,"","",,Yiddish,Zane Roskoph,2021-08-26T16:41:29Z
469472,עפּל,und,"","",,Yiddish,DW,2022-03-27T05:08:32Z
