id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47192,tatangqurhnaq,und,"","",,Yup'ik,cassi saari,2018-08-06T19:40:38Z
47192,tsengqułektat,und,"","",,Yup'ik,cassi saari,2018-08-06T19:41:12Z
8335,neqaiq,und,"","",,Yup'ik,raymie,2019-05-18T12:23:46Z
8010,tulukaruq,und,"","",,Yup'ik,raymie,2019-05-18T12:24:41Z
8335,kisirallerr,und,"","",,Yup'ik,raymie,2019-05-18T12:25:48Z
931,aqezgiq,und,"","",,Yup'ik,raymie,2019-05-18T12:27:38Z
6917,qugyuk,und,"","",,Yup'ik,raymie,2019-05-18T12:28:32Z
6917,qugsuk,und,"","",,Yup'ik,raymie,2019-05-18T12:29:02Z
508048,qut'raaq,und,"","",,Yup'ik,raymie,2019-05-18T12:30:20Z
508048,quchillgaq,und,"","",,Yup'ik,raymie,2019-05-18T12:31:11Z
144821,chikepiipiiq,und,"","",,Yup'ik,raymie,2019-05-18T12:32:40Z
144821,chikepiipiir,und,"","",,Yup'ik,raymie,2019-05-18T12:33:25Z
11935,equgmelngaq,und,"","",,Yup'ik,raymie,2019-05-18T12:34:24Z
4449,teqirayuli,und,"","",,Yup'ik,raymie,2019-05-18T12:35:52Z
4449,teqiyaaraq,und,"","",,Yup'ik,raymie,2019-05-18T12:36:42Z
7030,Qengaallek,und,"","",,Yup'ik,raymie,2020-11-30T18:04:42Z
7170,Allgiar,und,"","",,Yup'ik,raymie,2020-11-30T18:06:08Z
