id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
42051,Coyotl,und,"","",,Yuto Nahua,Jane Widness,2013-05-16T07:55:40Z
42048,Narigóchi,und,"","",,Yuto Nahua,Bobby McCabe,2013-05-16T07:55:40Z
42076,ostotl,und,"","",,Yuto Nahua,d_kluza,2013-05-16T07:55:40Z
42220,mazatl,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:55:41Z
42223,mazatl,und,"","",,Yuto Nahua,Erick Alexander Pinilla,2013-05-16T07:55:41Z
47092,ayotochtli,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:55:42Z
47075,ayotochtli,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:55:42Z
42652,tlakuatzin,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:55:43Z
41976,Ruchí,und,"","",,Yuto Nahua,Bobby McCabe,2013-05-16T07:55:47Z
42007,Mawiyaka,und,"","",,Yuto Nahua,Victor HOYEAU,2013-05-16T07:55:47Z
44068,ripósi,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:55:51Z
43130,ruyé,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:55:57Z
43115,rowi,und,"","",,Yuto Nahua,Gerardo Alberto,2013-05-16T07:55:57Z
43111,rowi,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:55:57Z
41880,epatl,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:55:57Z
41882,pasúchi pinto,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:55:58Z
41315,sopichí,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:00Z
41301,sopichí,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:00Z
44748,calquimichin,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:04Z
44758,rorí,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:06Z
44393,chikúri,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:11Z
74854,chikúri,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:12Z
44378,chikúri,und,"","",,Yuto Nahua,Carlos Galindo-Leal,2013-05-16T07:56:12Z
44395,chikúri,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:14Z
44415,chikúri,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:15Z
44366,chikúri,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:18Z
44431,sotóchi,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:20Z
44422,sotóchi,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:21Z
44904,rokiri,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:23Z
41778,wahurí,und,"","",,Yuto Nahua,Bobby McCabe,2013-05-16T07:56:24Z
41003,sopichí,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:26Z
41168,quimichpatlan,und,"","",,Yuto Nahua,Jakob Fahr,2013-05-16T07:56:29Z
41147,sopichí,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:32Z
41676,rikamúchi,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:36Z
41673,churé,und,"","",,Yuto Nahua,Carlos Galindo-Leal,2013-05-16T07:56:36Z
41663,batúi,und,"","",,Yuto Nahua,max kirsch,2013-05-16T07:56:37Z
46018,chimirí siyóname,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:38Z
46009,okotekilin,und,"","",,Yuto Nahua,d_kluza,2013-05-16T07:56:39Z
46024,chimorí láname,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:39Z
41638,Ohí,und,"","",,Yuto Nahua,Bobby McCabe,2013-05-16T07:56:47Z
74203,sopichí,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:48Z
40509,sopichí,und,"","",,Yuto Nahua,Jakob Fahr,2013-05-16T07:56:49Z
74476,sopichí,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:49Z
40343,sopichí,und,"","",,Yuto Nahua,Ken-ichi Ueda,2013-05-16T07:56:50Z
68093,sopichí,und,"","",,Yuto Nahua,Bobby McCabe,2013-05-16T07:56:50Z
520561,quimichin,und,"","",,Yuto Nahua,,2016-12-23T07:37:00Z
1264431,quahutenzo,und,"","",https://www.inaturalist.org/taxon_names/441542/edit,Yuto Nahua,,2021-07-20T16:23:42Z
1368485,mazatl,und,"","",https://www.inaturalist.org/taxon_names/441337/edit,Yuto Nahua,,2022-03-24T19:57:37Z
