id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
278953,badoo-cha,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:00:25Z
59561,badungás,und,"","",,Zapoteco,sea-kangaroo,2013-05-16T08:00:25Z
75395,ba-llaa,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:00:28Z
60439,bandaa-yu,und,"","",,Zapoteco,Zinogre,2013-05-16T08:00:31Z
290509,becho-topa,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:00:45Z
276594,be-cuela-toba,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:00:45Z
58392,beecho,und,"","",,Zapoteco,Cole Gaerber,2013-05-16T08:00:46Z
79069,be-laga-cuti,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:01Z
206170,be-laga-xobana-bela,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:01Z
123694,be-lohui,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:03Z
291340,bene-guia,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:03Z
166545,bete ' a,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:07Z
290171,betusa-gitse,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:07Z
127676,bia,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:07Z
84815,bi-aa,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:07Z
169286,biache,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:07Z
277826,biaqui,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:08Z
244459,biga-raagú,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:09Z
199217,bigi-tope,und,"","",,Zapoteco,Adrian Bojorquez,2013-05-16T08:01:09Z
79141,bi-tache,und,"","",,Zapoteco,harum.koh,2013-05-16T08:01:11Z
49658,bito,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:11Z
54919,bi-toni-castilla,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:11Z
274257,bi-tzuri,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:12Z
64237,bi-xilla,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:12Z
165876,bi-yaa,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:01:12Z
122850,bi-zaa-hui,und,"","",,Zapoteco,Zachary Dankowicz,2013-05-16T08:01:13Z
57309,bizaa-roo-xtilla,und,"","",,Zapoteco,Bobby McCabe,2013-05-16T08:01:13Z
64340,bi-zoya,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:02:24Z
283212,blag-chog,und,"","",,Zapoteco,Bodo Nuñez Oberg,2013-05-16T08:02:25Z
122866,calabaza tamalayota,und,"","",,Zapoteco,Bobby McCabe,2013-05-16T08:03:16Z
53219,chaa,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:04:46Z
161443,chapandú,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:05:01Z
277618,chicle guizh guts,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:05:23Z
209868,chie-nita,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:05:25Z
281785,chie-nita,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:05:25Z
202341,chie-nita,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:05:26Z
282250,chie-nita,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:05:26Z
283656,chie-nita,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:05:26Z
164079,chie-nita,und,"","",,Zapoteco,Alexis López Hernández,2013-05-16T08:05:26Z
201454,chie-nita,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:05:27Z
288153,coba-chita,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:06:07Z
279626,coba-gui,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:06:07Z
128270,coba-gui-naxi,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:06:07Z
57057,coba-picina-xi-castilla,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:06:08Z
206196,cobilla,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:06:08Z
276278,Coche,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:06:09Z
55410,coo-guiña nagali-castilla,und,"","",,Zapoteco,James Bailey,2013-05-16T08:06:39Z
284319,cuanabiche,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:07:27Z
159580,cuan-dzun,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:07:27Z
286123,cuan-guiña,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:07:27Z
163712,cuan-guixi,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:07:27Z
158098,doba-yey,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:08:09Z
152204,goñi,und,"","",,Zapoteco,Bodo Nuñez Oberg,2013-05-16T08:10:08Z
75869,goo-gati,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:08Z
62941,gu,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:17Z
158455,gubaguinashi,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:31Z
56739,Guechi beyo,und,"","",,Zapoteco,Bodo Nuñez Oberg,2013-05-16T08:10:32Z
160266,guechi beziia,und,"","",,Zapoteco,Austin R. Kelly,2013-05-16T08:10:32Z
166911,guechi gu,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:32Z
128533,guechi-nichi,und,"","",,Zapoteco,Steve Jones,2013-05-16T08:10:32Z
51306,gueeche becueza xtilla,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:32Z
273939,gueeche-hui,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:32Z
206288,gueecho-guiaroo,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:33Z
276546,gueecho-guiaroo,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:33Z
64017,gueere,und,"","",,Zapoteco,Yoshimasa Uchiyama,2013-05-16T08:10:33Z
76538,gueeto xuga,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:33Z
58138,gueeto-lana,und,"","",,Zapoteco,Oscar González,2013-05-16T08:10:33Z
181590,gueeto-xiu,und,"","",,Zapoteco,sea-kangaroo,2013-05-16T08:10:33Z
126925,Guela-gue,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:34Z
209936,guelau,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:34Z
122521,guel-gutzi,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:34Z
76541,gueto-bichi,und,"","",,Zapoteco,Carlos Galindo-Leal,2013-05-16T08:10:35Z
209957,guetoxiga,und,"","",,Zapoteco,Jorge Rojas S.,2013-05-16T08:10:35Z
51875,gue-tuu-xtilla,und,"","",,Zapoteco,Bobby McCabe,2013-05-16T08:10:35Z
58790,gueza bichi,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:35Z
165138,guh-yaga,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:36Z
209889,guia,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:36Z
167977,guia-be-cohua,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:36Z
158336,guia-bia,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:36Z
48363,guia-biche,und,"","",,Zapoteco,cassi saari,2013-05-16T08:10:36Z
290891,guia-chilla,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:36Z
289134,guia-dana,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:37Z
49569,guia-guie,und,"","",,Zapoteco,Bobby McCabe,2013-05-16T08:10:37Z
78346,guia-guiña,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:37Z
146617,guia-huixi,und,"","",,Zapoteco,Bodo Nuñez Oberg,2013-05-16T08:10:37Z
206780,guia-lachi,und,"","",,Zapoteco,Jorge Rojas S.,2013-05-16T08:10:38Z
288710,guia-laga-zaa,und,"","",,Zapoteco,Bodo Nuñez Oberg,2013-05-16T08:10:38Z
276303,guia-lee,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:38Z
275340,guichi-bidú,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:38Z
79312,guie coba,und,"","",,Zapoteco,Jorge Rojas S.,2013-05-16T08:10:38Z
62917,guie lachi,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:39Z
139075,guié se,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:39Z
162845,guie tiini,und,"","",,Zapoteco,Carlos Galindo-Leal,2013-05-16T08:10:39Z
284829,guié-begu,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:39Z
163327,guie-nizza,und,"","",,Zapoteco,Bodo Nuñez Oberg,2013-05-16T08:10:39Z
132130,guie-quigá,und,"","",,Zapoteco,Adrian Bojorquez,2013-05-16T08:10:40Z
61398,guiéstia,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:40Z
284698,guie-tiqui,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:40Z
158740,guie-vada,und,"","",,Zapoteco,Bodo Nuñez Oberg,2013-05-16T08:10:40Z
57140,guie'yaasé,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:41Z
48514,guiná,und,"","",,Zapoteco,Nick Block,2013-05-16T08:10:41Z
122796,guiña-shigandú,und,"","",,Zapoteco,Zinogre,2013-05-16T08:10:41Z
147260,guito-xiga,und,"","",,Zapoteco,Jorge Rojas S.,2013-05-16T08:10:42Z
161121,guito-xiga,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:42Z
166190,guixi-be-taa,und,"","",,Zapoteco,Ken-ichi Ueda,2013-05-16T08:10:42Z
58371,guixi-biguiñi,und,"","",,Zapoteco,Austin R. Kelly,2013-05-16T08:10:42Z
