id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
40268,Şewşewıki,und,"","",,Zazaki,John E. Christensen,2018-01-24T16:24:29Z
42134,Xozê yabani,und,"","",,Zazaki,John E. Christensen,2018-02-13T08:01:40Z
122970,Saa bınê erdi,und,"","",,Zazaki,John E. Christensen,2018-11-04T13:18:11Z
7006,Qeze (heywan),und,"","",,Zazaki,John E. Christensen,2019-01-04T08:42:20Z
40151,Çıçeyıni,und,"","",,Zazaki,John E. Christensen,2019-02-07T16:25:38Z
18874,Papağan,und,"","",,Zazaki,John E. Christensen,2019-03-04T13:05:48Z
85553,Mar,und,"","",,Zazaki,John E. Christensen,2019-04-28T07:12:48Z
57563,Kenger,und,"","",,Zazaki,John E. Christensen,2019-07-06T09:45:40Z
81925,Camusê Asya,und,"","",,Zazaki,John E. Christensen,2019-08-15T13:49:05Z
505478,Kerge (heywan),und,"","",,Zazaki,John E. Christensen,2019-10-06T06:47:05Z
41970,Caguar,und,"","",,Zazaki,Zane Roskoph,2021-07-30T11:58:05Z
56072,Masey mandalina,und,"","",,Zazaki,Zane Roskoph,2021-08-09T13:23:00Z
41644,Heşo sıpê,und,"","",,Zazaki,Zane Roskoph,2021-08-11T16:09:24Z
41964,Şêr,und,"","",,Zazaki,Zane Roskoph,2021-08-24T13:07:39Z
74831,Leoparê vewre,und,"","",,Zazaki,Zane Roskoph,2021-08-25T11:36:49Z
42407,Bizonê Ewropa,und,"","",,Zazaki,Zane Roskoph,2021-08-25T12:54:01Z
