id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47347,chihombiri,und,"","",,Zezuru,Botswanabugs,2020-01-16T14:24:20Z
340166,tsvanza,und,"","",,Zezuru,Botswanabugs,2021-07-23T16:30:17Z
340166,Kore Kore,und,"","",,Zezuru,Botswanabugs,2021-07-23T16:31:10Z
340166,korekore,und,"","",,Zezuru,Botswanabugs,2021-07-23T16:31:42Z
340255,Tsubvu,und,"","",,Zezuru,Botswanabugs,2021-07-28T05:16:53Z
334379,Mukonde,und,"","",,Zezuru,Botswanabugs,2021-08-11T13:13:20Z
358409,nhungunura,und,"","",,Zezuru,Botswanabugs,2021-10-30T17:30:43Z
42405,nyati,und,"","",,Zezuru,Botswanabugs,2021-11-16T05:22:20Z
34741,demashanga,und,"","",,Zezuru,Botswanabugs,2021-11-16T05:28:21Z
116293,burwa,und,"","",,Zezuru,Botswanabugs,2021-11-16T05:30:45Z
42157,twiza,und,"","",,Zezuru,Botswanabugs,2021-11-27T09:16:22Z
142774,tuvo,und,"","",,Zezuru,Botswanabugs,2022-01-09T02:23:10Z
1210966,zvere,und,"","",,Zezuru,Botswanabugs,2022-03-10T10:32:06Z
42042,hwana,und,"","",,Zezuru,Botswanabugs,2022-03-24T04:05:25Z
