id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
54771,achín,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T07:58:08Z
284484,achín,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T07:58:09Z
284923,achit,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T07:58:10Z
209955,acubisi,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T07:58:14Z
62833,Acuy,und,"","",,Zoque,,2013-05-16T07:58:14Z
283088,aguajpó,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T07:58:22Z
286029,aguaná,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T07:58:23Z
286821,aicotzon,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T07:58:30Z
162845,aijoyó,und,"","",,Zoque,Carlos Galindo-Leal,2013-05-16T07:58:31Z
136170,amendú,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T07:59:23Z
125147,apitpajsum,und,"","",,Zoque,harum.koh,2013-05-16T07:59:43Z
138924,ashicaná,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:00:06Z
274199,ashiqueté,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:00:07Z
123438,cacajoyó,und,"","",,Zoque,Bodo Nuñez Oberg,2013-05-16T08:02:52Z
64340,cacauatzaua,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:02:55Z
168635,cajzaicui,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:03:11Z
56739,Cashilandacui,und,"","",,Zoque,Bodo Nuñez Oberg,2013-05-16T08:04:21Z
154537,cashpadán,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:04:22Z
316763,chasá,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:05:06Z
316786,chasá,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:05:06Z
316852,chasá,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:05:06Z
275354,cojambomó,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:06:12Z
273721,cojambomó,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:06:12Z
286649,conduj,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:06:35Z
77112,congocopac,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:06:36Z
283968,contzontón,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:06:38Z
143208,contzontón,und,"","",,Zoque,Cheng Te Hsu,2013-05-16T08:06:38Z
163327,cuchunuc,und,"","",,Zoque,Bodo Nuñez Oberg,2013-05-16T08:07:39Z
155626,cuetzé,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:07:42Z
290470,gallojoyó,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:09:54Z
276278,guaipó,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:10:20Z
291961,guaité,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:10:21Z
276319,huintza'ame,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:15:20Z
277826,inu,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:15:32Z
276429,iquij,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:15:33Z
285119,jamacuquiaca,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:15:58Z
278199,jitzicui,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:16:14Z
206288,joma,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:16:16Z
122796,jonnigüi,und,"","",,Zoque,Zinogre,2013-05-16T08:16:17Z
158552,jucay,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:16:21Z
286952,juquipoté,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:16:23Z
83492,manequine,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:18:34Z
283139,masu,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:18:53Z
79312,musajoyó,und,"","",,Zoque,Jorge Rojas S.,2013-05-16T08:19:38Z
209422,nanyamai,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:19:51Z
280483,ocoiquí,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:20:39Z
161156,ocueyán-mona,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:20:43Z
62831,ohui,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:20:44Z
290838,ojoyó,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:20:45Z
62811,otzo,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:21:04Z
47447,pacapaca,und,"","",,Zoque,Donald Davesne,2013-05-16T08:21:09Z
54802,petcui,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:22:51Z
273839,petsjoyó,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:22:51Z
284200,poco,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:23:26Z
290752,popimashcui,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:23:29Z
283380,popoay,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:23:29Z
169858,quimec,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:23:43Z
147252,quinonopín,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:23:44Z
49665,Quitsincui,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:23:44Z
274175,shihuihuijoyó,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:24:32Z
62859,sumbadán,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:24:52Z
126925,Taquisapane,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:25:14Z
201459,tatacui,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:25:16Z
160238,tonjoyó,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:26:01Z
277267,tonjoyó,und,"","",,Zoque,Bodo Nuñez Oberg,2013-05-16T08:26:01Z
52391,tonótzin,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:26:01Z
49658,toshcui,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:26:04Z
161121,totumo,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:26:06Z
290046,tzacui,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:26:45Z
161144,tzajchopó,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:26:45Z
160808,tzecui,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:26:48Z
160810,tzecui,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:26:48Z
122965,tzicuit,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:26:49Z
277363,Tzicuitz,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:26:49Z
204911,tzimuy,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:26:51Z
279690,tziquescue-joyó,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:26:52Z
284731,tziquínacui,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:26:52Z
283328,tzitzún,und,"","",,Zoque,Carlos Galindo-Leal,2013-05-16T08:26:56Z
50616,tzujoyó,und,"","",,Zoque,Bodo Nuñez Oberg,2013-05-16T08:26:59Z
289866,tzuscui,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:27:00Z
54768,tzutcamaya,und,"","",,Zoque,Ken-ichi Ueda,2013-05-16T08:27:00Z
209957,tzutzu,und,"","",,Zoque,Jorge Rojas S.,2013-05-16T08:27:00Z
