id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340408,iMpondondlovu,und,"","",,Zulu,Joachim Louis,2016-03-23T08:01:35Z
8188,iNkovu,und,"","",,Zulu,Marion Maclean,2017-10-20T15:26:53Z
129721,isiQalaba,und,"","",,Zulu,cassi saari,2018-01-03T15:04:00Z
580330,idoyi,und,"","",,Zulu,cassi saari,2018-01-04T17:16:53Z
580330,ishongwe,und,"","",,Zulu,cassi saari,2018-01-04T17:17:03Z
553610,isikhonde,und,"","",,Zulu,cassi saari,2018-01-05T00:24:33Z
342746,iKhwane,und,"","",,Zulu,Peter Vos,2018-01-07T04:10:52Z
199324,ubani,und,"","",,Zulu,cassi saari,2018-01-17T22:06:47Z
43694,iNdlovu,und,"","",,Zulu,Bobby McCabe,2018-01-27T18:23:29Z
41964,iBhubesi,und,"","",,Zulu,Bobby McCabe,2018-01-27T18:27:50Z
43335,Idube,und,"","",,Zulu,Bobby McCabe,2018-01-27T18:36:18Z
41886,Impisi,und,"","",,Zulu,Bobby McCabe,2018-02-06T13:43:11Z
42149,Imvubu,und,"","",,Zulu,Bobby McCabe,2018-02-08T15:40:13Z
41964,iNgonyama,und,"","",,Zulu,Bobby McCabe,2018-03-24T16:40:42Z
74414,Chakide,und,"","",,Zulu,Brendan O'Loughlin,2018-04-02T20:24:09Z
43125,Unogwaja,und,"","",,Zulu,Bobby McCabe,2018-04-13T15:34:11Z
45933,Intshindane,und,"","",,Zulu,John E. Christensen,2018-07-12T15:34:34Z
506952,Umnyamathi,und,"","",,Zulu,Devon Bowen,2019-04-30T18:34:38Z
181791,Ubuhlungubemamba,und,"","",,Zulu,Tony Rebelo,2019-08-01T14:12:29Z
181791,ibonya,und,"","",,Zulu,Tony Rebelo,2019-08-01T14:15:33Z
41964,Mbube,und,"","",,Zulu,Bobby McCabe,2019-08-27T13:52:07Z
367323,isiFice,und,"","",,Zulu,Chris Vynbos,2019-11-03T13:15:43Z
166729,iSundu,und,"","",,Zulu,Chris Vynbos,2019-11-03T13:47:50Z
126366,umGwenya,und,"","",,Zulu,Chris Vynbos,2019-11-03T13:49:37Z
580937,umPhunzisa,und,"","",,Zulu,Chris Vynbos,2019-11-03T13:52:34Z
469317,umBangbangwe,und,"","",,Zulu,Chris Vynbos,2019-11-03T13:55:49Z
133538,inDwandwazane,und,"","",,Zulu,Chris Vynbos,2019-11-03T13:58:38Z
582516,umThenenende,und,"","",,Zulu,Chris Vynbos,2019-11-03T14:02:23Z
143536,umThongwane,und,"","",,Zulu,Chris Vynbos,2019-11-03T14:04:04Z
