GF_id,host_species,gall_id,host _id,sourceURL,pageURL,phenophase,lifestage,viability,date,doy,latitude,longitude,site,state,country,AGDD32,AGDD50,yearend32,yearend50,percent32,percent50
777,Quercus bicolor,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/274/mode/1up,oviscar,Adult,,1909-04-24,,,,Evanston,,,,,,,,
777,Quercus bicolor,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/274/mode/1up,oviscar,Adult,,1915-04-17,,,,Evanston,,,,,,,,
777,Quercus bicolor,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/274/mode/1up,perimature,,,1915-04-17,,,,Evanston,,,,,,,,
777,Quercus bicolor,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/274/mode/1up,dormant,,viable,1916-04-10,,,,Evanston,,,,,,,,
777,Quercus bicolor,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/274/mode/1up,maturing,Adult,,1916-04-15,,,,Evanston,,,,,,,,
777,Quercus bicolor,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/274/mode/1up,oviscar,Adult,,1916-04-15,,,,Evanston,,,,,,,,
2801,Quercus lobata,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/275/mode/1up,dormant,,viable,XXXX-12-07,,,,Cottonwood,,,,,,,,
2801,Quercus lobata,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/275/mode/1up,maturing,Adult,,XXXX-01-06,,,,Cottonwood,,,,,,,,
2801,Quercus lobata,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/275/mode/1up,dormant,,viable,XXXX-01-25,,,,Cottonwood,,,,,,,,
2801,Quercus lobata,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/275/mode/1up,maturing,Adult,,XXXX-02-09,,,,Cottonwood,,,,,,,,
2801,Quercus lobata,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/275/mode/1up,maturing,Adult,,XXXX-02-11,,,,Cottonwood,,,,,,,,
989,Quercus stellata,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/275/mode/1up,maturing,Adult,,1920-05-12,,,,Alexandria,,,,,,,,
768,Quercus bicolor,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/275/mode/1up,maturing,Adult,,XXXX-04-15,,,,Evanston,,,,,,,,
765,Quercus stellata,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/275/mode/1up,maturing,Adult,,1923-05-14,,,,Clarendon,,,,,,,,
765,Quercus stellata,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/275/mode/1up,maturing,Adult,,1923-05-20,,,,Clarendon,,,,,,,,
765,Quercus stellata,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/275/mode/1up,maturing,Adult,,1924-05-24,,,,Clarendon,,,,,,,,
765,Quercus stellata,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/275/mode/1up,maturing,Adult,,1924-05-26,,,,Clarendon,,,,,,,,
765,Quercus alba,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/276/mode/1up,maturing,Adult,,1909-06-11,,,,Evanston,,,,,,,,
765,Quercus alba,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/276/mode/1up,maturing,Adult,,1909-06-13,,,,Evanston,,,,,,,,
765,Quercus alba,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/276/mode/1up,maturing,Adult,,1911-05-30,,,,Fort Sheridan,,,,,,,,
765,Quercus alba,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/276/mode/1up,maturing,Adult,,1920-05-06,,,,Alexandria,,,,,,,,
765,Quercus alba,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/276/mode/1up,maturing,Adult,,1920-05-11,,,,Alexandria,,,,,,,,
845,Quercus alba,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/276/mode/1up,developing,Pupa,,XXXX-05-30,,,,Chicago,,,,,,,,
845,Quercus alba,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/276/mode/1up,developing,Pupa,,XXXX-06-09,,,,Chicago,,,,,,,,
845,Quercus alba,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/276/mode/1up,perimature,,,XXXX-06-19,,,,Moline,,,,,,,,
845,Quercus alba,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/276/mode/1up,developing,Pupa,,1924-05-04,,,,Washington,,,,,,,,
845,Quercus alba,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/276/mode/1up,maturing,Adult,,1924-05-06,,,,Washington,,,,,,,,
845,Quercus alba,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/276/mode/1up,maturing,Adult,,1924-05-12,,,,Washington,,,,,,,,
845,Quercus alba,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/276/mode/1up,developing,,viable,1920-05-02,,,,Falls Church,,,,,,,,
845,Quercus alba,,,https://www.gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/276/mode/1up,maturing,Adult,,1920-05-07,,,,Falls Church,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
