gf_id,genus,species,gall_id,host_id,sourceURL,pageURL,phenophase,lifestage,viability,date,doy,latitude,longitude,site,state,country,AGDD32,AGDD50,yearend32,yearend50,percent32,percent50
862,Quercus,stellata,,,inaturalist.org,https://www.inaturalist.org/observations/155556816,maturing,Adult,,2023-03-15,,36.84763,-96.422002,Joseph Williams Preserve,OK,USA,,,,,,
862,Quercus,stellata,,,inaturalist.org,https://www.inaturalist.org/observations/155556817,maturing,Adult,,2023-03-15,,36.84763,-96.422002,Joseph Williams Preserve,OK,USA,,,,,,
862,Quercus,stellata,,,inaturalist.org,https://www.inaturalist.org/observations/155556818,maturing,Adult,,2023-03-15,,36.84763,-96.422002,Joseph Williams Preserve,OK,USA,,,,,,
862,Quercus,stellata,,,inaturalist.org,https://www.inaturalist.org/observations/155556819,maturing,Adult,,2023-03-15,,36.84763,-96.422002,Joseph Williams Preserve,OK,USA,,,,,,
862,Quercus,stellata,,,inaturalist.org,https://www.inaturalist.org/observations/155556820,dormant,,viable,2022-10-30,,36.84763,-96.422002,Joseph Williams Preserve,OK,USA,,,,,,
870,Quercus,prinoides,,,inaturalist.org,https://www.inaturalist.org/observations/155640807,maturing,Adult,,2023-03-15,,42.412661,-83.98834,Pinckney Recreation Area,MI,USA,,,,,,
870,Quercus,prinoides,,,inaturalist.org,https://www.inaturalist.org/observations/159437297,maturing,Adult,,2023-03-15,,42.412661,-83.98834,Pinckney Recreation Area,MI,USA,,,,,,
1733,Quercus,turbinella,,,https://gallformers.org/source/755,,dormant,,viable,2007-10-31,,35.1983,-111.6513,Flagstaff,AZ,USA,,,,,,
2539,Quercus,turbinella,,,https://gallformers.org/source/755,,dormant,,viable,2007-10-31,,35.1983,-111.6513,Flagstaff,AZ,USA,,,,,,
827,Quercus,arizonica,,,https://gallformers.org/source/755,,dormant,,viable,2007-10-26,,31.929,-109.38,Chiricahua Mountains,AZ,USA,,,,,,
1729,Quercus,garryana,,,https://gallformers.org/source/755,,dormant,,viable,2007-11-04,,40.866516,-124.08284,Arcata,CA,USA,,,,,,
1371,Quercus,douglasii,,,https://gallformers.org/source/756,,maturing,Adult,,1920-03-23,,36.440617,-118.895416,Three Rivers,CA,USA,,,,,,
1370,Quercus,douglasii,,,https://gallformers.org/source/756,,dormant,,viable,2001-09-27,,40.067778,-122.111944,Dye Creek Preserve,CA,USA,,,,,,
1370,Quercus,douglasii,,,https://gallformers.org/source/756,,dormant,,viable,2004-10-21,,37.488333,-121.206944,Del Puerto Canyon,CA,USA,,,,,,
1370,Quercus,douglasii,,,https://gallformers.org/source/756,,dormant,,viable,2007-11-03,,38.9582,-122.6264,Clearlake,CA,USA,,,,,,
1371,Quercus,douglasii,,,https://gallformers.org/source/756,,dormant,,viable,2008-04-04,,38.81778,-122.2411,Quail Ridge Reserve,CA,USA,,,,,,
1371,Quercus,douglasii,,,https://gallformers.org/source/756,,dormant,,viable,2008-03-30,,40.067778,-122.111944,Dye Creek Preserve,CA,USA,,,,,,
1372,Quercus,dumosa,,,https://gallformers.org/source/755,https://collections.nmnh.si.edu/search/ento/?ark=ark:/65665/32562b378016044b194a54136889a738e,dormant,,viable,1958-02-09,,34.2268,-118.246,La Crescenta,CA,USA,,,,,,
844,Quercus,stellata,,,https://www.gallformers.org/source/98,https://www.biodiversitylibrary.org/item/31780#page/138/mode/1up,maturing,Adult,,1883-05-10,,37.9875,-90.688333,Cadet,MO,USA,,,,,,
844,Quercus,alba,,,https://gallformers.org/source/755,,maturing,Adult,,1939-05-31,,42.360278,-71.057778,Boston,MA,USA,,,,,,
1377,Quercus,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,2004-02-29,,38.498611,-120.215,Salt Springs,CA,USA,,,,,,
1377,Quercus ,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,1925-10-15,,37.835,-121.958056,Diablo,CA,USA,,,,,,
1377,Quercus ,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,2007-11-02,,39.154722,-122.149444,Williams,CA,USA,,,,,,
1377,Quercus,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,2007-11-06,,37.981111,-120.641944,Copperopolis,CA,USA,,,,,,
1377,Quercus,douglasii,,,https://www.gallformers.org/source/84,https://babel.hathitrust.org/cgi/pt?id=coo.31924018313555&view=1up&seq=67&q1=%22andricus+crystallinus%22,maturing,Adult,,xxxx-04-08,,38.068333,-120.539722,Angels Camp,CA,USA,,,,,,
1377,Quercus,douglasii,,,https://www.gallformers.org/source/84,https://babel.hathitrust.org/cgi/pt?id=coo.31924018313555&view=1up&seq=67&q1=%22andricus+crystallinus%22,maturing,Adult,,xxxx-04-17,,38.068333,-120.539722,Angels Camp,CA,USA,,,,,,
1377,Quercus ,dumosa,,,https://www.gallformers.org/source/84,https://babel.hathitrust.org/cgi/pt?id=coo.31924018313555&view=1up&seq=67&q1=%22andricus+crystallinus%22,maturing,Adult,,xxxx-03-01,,32.663889,-116.289722,Boulevard,CA,USA,,,,,,
1377,Quercus,dumosa,,,https://www.gallformers.org/source/84,https://babel.hathitrust.org/cgi/pt?id=coo.31924018313555&view=1up&seq=67&q1=%22andricus+crystallinus%22,maturing,Adult,,xxxx-03-02,,32.663889,-116.289722,Boulevard,CA,USA,,,,,,
1377,Quercus,dumosa,,,https://www.gallformers.org/source/84,https://babel.hathitrust.org/cgi/pt?id=coo.31924018313555&view=1up&seq=67&q1=%22andricus+crystallinus%22,maturing,Adult,,xxxx-03-05,,32.663889,-116.289722,Boulevard,CA,USA,,,,,,
1377,Quercus,dumosa,,,https://www.gallformers.org/source/84,https://babel.hathitrust.org/cgi/pt?id=coo.31924018313555&view=1up&seq=67&q1=%22andricus+crystallinus%22,maturing,Adult,,xxxx-03-07,,32.663889,-116.289722,Boulevard,CA,USA,,,,,,
1377,Quercus,dumosa,,,https://www.gallformers.org/source/84,https://babel.hathitrust.org/cgi/pt?id=coo.31924018313555&view=1up&seq=67&q1=%22andricus+crystallinus%22,maturing,Adult,,xxxx-03-10,,32.663889,-116.289722,Boulevard,CA,USA,,,,,,
1377,Quercus,dumosa,,,https://www.gallformers.org/source/84,https://babel.hathitrust.org/cgi/pt?id=coo.31924018313555&view=1up&seq=67&q1=%22andricus+crystallinus%22,maturing,Adult,,xxxx-03-18,,32.663889,-116.289722,Boulevard,CA,USA,,,,,,
1377,Quercus,dumosa,,,https://www.gallformers.org/source/84,https://babel.hathitrust.org/cgi/pt?id=coo.31924018313555&view=1up&seq=67&q1=%22andricus+crystallinus%22,maturing,Adult,,xxxx-04-05,,32.663889,-116.289722,Boulevard,CA,USA,,,,,,
1377,Quercus ,douglasii,,,https://www.gallformers.org/source/175,https://www.biodiversitylibrary.org/page/53497221#page/217/mode/1up,maturing,Adult,,1959-02-05,,37.881698,-121.914155,Mt. Diablo,CA,USA,,,,,,
1378,Quercus ,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,2008-03-30,,40.067778,-122.111944,Dye Creek Preserve,CA,USA,,,,,,
3819,Quercus ,deserticola,,,https://gallformers.org/source/755,,dormant,,viable,1932-01-02,,19.4326,-99.1332,Mexico City,DF,Mexico,,,,,,
3819,Quercus ,deserticola,,,https://gallformers.org/source/755,,maturing,Adult,,1932-03-15,,19.4326,-99.1332,Mexico City,DF,Mexico,,,,,,
3819,Quercus ,obtusata,,,https://gallformers.org/source/755,,dormant,,viable,2018-11-10,,16.316667,-96.583333,Miahuatlan de Porfirio Diaz,Oaxaca,Mexico,,,,,,
3819,Quercus ,obtusata,,,https://gallformers.org/source/755,,maturing,Adult,,2018-02-05,,16.316667,-96.583333,Miahuatlan de Porfirio Diaz,Oaxaca,Mexico,,,,,,
1487,Quercus ,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,1920-03-28,,37.523056,-120.3325,Merced Falls,CA,USA,,,,,,
1486,Quercus ,dumosa,,,https://gallformers.org/source/755,,dormant,,viable,1935-12-13,,37.2266,-121.975,Los Gatos,CA,USA,,,,,,
1486,Quercus ,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,2004-10-21,,37.488333,-121.206944,Del Puerto Canyon,CA,USA,,,,,,
1486,Quercus ,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,2007-11-03,,38.9582,-122.6264,Clearlake,CA,USA,,,,,,
1486,Quercus ,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,2007-11-02,,39.1546,-122.1494,Williams,CA,USA,,,,,,
1487,Quercus ,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,2008-03-30,,40.067778,-122.111944,Dye Creek Preserve,CA,USA,,,,,,
1871,Quercus,garryana,,,https://gallformers.org/source/755,,dormant,,viable,2014-09-20,,40.778165,-123.679356,Friday Ridge Road,CA,USA,,,,,,
1871,Quercus,berberidifolia,,,https://gallformers.org/source/755,,dormant,,viable,2016-10-27,,38.59,-122.23,Lake Berry Essa,CA,USA,,,,,,
1871,Quercus,dumosa,,,https://gallformers.org/source/755,,dormant,,viable,2011-10-11,,33.5924,-117.871597,Inspiration Point,CA,USA,,,,,,
1871,Quercus,dumosa,,,https://gallformers.org/source/755,,dormant,,viable,2014-10-29,,38.7524045,-122.6149853,Middletown,CA,USA,,,,,,
1511,Quercus,lobata,,,https://gallformers.org/source/755,,dormant,,viable,2004-02-29,,37.9577,-121.2908,Stockton,CA,USA,,,,,,
1511,Quercus,lobata,,,https://gallformers.org/source/755,,dormant,,viable,2001-09-22,,40.067778,-122.111944,Dye Creek Preserve,CA,USA,,,,,,
1511,Quercus,lobata,,,https://gallformers.org/source/755,,dormant,,viable,2007-11-03,,38.9582,-122.6264,Clearlake,CA,USA,,,,,,
1511,Quercus,lobata,,,https://gallformers.org/source/755,,dormant,,viable,2007-11-06,,37.9577,-121.2908,Stockton,CA,USA,,,,,,
1511,Quercus,lobata,,,https://gallformers.org/source/755,,dormant,,viable,2007-11-01,,38.2665,-121.439,Cosumnes River Preserve,CA,USA,,,,,,
4845,Quercus,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,2008-03-30,,40.067778,-122.111944,Dye Creek Preserve,CA,USA,,,,,,
4845,Quercus,berberidifolia,,,https://gallformers.org/source/755,,dormant,,viable,2008-04-04,,38.81778,-122.2411,Quail Ridge Reserve,CA,USA,,,,,,
4845,Quercus,lobata,,,https://gallformers.org/source/755,,dormant,,viable,2008-03-28,,37.9577,-121.2908,Stockton,CA,USA,,,,,,
4845,Quercus,lobata,,,https://gallformers.org/source/755,,dormant,,viable,2008-03-28,,38.2665,-121.439,Cosumnes River Preserve,CA,USA,,,,,,
1516,Quercus,lobata,,,https://gallformers.org/source/755,,dormant,,viable,2004-10-23,,36.37875,-121.5644,Hastings Reserve,CA,USA,,,,,,
1516,Quercus,lobata,,,https://gallformers.org/source/755,,dormant,,viable,2007-11-03,,38.9582,-122.6264,Clearlake,CA,USA,,,,,,
1516,Quercus,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,2007-11-06,,37.982307,-120.639197,Copperopolis,CA,USA,,,,,,
1516,Quercus,lobata,,,https://gallformers.org/source/755,,dormant,,viable,2007-11-07,,38.2665,-121.439,Cosumnes River Preserve,CA,USA,,,,,,
1559,Quercus,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,1920-03-23,,36.462414,-118.887065,Three Rivers,CA,USA,,,,,,
1559,Quercus,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,2008-04-04,,38.81778,-122.2411,Quail Ridge Reserve,CA,USA,,,,,,
1557,Quercus,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,2007-11-02,,39.1546,-122.1494,Williams,CA,USA,,,,,,
1557,Quercus,douglasii,,,https://gallformers.org/source/755,,dormant,,viable,2001-09-27,,40.067778,-122.111944,Dye Creek Preserve,CA,USA,,,,,,
4918,Quercus,rugosa,,,https://gallformers.org/source/755,,dormant,,viable,2007-10-28,,32.3224,-110.8099,Santa Catalina Mountains,AZ,USA,,,,,,
1987,Quercus,garryana,,,https://gallformers.org/source/755,,dormant,,viable,2007-11-12,,48.781071,-123.389099,Ruckle Provincial Park,BC,Canada,,,,,,
4919,,,,,https://gallformers.org/source/755,,dormant,,viable,2013-01-10,,19.598423,-99.157776,Sierra de Guadalupe,Mexico,Mexico,,,,,,
4919,,,,,https://gallformers.org/source/755,,maturing,Adult,,2013-01-15,,19.598423,-99.157776,Sierra de Guadalupe,Mexico,Mexico,,,,,,
4919,,,,,https://gallformers.org/source/755,,maturing,Adult,,2013-02-15,,19.598423,-99.157776,Sierra de Guadalupe,Mexico,Mexico,,,,,,
2538,Quercus,grisea,,,https://gallformers.org/source/755,,dormant,,viable,1919-12-26,,32.92091,-107.567,Hillsboro,NM,USA,,,,,,
2538,Quercus,undata,,,https://gallformers.org/source/755,,dormant,,viable,1931-01-09,,24.208333,-105.504167,Canantlan,Durango,Mexico,,,,,,
2538,Quercus,undata,,,https://gallformers.org/source/755,,maturing,Adult,,1932-04-30,,24.208333,-105.504167,Canantlan,Durango,Mexico,,,,,,
2538,Quercus,undata,,,https://gallformers.org/source/755,,dormant,,viable,1931-10-24,,28.693081,-106.016331,Santa Izabel,Chihuahua,Mexico,,,,,,
2538,Quercus,undata,,,https://gallformers.org/source/755,,maturing,Adult,,1932-04-21,,28.693081,-106.016331,Santa Izabel,Chihuahua,Mexico,,,,,,
1033,Quercus,garryana,,,https://gallformers.org/source/755,,dormant,,viable,2006-02-09,,37.4194,-118.5876,Round Valley,CA,USA,,,,,,
1560,Quercus,dumosa,,,https://gallformers.org/source/755,https://collections.nmnh.si.edu/search/ento/?ark=ark:/65665/3f622315acbf94fb29eb6c3694b2219c0,dormant,,viable,1974-01-12,,34.3253,-117.429,Cajon Pass,CA,USA,,,,,,
1560,Quercus,dumosa,,,https://gallformers.org/source/755,,maturing,Adult,,1974-02-19,,34.3253,-117.429,Cajon Pass,CA,USA,,,,,,
2441,Quercus,arizonica,,,https://gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/301/mode/1up,dormant,,viable,1919-09-28,,32.3006,-110.802,Huachuca Mts. ,AZ,USA,,,,,,
2441,Quercus,arizonica,,,https://gallformers.org/source/9,https://www.biodiversitylibrary.org/page/7610635#page/301/mode/1up,dormant,Adult,,1919-12-04,,32.3006,-110.802,Huachuca Mts. ,AZ,USA,,,,,,
2441,Quercus,arizonica,,,https://gallformers.org/source/755,,dormant,,viable,2007-10-25,,31.929,-109.38,Chiricahua Mountains,AZ,USA,,,,,,
4920,Quercus,potosina,,,https://gallformers.org/source/755,,dormant,,viable,2010-11-05,,22.31914,-103.64817,Monte Escobedo,Zacatecas,Mexico,,,,,,
4920,Quercus,potosina,,,https://gallformers.org/source/755,,maturing,Adult,,2010-12-15,,22.31914,-103.64817,Monte Escobedo,Zacatecas,Mexico,,,,,,
2445,Quercus,potosina,,,https://gallformers.org/source/755,,dormant,,viable,2010-12-02,,20.19753,-102.59153,Sierra Fria,Aguascalientes,Mexico,,,,,,
2445,Quercus,potosina,,,https://gallformers.org/source/755,,maturing,Adult,,2011-02-14,,20.19753,-102.59153,Sierra Fria,Aguascalientes,Mexico,,,,,,
