collection,code,date,phenophase,lifestage,viability
1489,125,8/3/2018,dormant,,viable
1489,125,2/14/2019,maturing,Adult,
1489,125,2/14/2019,maturing,Adult,
1489,125,2/14/2019,maturing,Adult,
1489,125,3/13/2019,maturing,Adult,
1484,130,7/31/2018,dormant,,viable
1484,130,10/7/2018,maturing,Adult,
1484,130,10/9/2018,maturing,Adult,
1484,130,10/9/2018,maturing,Adult,
1484,130,10/15/2018,maturing,Adult,
1484,130,10/15/2018,maturing,Adult,
1484,130,10/19/2018,maturing,Adult,
1484,130,10/19/2018,maturing,Adult,
1484,130,10/19/2018,maturing,Adult,
1484,130,10/19/2018,maturing,Adult,
1484,130,11/3/2018,maturing,Adult,
1484,130,10/23/2018,maturing,Adult,
1470,130,7/31/2018,dormant,,viable
1470,130,10/9/2018,maturing,Adult,
1485,131,7/31/2018,dormant,,viable
1485,131,3/13/2019,maturing,Adult,
1485,131,3/22/2019,perimature,Adult,
1485,131,4/1/2019,maturing,Adult,
1485,131,4/1/2019,maturing,Adult,
1485,131,4/1/2019,maturing,Adult,
1485,131,4/1/2019,maturing,Adult,
1485,131,4/1/2019,maturing,Adult,
1485,131,4/2/2019,maturing,Adult,
1485,131,4/2/2019,maturing,Adult,
1485,131,4/3/2019,maturing,Adult,
1485,131,4/3/2019,maturing,Adult,
1485,131,4/4/2019,maturing,Adult,
1485,131,4/5/2019,maturing,Adult,
1485,131,4/5/2019,maturing,Adult,
1485,131,4/6/2019,maturing,Adult,
1485,131,4/6/2019,maturing,Adult,
1485,131,4/7/2019,maturing,Adult,
1485,131,4/7/2019,maturing,Adult,
1485,131,4/7/2019,maturing,Adult,
1485,131,4/8/2019,maturing,Adult,
1485,131,4/10/2019,maturing,Adult,
1485,131,4/14/2019,perimature,Adult,
1485,131,4/17/2019,maturing,Adult,
1493,139,8/3/2018,dormant,,viable
1493,139,9/5/2018,perimature,Adult,
1515,141,8/3/2018,dormant,,viable
1515,141,3/13/2019,maturing,Adult,
1515,141,3/13/2019,maturing,Adult,
1515,141,3/13/2019,maturing,Adult,
1497,141,8/3/2018,dormant,,viable
1497,141,3/13/2019,maturing,Adult,
1520,150,8/5/2018,dormant,,viable
1520,150,3/26/2019,maturing,Adult,
1520,150,3/26/2019,maturing,Adult,
1520,150,3/26/2019,maturing,Adult,
