collection,code,date,phenophase,lifestage,viability
918,042,7/1/2017,maturing,Adult,
855,045,6/13/2017,maturing,Adult,
855,045,6/13/2017,maturing,Adult,
855,045,6/13/2017,maturing,Adult,
855,045,6/13/2017,maturing,Adult,
855,045,6/13/2017,maturing,Adult,
134,008,4/11/2016,maturing,Adult,
1584,157,3/18/2019,perimature,Adult,
1584,157,3/18/2019,perimature,Adult,
580,003,1/18/2017,maturing,Adult,
134,008,3/31/2016,maturing,Adult,
134,008,3/30/2016,maturing,Adult,
134,008,3/30/2016,maturing,Adult,
1579,154,11/20/2019,perimature,Adult,
1579,154,10/24/2019,maturing,Adult,
1579,154,10/24/2019,maturing,Adult,
1579,154,10/13/2019,maturing,Adult,
1579,154,10/13/2019,maturing,Adult,
1579,154,10/13/2019,maturing,Adult,
1579,154,10/13/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/10/2019,maturing,Adult,
1579,154,10/4/2019,maturing,Adult,
1579,154,10/4/2019,maturing,Adult,
1579,154,10/3/2019,maturing,Adult,
1579,154,10/2/2019,maturing,Adult,
1579,154,9/26/2019,maturing,Adult,
1564,059,9/10/2019,maturing,Adult,
1585,158,7/25/2019,maturing,Adult,
1585,158,7/24/2019,maturing,Adult,
1585,158,7/12/2019,maturing,Adult,
1585,158,7/11/2019,perimature,Adult,
1585,158,7/11/2019,maturing,Adult,
1585,158,7/11/2019,maturing,Adult,
1617,166,6/30/2019,maturing,Adult,
1617,166,6/30/2019,maturing,Adult,
1617,166,6/29/2019,maturing,Adult,
1617,166,6/29/2019,maturing,Adult,
1617,166,6/29/2019,maturing,Adult,
1617,166,6/29/2019,maturing,Adult,
1617,166,6/27/2019,maturing,Adult,
1615,086,6/17/2019,maturing,Adult,
1615,086,6/17/2019,maturing,Adult,
1612,086,6/10/2019,maturing,Adult,
1612,086,6/10/2019,maturing,Adult,
1612,086,6/10/2019,maturing,Adult,
1612,086,6/10/2019,maturing,Adult,
