gf_id,genus,species,gall_id,host_id,sourceURL,pageURL,phenophase,lifestage,viability,date,doy,latitude,longitude,site,state,country,AGDD32,AGDD50,yearend32,yearend50,percent32,percent50
980,Quercus,macrocarpa,,,scott.digweed@gmail.com,,maturing,Adult,,2005-10-22,,53.55500,-113.55054,Groat Road and 107 Avenue,Alberta,Canada,,,,,,
980,Quercus,macrocarpa,,,scott.digweed@gmail.com,,maturing,Adult,,2005-10-25,,53.55500,-113.55054,Groat Road and 107 Avenue,Alberta,Canada,,,,,,
980,Quercus,macrocarpa,,,scott.digweed@gmail.com,,maturing,Adult,,2005-10-26,,53.55500,-113.55054,Groat Road and 107 Avenue,Alberta,Canada,,,,,,
4228,Quercus,macrocarpa,,,scott.digweed@gmail.com,,maturing,Adult,,2005-06-02,,53.49165,-113.54291,Northern Forestry Centre,Alberta,Canada,,,,,,
4228,Quercus,macrocarpa,,,scott.digweed@gmail.com,,maturing,Adult,,2005-06-02,,53.49165,-113.54291,Northern Forestry Centre,Alberta,Canada,,,,,,
4228,Quercus,macrocarpa,,,scott.digweed@gmail.com,,maturing,Adult,,2005-06-04,,53.49165,-113.54291,Northern Forestry Centre,Alberta,Canada,,,,,,
4228,Quercus,macrocarpa,,,scott.digweed@gmail.com,,maturing,Adult,,2005-06-06,,53.49165,-113.54291,Northern Forestry Centre,Alberta,Canada,,,,,,
4228,Quercus,macrocarpa,,,scott.digweed@gmail.com,,maturing,Adult,,2005-06-10,,53.49165,-113.54291,Northern Forestry Centre,Alberta,Canada,,,,,,
568,Quercus,macrocarpa,,,scott.digweed@gmail.com,,maturing,Adult,,2005-10-28,,53.49165,-113.54291,Northern Forestry Centre,Alberta,Canada,,,,,,
568,Quercus,macrocarpa,,,scott.digweed@gmail.com,,maturing,Adult,,2005-11-06,,53.49165,-113.54291,Northern Forestry Centre,Alberta,Canada,,,,,,
568,Quercus,macrocarpa,,,scott.digweed@gmail.com,,maturing,Adult,,2005-11-12,,53.49165,-113.54291,Northern Forestry Centre,Alberta,Canada,,,,,,
