"","site","latitude","longitude","state","country","lat","long"
"1","Evanston",NA,NA,"IL","USA",42.0447388,-87.6930459
"2","Cottonwood",NA,NA,"CA","USA",40.3857161,-122.2808401
"3","Alexandria",NA,NA,"VA","USA",38.8051095,-77.0470229
"4","Clarendon",NA,NA,"VA","USA",38.8857615,-77.0969711
"5","Fort Sheridan",NA,NA,"IL","USA",NA,NA
"6","Chicago",NA,NA,"IL","USA",41.8755616,-87.6244212
"7","Moline",NA,NA,"IL","USA",41.5058344,-90.5136642
"8","Washington",NA,NA,"DC","USA",38.8950368,-77.0365427
"9","Falls Church",NA,NA,"VA","USA",38.882334,-77.1710914
"10","Chesterton",NA,NA,"IN","USA",41.6105938,-87.0641992
"11","Wilmette",NA,NA,"IL","USA",42.0757315,-87.7193768
"12","Holland",NA,NA,"OR","USA",42.1276157,-123.5389529
"13","Hope",NA,NA,"IN","USA",39.303459,-85.7708349
"14","Medina",NA,NA,"NY","USA",43.2202828,-78.3866445
"15","Willow Springs",NA,NA,"IL","USA",41.7402308,-87.8586963
"16","Ravinia",NA,NA,"IL","USA",42.1636368,-87.7870094
"17","Cherrydale",NA,NA,"VA","USA",37.6259777,-77.3247012
"18","Chevy Chase",NA,NA,"MD","USA",38.9813699,-77.0849245
"19","Blue Canyon",NA,NA,"NM","USA",NA,NA
"20","Nogal Canyon",NA,NA,"NM","USA",NA,NA
"21","Hackberry",NA,NA,"AZ","USA",35.3691614,-113.7271643
"22","Patagonia",NA,NA,"AZ","USA",31.54324,-110.747688663846
"23","Santa Catalina Mountains",NA,NA,"AZ","USA",NA,NA
"24","Bear Canyon",NA,NA,"AZ","USA",NA,NA
"25","Chiricahua Mountains",NA,NA,"AZ","USA",NA,NA
"26","Tijeras",NA,NA,"NM","USA",35.0796355,-106.3879441
"27","Prescott",NA,NA,"AZ","USA",34.5399962,-112.468761
"28","Lakeport",NA,NA,"CA","USA",39.0429506,-122.915829
"29","Stanford University",NA,NA,"CA","USA",NA,NA
"30","Paso Robles",NA,NA,"CA","USA",35.6267654,-120.6912456
"31","Jolon",NA,NA,"CA","USA",35.9711095,-121.1749312
"32","Huachucas",NA,NA,"AZ","USA",NA,NA
"33","Garden of the Gods",NA,NA,"CO","USA",NA,NA
"34","Wetmore",NA,NA,"CO","USA",39.63333,-95.811376
"35","La Veta",NA,NA,"CO","USA",37.5050118,-105.0077747
"36","East Falls Church",NA,NA,"VA","USA",38.887334,-77.1544242
"37","Ironton",NA,NA,"MO","USA",37.5972724,-90.6273444
"38","Austin",NA,NA,"TX","USA",30.2711286,-97.7436995
"39","Boerne",NA,NA,"TX","USA",29.7946641,-98.7319703
"40","Hoxie",NA,NA,"AR","USA",36.0504339,-90.9750717
"41","Waukegan",NA,NA,"IL","USA",42.3636331,-87.8447938
"42","Sequoia National Park",NA,NA,"CA","USA",NA,NA
"43","Santa Anita",NA,NA,"CA","USA",NA,NA
"44","Ojai",NA,NA,"CA","USA",34.4480495,-119.242889
"45","Winnetka",NA,NA,"IL","USA",42.1080703,-87.7365286
"46","Jacksonville",NA,NA,"FL","USA",30.3321838,-81.655651
"47","Bisbee",NA,NA,"AZ","USA",31.4481547,-109.928408
"48","Oracle",NA,NA,"AZ","USA",32.6099702,-110.7651843
"49","Patagonia Mountains",NA,NA,"AZ","USA",NA,NA
"50","Toronto",NA,NA,"ON","Canada",43.6534817,-79.3839347
"51","Rosslyn",NA,NA,"VA","USA",38.8967784,-77.0724777
"52","Las Vegas Hot Springs",NA,NA,"NM","USA",NA,NA
"53","Shoemaker",NA,NA,"NM","USA",35.8164293,-104.8763867
"54","Magdalena",NA,NA,"NM","USA",34.1169903,-107.2433729
"55","",NA,NA,"VA","USA",37.1232245,-78.4927721
"56","Truckee",NA,NA,"CA","USA",39.327962,-120.1832533
"57","Tahoe City",NA,NA,"CA","USA",39.1689372,-120.143478
"58","Pine Crest",NA,NA,"CA","USA",NA,NA
"59","Canyonville",NA,NA,"CA","USA",NA,NA
"60","Victoria",NA,NA,"BC","Canada",48.4283182,-123.3649533
"61","Muskoka",NA,NA,"ON","Canada",45.1506666,-79.3440678213544
"62","Poplar Bluff",NA,NA,"MO","USA",36.7568327,-90.3957115
"63","Sandia Mountains",NA,NA,"NM","USA",NA,NA
"64","Trinidad",NA,NA,"CO","USA",37.169397,-104.5005411
"65","Palestine",NA,NA,"TX","USA",31.7621153,-95.6307891
